step,choices,basins
0,3,B0:1;B1:1;B2:1
1,3,B0:1;B1:1;B2:1
2,3,B0:1;B1:1;B2:1
3,3,B0:1;B1:1;B2:1
4,3,B0:1;B1:1;B2:1
5,3,B0:1;B1:1;B2:1
6,3,B0:1;B1:1;B2:1
7,3,B0:1;B1:1;B2:1
8,3,B0:1;B1:1;B2:1
9,2,B1:1;B2:1
10,2,B1:1;B2:1
11,2,B1:1;B2:1
12,2,B1:1;B2:1
13,2,B1:1;B2:1
14,2,B1:1;B2:1
15,2,B1:1;B2:1
16,2,B1:1;B2:1
17,2,B1:1;B2:1
18,2,B1:1;B2:1
19,2,B1:1;B2:1
20,2,B1:1;B2:1
21,1,B2:1
22,1,B2:1
23,1,B2:1
24,1,B2:1
25,1,B2:1
26,1,B2:1
27,1,B2:1
28,1,B2:1
29,1,B2:1
30,1,B2:1
31,2,B0:1;B2:1
32,2,B0:1;B2:1
33,2,B0:1;B2:1
34,2,B0:1;B2:1
35,3,B0:1;B1:1;B2:1
36,3,B0:1;B1:1;B2:1
37,3,B0:1;B1:1;B2:1
38,2,B1:1;B2:1
39,2,B1:1;B2:1
40,2,B1:1;B2:1
41,2,B1:1;B2:1
42,2,B1:1;B2:1
43,2,B1:1;B2:1
44,1,B2:1
45,1,B2:1
46,1,B2:1
47,1,B2:1
48,1,B2:1
49,2,B0:1;B2:1
50,2,B0:1;B2:1
51,2,B0:1;B2:1
52,2,B0:1;B2:1
53,2,B0:1;B2:1
54,2,B0:1;B2:1
55,1,B2:1
56,1,B2:1
57,1,B2:1
