planId,chainIndex,headIndex,headDir,length,outerHead,anchoredHead,pressure,label,path,xyPath
1,1,465,R,12,False,True,58,anchored,465 464 463 462 486 510 534 558 582 606 630 654,9:19 8:19 7:19 6:19 6:20 6:21 6:22 6:23 6:24 6:25 6:26 6:27
1,2,474,R,12,False,True,58,anchored,474 473 497 496 495 494 493 469 445 421 422 423,18:19 17:19 17:20 16:20 15:20 14:20 13:20 13:19 13:18 13:17 14:17 15:17
1,3,189,R,12,False,True,58,anchored,189 188 187 186 210 234 258 282 306 330 354 378,21:7 20:7 19:7 18:7 18:8 18:9 18:10 18:11 18:12 18:13 18:14 18:15
1,4,376,D,12,False,True,46,anchored,376 400 399 398 397 396 395 394 393 392 391 390,16:15 16:16 15:16 14:16 13:16 12:16 11:16 10:16 9:16 8:16 7:16 6:16
1,5,509,U,12,False,True,46,anchored,509 485 461 437 413 414 415 416 417 418 419 420,5:21 5:20 5:19 5:18 5:17 6:17 7:17 8:17 9:17 10:17 11:17 12:17
1,6,84,U,12,False,True,35,anchored,84 60 36 37 38 39 40 41 42 43 44 45,12:3 12:2 12:1 13:1 14:1 15:1 16:1 17:1 18:1 19:1 20:1 21:1
1,7,79,D,11,False,True,46,anchored,79 103 127 151 175 199 223 247 246 245 244,7:3 7:4 7:5 7:6 7:7 7:8 7:9 7:10 6:10 5:10 4:10
1,8,261,D,12,False,True,35,anchored,261 285 309 333 357 381 405 429 428 427 426 425,21:10 21:11 21:12 21:13 21:14 21:15 21:16 21:17 20:17 19:17 18:17 17:17
1,9,447,L,12,False,True,29,anchored,447 448 449 450 451 452 453 454 430 406 382 358,15:18 16:18 17:18 18:18 19:18 20:18 21:18 22:18 22:17 22:16 22:15 22:14
1,10,664,D,10,False,True,17,anchored,664 688 712 736 737 738 739 740 741 742,16:27 16:28 16:29 16:30 17:30 18:30 19:30 20:30 21:30 22:30
1,11,305,U,12,False,True,24,anchored,305 281 257 233 209 185 161 137 113 89 90 91,17:12 17:11 17:10 17:9 17:8 17:7 17:6 17:5 17:4 17:3 18:3 19:3
1,12,612,U,10,False,True,31,anchored,612 588 564 540 516 517 518 519 520 521,12:25 12:24 12:23 12:22 12:21 13:21 14:21 15:21 16:21 17:21
1,13,265,U,12,False,True,5,anchored,265 241 217 216 240 264 288 312 336 360 384 385,1:11 1:10 1:9 0:9 0:10 0:11 0:12 0:13 0:14 0:15 0:16 1:16
1,14,764,L,12,False,True,-1,anchored,764 765 766 767 743 719 695 671 647 623 599 575,20:31 21:31 22:31 23:31 23:30 23:29 23:28 23:27 23:26 23:25 23:24 23:23
1,15,762,D,12,False,True,-1,anchored,762 786 810 809 808 807 806 805 804 803 802 801,18:31 18:32 18:33 17:33 16:33 15:33 14:33 13:33 12:33 11:33 10:33 9:33
1,16,508,R,12,False,True,-1,anchored,508 507 506 505 529 553 577 601 625 649 673 697,4:21 3:21 2:21 1:21 1:22 1:23 1:24 1:25 1:26 1:27 1:28 1:29
1,17,198,D,5,False,True,19,anchored,198 222 221 220 219,6:8 6:9 5:9 4:9 3:9
1,18,83,D,5,False,True,21,anchored,83 107 108 109 110,11:3 11:4 12:4 13:4 14:4
1,19,53,R,12,False,True,4,anchored,53 52 51 50 49 48 72 96 120 144 168 192,5:2 4:2 3:2 2:2 1:2 0:2 0:3 0:4 0:5 0:6 0:7 0:8
1,20,194,L,5,False,True,12,anchored,194 195 196 172 148,2:8 3:8 4:8 4:7 4:6
1,21,724,U,5,False,True,15,anchored,724 700 676 677 678,4:30 4:29 4:28 5:28 6:28
1,22,81,U,4,False,True,16,anchored,81 57 58 59,9:3 9:2 10:2 11:2
1,23,224,U,4,False,True,16,anchored,224 200 176 177,8:9 8:8 8:7 9:7
1,24,531,R,5,False,True,11,anchored,531 530 554 578 602,3:22 2:22 2:23 2:24 2:25
1,25,728,U,4,False,True,13,anchored,728 704 705 706,8:30 8:29 9:29 10:29
1,26,365,R,7,False,True,16,anchored,365 364 363 362 386 387 388,5:15 4:15 3:15 2:15 2:16 3:16 4:16
1,27,775,L,3,False,True,6,anchored,775 776 800,7:32 8:32 8:33
1,28,721,D,7,False,True,-4,anchored,721 745 769 793 792 768 744,1:30 1:31 1:32 1:33 0:33 0:32 0:31
1,29,560,L,3,False,True,12,anchored,560 561 562,8:23 9:23 10:23
1,30,371,U,4,False,True,10,anchored,371 347 323 322,11:15 11:14 11:13 10:13
1,31,250,L,3,False,True,4,anchored,250 251 275,10:10 11:10 11:11
1,32,279,D,3,False,True,4,anchored,279 303 302,15:11 15:12 14:12
1,33,548,D,3,False,True,4,anchored,548 572 573,20:22 20:23 21:23
