order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,GameCulture,DragonHead,compact,36,38,767,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_dragon_head.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-01DragonHead.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_36x38-01DragonHead-compact.png,dragon head silhouette
1,GameCulture,DragonHead,main,42,44,1036,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_dragon_head.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-01DragonHead.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Base/MaskOnlyBatch07_42x44-01DragonHead-main.png,dragon head silhouette
1,GameCulture,DragonHead,large,44,49,1209,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_dragon_head.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-01DragonHead.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_44x49-01DragonHead-large.png,dragon head silhouette
2,GameCulture,KnightHelmet,compact,31,38,608,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_knight_helmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-02KnightHelmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_31x38-02KnightHelmet-compact.png,knight helmet with plume
2,GameCulture,KnightHelmet,main,36,44,847,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_knight_helmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-02KnightHelmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Base/MaskOnlyBatch07_36x44-02KnightHelmet-main.png,knight helmet with plume
2,GameCulture,KnightHelmet,large,40,49,1075,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_knight_helmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-02KnightHelmet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_40x49-02KnightHelmet-large.png,knight helmet with plume
3,GameCulture,ChessKnight,compact,29,38,727,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_chess_knight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-03ChessKnight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_29x38-03ChessKnight-compact.png,chess knight piece
3,GameCulture,ChessKnight,main,34,44,996,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_chess_knight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-03ChessKnight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Base/MaskOnlyBatch07_34x44-03ChessKnight-main.png,chess knight piece
3,GameCulture,ChessKnight,large,38,49,1238,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_chess_knight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-03ChessKnight.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_38x49-03ChessKnight-large.png,chess knight piece
4,GameCulture,D20Die,compact,36,36,812,E:\ArrowGame\CodexExports\shape_candidate_gameculture10_png\shape_d20_die.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Source/IconMaskOnlyBatch07_512x512-04D20Die.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch07Variants/MaskOnlyBatch07_36x36-04D20Die-compact.png,twenty-sided die
