order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,Object,PaperPlane,compact,36,29,530,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6cfe7cd08191b1bc1619fc5699ff.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-01PaperPlane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_36x29-01PaperPlane-compact.png,diagonal paper plane
1,Object,PaperPlane,main,42,34,728,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6cfe7cd08191b1bc1619fc5699ff.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-01PaperPlane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Base/MaskOnlyBatch02_42x34-01PaperPlane-main.png,diagonal paper plane
1,Object,PaperPlane,large,44,38,852,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6cfe7cd08191b1bc1619fc5699ff.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-01PaperPlane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_44x38-01PaperPlane-large.png,diagonal paper plane
2,Food,Apple,compact,29,33,633,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e68ccb0f48191b1f20f7fa2c08365.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-02Apple.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_29x33-02Apple-compact.png,apple with stem
2,Food,Apple,main,34,38,874,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e68ccb0f48191b1f20f7fa2c08365.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-02Apple.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Base/MaskOnlyBatch02_34x38-02Apple-main.png,apple with stem
2,Food,Apple,large,38,43,1112,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e68ccb0f48191b1f20f7fa2c08365.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-02Apple.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_38x43-02Apple-large.png,apple with stem
3,Food,Banana,compact,34,26,362,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6990eb948191a5dceb16f3615e4e.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-03Banana.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_34x26-03Banana-compact.png,curved banana
3,Food,Banana,main,38,30,470,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6990eb948191a5dceb16f3615e4e.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-03Banana.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Base/MaskOnlyBatch02_38x30-03Banana-main.png,curved banana
3,Food,Banana,large,42,34,586,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6990eb948191a5dceb16f3615e4e.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-03Banana.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_42x34-03Banana-large.png,curved banana
4,Magic,PotionBottle,compact,28,36,602,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e637c07fc8191b3230e2ed66d6ba1.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Source/IconMaskOnlyBatch02_512x512-04PotionBottle.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch02Variants/MaskOnlyBatch02_28x36-04PotionBottle-compact.png,round potion bottle
