order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,Restored,KeyVariantA,compact,29,38,367,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_key_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-01KeyVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_29x38-01KeyVariantA-compact.png,key variant a
1,Restored,KeyVariantA,main,34,44,506,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_key_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-01KeyVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Base/MaskOnlyBatch09_34x44-01KeyVariantA-main.png,key variant a
1,Restored,KeyVariantA,large,38,49,626,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_key_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-01KeyVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_38x49-01KeyVariantA-large.png,key variant a
2,Restored,QuestionMarkVariantA,compact,29,38,588,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_question_mark_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-02QuestionMarkVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_29x38-02QuestionMarkVariantA-compact.png,question mark variant a
2,Restored,QuestionMarkVariantA,main,34,44,801,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_question_mark_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-02QuestionMarkVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Base/MaskOnlyBatch09_34x44-02QuestionMarkVariantA-main.png,question mark variant a
2,Restored,QuestionMarkVariantA,large,38,49,1004,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_question_mark_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-02QuestionMarkVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_38x49-02QuestionMarkVariantA-large.png,question mark variant a
4,Restored,MagnetVariantA,compact,33,33,643,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_magnet_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-04MagnetVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_33x33-04MagnetVariantA-compact.png,magnet variant a
4,Restored,MagnetVariantA,main,38,38,864,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_magnet_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-04MagnetVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Base/MaskOnlyBatch09_38x38-04MagnetVariantA-main.png,magnet variant a
4,Restored,MagnetVariantA,large,43,43,1111,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_magnet_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-04MagnetVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_43x43-04MagnetVariantA-large.png,magnet variant a
5,Restored,ScissorsVariantA,compact,33,36,462,E:\ArrowGame\CodexExports\shape_candidate_restored_png\shape_scissors_variant_a.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Source/IconMaskOnlyBatch09_512x512-05ScissorsVariantA.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch09Variants/MaskOnlyBatch09_33x36-05ScissorsVariantA-compact.png,scissors variant a
