order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,Vehicle,Train,compact,37,29,742,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-01Train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_37x29-01Train-compact.png,side train with wheels
1,Vehicle,Train,main,42,34,997,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-01Train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Base/MaskOnlyBatch04_42x34-01Train-main.png,side train with wheels
1,Vehicle,Train,large,44,38,1166,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-01Train.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_44x38-01Train-large.png,side train with wheels
2,Nature,Tree,compact,31,36,661,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-02Tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_31x36-02Tree-compact.png,round tree crown with trunk
2,Nature,Tree,main,36,42,895,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-02Tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Base/MaskOnlyBatch04_36x42-02Tree-main.png,round tree crown with trunk
2,Nature,Tree,large,40,47,1127,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-02Tree.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_40x47-02Tree-large.png,round tree crown with trunk
3,Nature,WaterDrop,compact,26,36,537,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_water_drop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-03WaterDrop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_26x36-03WaterDrop-compact.png,water drop
3,Nature,WaterDrop,main,30,42,733,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_water_drop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-03WaterDrop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Base/MaskOnlyBatch04_30x42-03WaterDrop-main.png,water drop
3,Nature,WaterDrop,large,34,47,936,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_water_drop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-03WaterDrop.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_34x47-03WaterDrop-large.png,water drop
4,Vehicle,Airplane,compact,36,36,555,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-04Airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_36x36-04Airplane-compact.png,top-view airplane
4,Vehicle,Airplane,main,42,42,759,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-04Airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Base/MaskOnlyBatch04_42x42-04Airplane-main.png,top-view airplane
4,Vehicle,Airplane,large,44,47,882,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-04Airplane.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_44x47-04Airplane-large.png,top-view airplane
5,Object,AlarmClock,compact,33,36,766,E:\ArrowGame\CodexExports\shape_candidate_20c_png\shape_alarm_clock.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Source/IconMaskOnlyBatch04_512x512-05AlarmClock.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch04Variants/MaskOnlyBatch04_33x36-05AlarmClock-compact.png,alarm clock with bells
