order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,BigForms,Tornado,compact,29,38,563,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-01Tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_29x38-01Tornado-compact.png,tornado funnel
1,BigForms,Tornado,main,34,44,772,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-01Tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_34x44-01Tornado-main.png,tornado funnel
1,BigForms,Tornado,large,38,49,965,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-01Tornado.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_38x49-01Tornado-large.png,tornado funnel
2,BigForms,Volcano,compact,34,36,678,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-02Volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_34x36-02Volcano-compact.png,erupting volcano
2,BigForms,Volcano,main,40,42,937,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-02Volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_40x42-02Volcano-main.png,erupting volcano
2,BigForms,Volcano,large,44,47,1156,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-02Volcano.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_44x47-02Volcano-large.png,erupting volcano
3,BigForms,WaveCrest,compact,36,36,683,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_wave_crest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-03WaveCrest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_36x36-03WaveCrest-compact.png,curling wave crest
3,BigForms,WaveCrest,main,42,42,936,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_wave_crest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-03WaveCrest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_42x42-03WaveCrest-main.png,curling wave crest
3,BigForms,WaveCrest,large,44,47,1101,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_wave_crest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-03WaveCrest.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_44x47-03WaveCrest-large.png,curling wave crest
4,BigForms,CrystalCluster,compact,36,36,801,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_crystal_cluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-04CrystalCluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_36x36-04CrystalCluster-compact.png,crystal cluster
4,BigForms,CrystalCluster,main,42,42,1097,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_crystal_cluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-04CrystalCluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_42x42-04CrystalCluster-main.png,crystal cluster
4,BigForms,CrystalCluster,large,44,47,1289,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_crystal_cluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-04CrystalCluster.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_44x47-04CrystalCluster-large.png,crystal cluster
5,BigForms,Lighthouse,compact,38,38,620,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-05Lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_38x38-05Lighthouse-compact.png,lighthouse with light beams
5,BigForms,Lighthouse,main,44,44,833,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-05Lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_44x44-05Lighthouse-main.png,lighthouse with light beams
5,BigForms,Lighthouse,large,44,49,931,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-05Lighthouse.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_44x49-05Lighthouse-large.png,lighthouse with light beams
6,BigForms,Windmill,compact,36,36,752,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-06Windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_36x36-06Windmill-compact.png,windmill silhouette
6,BigForms,Windmill,main,42,42,1037,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-06Windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Base/MaskOnlyBatch08_42x42-06Windmill-main.png,windmill silhouette
6,BigForms,Windmill,large,44,47,1208,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-06Windmill.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_44x47-06Windmill-large.png,windmill silhouette
7,BigForms,SuspensionBridge,compact,36,28,560,E:\ArrowGame\CodexExports\shape_candidate_bigforms10_png\shape_suspension_bridge.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Source/IconMaskOnlyBatch08_512x512-07SuspensionBridge.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch08Variants/MaskOnlyBatch08_36x28-07SuspensionBridge-compact.png,suspension bridge
