order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,Nostalgia,BrickCellphone,compact,29,38,593,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_brick_cellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-01BrickCellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_29x38-01BrickCellphone-compact.png,brick cellphone silhouette
1,Nostalgia,BrickCellphone,main,34,44,810,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_brick_cellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-01BrickCellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Base/MaskOnlyBatch06_34x44-01BrickCellphone-main.png,brick cellphone silhouette
1,Nostalgia,BrickCellphone,large,38,49,1014,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_brick_cellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-01BrickCellphone.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_38x49-01BrickCellphone-large.png,brick cellphone silhouette
2,Nostalgia,Pager,compact,34,26,597,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-02Pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_34x26-02Pager-compact.png,wide pager silhouette
2,Nostalgia,Pager,main,38,30,772,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-02Pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Base/MaskOnlyBatch06_38x30-02Pager-main.png,wide pager silhouette
2,Nostalgia,Pager,large,42,34,979,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-02Pager.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_42x34-02Pager-large.png,wide pager silhouette
3,Nostalgia,Boombox,compact,37,29,741,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-03Boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_37x29-03Boombox-compact.png,boombox with speakers and handle
3,Nostalgia,Boombox,main,42,34,1033,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-03Boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Base/MaskOnlyBatch06_42x34-03Boombox-main.png,boombox with speakers and handle
3,Nostalgia,Boombox,large,44,38,1208,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-03Boombox.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_44x38-03Boombox-large.png,boombox with speakers and handle
4,Nostalgia,ArcadeCabinet,compact,31,38,811,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_arcade_cabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-04ArcadeCabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_31x38-04ArcadeCabinet-compact.png,arcade cabinet silhouette
4,Nostalgia,ArcadeCabinet,main,36,44,1097,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_arcade_cabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-04ArcadeCabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Base/MaskOnlyBatch06_36x44-04ArcadeCabinet-main.png,arcade cabinet silhouette
4,Nostalgia,ArcadeCabinet,large,40,49,1358,E:\ArrowGame\CodexExports\shape_candidate_nostalgia10_png\shape_arcade_cabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Source/IconMaskOnlyBatch06_512x512-04ArcadeCabinet.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch06Variants/MaskOnlyBatch06_40x49-04ArcadeCabinet-large.png,arcade cabinet silhouette
