order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,City,House,compact,31,33,653,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d9d0c488191a803bc79f7e51120.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-01House.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_31x33-01House-compact.png,house with roof and chimney
1,City,House,main,36,38,859,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d9d0c488191a803bc79f7e51120.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-01House.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Base/MaskOnlyBatch03_36x38-01House-main.png,house with roof and chimney
1,City,House,large,40,43,1118,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d9d0c488191a803bc79f7e51120.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-01House.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_40x43-01House-large.png,house with roof and chimney
2,Music,Guitar,compact,29,38,467,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6e25358c8191836a03782525c79d.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-02Guitar.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_29x38-02Guitar-compact.png,diagonal guitar silhouette
2,Music,Guitar,main,34,44,640,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6e25358c8191836a03782525c79d.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-02Guitar.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Base/MaskOnlyBatch03_34x44-02Guitar-main.png,diagonal guitar silhouette
2,Music,Guitar,large,38,49,798,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6e25358c8191836a03782525c79d.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-02Guitar.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_38x49-02Guitar-large.png,diagonal guitar silhouette
3,Ocean,Sailboat,compact,33,33,369,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d4af8e4819198b1929f8dc79d01.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-03Sailboat.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_33x33-03Sailboat-compact.png,sailboat with mast and hull
3,Ocean,Sailboat,main,38,38,524,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d4af8e4819198b1929f8dc79d01.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-03Sailboat.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Base/MaskOnlyBatch03_38x38-03Sailboat-main.png,sailboat with mast and hull
3,Ocean,Sailboat,large,43,43,695,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6d4af8e4819198b1929f8dc79d01.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-03Sailboat.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_43x43-03Sailboat-large.png,sailboat with mast and hull
4,Digital,Gamepad,compact,36,28,667,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6dd781848191baed70c7b0085c24.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-04Gamepad.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_36x28-04Gamepad-compact.png,wide game controller
4,Digital,Gamepad,main,40,32,850,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6dd781848191baed70c7b0085c24.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-04Gamepad.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Base/MaskOnlyBatch03_40x32-04Gamepad-main.png,wide game controller
4,Digital,Gamepad,large,44,36,1068,C:\Users\admin\.codex\generated_images\019ec4d2-f8a4-7c51-9070-e9bce30a2c47\ig_047214f7d7e336d1016a2e6dd781848191baed70c7b0085c24.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Source/IconMaskOnlyBatch03_512x512-04Gamepad.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch03Variants/MaskOnlyBatch03_44x36-04Gamepad-large.png,wide game controller
