reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,5:5,L,0,1,0
1,1,5,2:5,L,1,1,1
2,2,5,1:4,D,1,1,2
3,3,5,1:1,D,1,1,1
4,4,5,0:0,L,1,1,2
5,5,5,7:4,D,0,2,0
6,6,5,8:1,R,1,2,1
7,7,5,11:1,R,1,2,1
8,8,5,12:2,U,1,2,2
9,9,5,11:15,U,1,2,1
10,10,5,10:16,L,1,2,2
11,11,5,4:16,L,1,2,1
12,12,5,2:16,L,1,2,2
13,13,5,0:17,U,1,2,3
14,14,5,12:12,R,0,3,1
15,15,5,12:9,L,1,3,2
16,16,5,9:9,L,1,3,2
17,17,5,3:9,L,1,3,2
18,18,5,1:9,L,1,3,3
19,19,5,11:6,R,0,4,1
20,20,5,13:6,R,1,4,2
21,21,5,12:3,R,0,5,1
22,22,5,9:12,U,0,6,1
23,23,5,9:16,U,1,6,2
24,24,5,7:8,L,0,7,2
25,25,5,1:8,L,1,7,1
26,26,4,4:7,L,0,8,1
27,27,5,2:7,L,1,8,1
28,28,2,0:7,L,1,8,2
29,29,2,12:13,R,0,9,1
30,30,5,3:1,D,0,10,0
31,31,5,3:13,L,0,11,0
32,32,5,1:13,L,1,11,1
33,33,5,5:14,L,0,12,0
34,34,4,1:14,L,1,12,1
35,35,2,0:10,L,0,13,0
