"selectedIndex","order","section10","category","difficultyCode","rhythmBucket","rhythmExperienceRole","slotDutyV3","sampleRole","whySelected","humanReviewQuestion","expectedTraceV2Focus","productionLane","chainLanguage","finalChain","canvasAdjustedChain","finalArrow","finalArea","replacementMark","auditFindings","finalLevelAssetPath","syncAssetPath","tracePath","traceAbsolutePath","traceAssetExists","finalGuid"
"1","1","1","normal","1","Ordinary","Normal","新手消除规则引导","front20_control","新手消除规则基准；应当几乎没有卡点","验证 evaluator 不应把教程误判为困难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","6","6","21","70","KEPT_ORIGINAL_TEMPLATE","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","U/Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\LevelImportV1\TutorialSimple\tutorial_simple_01_hi.asset","True","c7475ef21e814ea4a946ec2a0d7f304d"
"2","2","1","hole","1","HoleRescue","HoleRescue","营救主题与洞洞空间初见","hole_theme_control","营救/hole 主题基准；空间差异但低压","验证 hole anchor 与困难卡点的区别","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","22","22","130","288","KEPT_ORIGINAL_TEMPLATE","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\HoleMask\Early\hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","True","9595af5f4e73af041850c0510d56c48c"
"3","3","1","normal","1","Ordinary","Normal","镜头/画布尺度引导","scale_intro_control","镜头/画布尺度引导；普通低中压","验证普通正式棋盘不被误判为读题难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","slot_seedweave_braid_carrier","family_profile_chain","15","15","181","192","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500LongChainProd200PoolV1\campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","True","5b69a6445e550cd4dadf612854d415ba"
"4","4","1","shape","1","Shape","Shape","特殊图形解锁：水晶球","early_shape_jump","早期 shape + 链条跳变样本","判断视觉/数量跳变是否只是重，不是真难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","55","55","459","672","KEPT_C5V4FSC_REPLACEMENT","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNewbie4\campaign500_shape_psg_newbie4_01_L004_crystalball.asset","True","eaba78ee4bab22847a2ce9b36a31ec32"
"5","10","1","normal","2","Peak","Normal","前10关小考：轻困难lock","first_hard_quiz","前10轻困难 lock 小考","应出现轻读题或可解释小卡点","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","FlowRail","rail_chain","38","38","430","432","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s01_s13\campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","True","3e466eb48d519db47b24aad386b55d26"
"6","19","2","normal","3","Peak","Normal","前20第一标杆/小Boss","front20_peak","前20第一标杆/小Boss","检查是否存在可读 choke，而不是单纯高量级","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","maze_long_chain","spine_chain","60","66","772","816","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","True","661b7d09f00b07245912818f2dc68f9c"
"7","20","2","normal","1","Ordinary","Normal","前20收束/新主题预告","post_front20_release","19之后释放/新主题预告","验证峰值后是否真正释放","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","FlowCurve","rail_chain","40","40","427","432","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s01_s13\campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","True","69dc4408c31742b4fbe137341abc93d4"
"8","23","3","shape","1","FixedFront40","FixedFront40","ShapeAnchor","early_shape_heavy","早期重 shape/固定前40样本","检查视觉重与难度的分离","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","87","87","735","1073","KEPT_C5V4FSC_REPLACEMENT","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgDirection3\campaign500_shape_psg_direction3_01_L023_train.asset","True","9f2bda30d1d97484a9c98b1e3e7039b0"
"9","25","3","normal","2","Hard","FixedFront40","LocalRunBreaker","early_hard_read","早期困难读题位","应观察到 region/axis/choke 之一","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","maze_long_chain","patch_chain","64","67","626","660","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","True","96a7518bf91909e4c9ee5a40342b780e"
"10","29","3","normal","4","Peak","FixedFront40","ExtremeMemory","early_extreme_peak","早期极难/峰值样本","验证 peak 是否有主题和卡点证据","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PressurePeak","mixed_chain","75","81","772","816","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","True","e013be978a31c7b40b77f8605098837b"
