"order","category","difficultyCode","slotDuty","sampleRole","whySelected","humanReviewQuestion","finalChain","finalArrow","finalArea","traced","solved","processTier","avgChoices","maxChoices","choiceChokeWindowCount","frontierDrainRemoteChokeCount","choiceChokeCompositeBreakWindowCount","localPatchSolveRunMax","nearOuterPatchSolveRunMax","dependencyFollowRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","hardStructureV3Class","humanDifficultyClass","hasReadableChoke","chokeDescription","feelsFair","notes"
"1","normal","1","新手消除规则引导","front20_control","新手消除规则基准；应当几乎没有卡点","验证 evaluator 不应把教程误判为困难","6","21","70","True","True","A","2.33","4","1","0","1","3","3","1","0.866","0.097","MediumStructure","","","","",""
"2","hole","1","营救主题与洞洞空间初见","hole_theme_control","营救/hole 主题基准；空间差异但低压","验证 hole anchor 与困难卡点的区别","22","130","288","True","True","B","3.73","6","2","1","0","4","4","3","0.855","0.055","LocalEasy","","","","",""
"3","normal","1","镜头/画布尺度引导","scale_intro_control","镜头/画布尺度引导；普通低中压","验证普通正式棋盘不被误判为读题难","15","181","192","True","True","A","4.07","8","1","1","1","3","3","1","0.924","0.123","LocalEasy","","","","",""
"4","shape","1","特殊图形解锁：水晶球","early_shape_jump","早期 shape + 链条跳变样本","判断视觉/数量跳变是否只是重，不是真难","55","459","672","True","True","B","4.35","8","3","0","1","8","6","4","0.707","0.401","LocalEasy","","","","",""
"10","normal","2","前10关小考：轻困难lock","first_hard_quiz","前10轻困难 lock 小考","应出现轻读题或可解释小卡点","38","430","432","True","True","B","4.79","8","2","1","0","6","3","4","0.878","0.163","LocalEasy","","","","",""
"19","normal","3","前20第一标杆/小Boss","front20_peak","前20第一标杆/小Boss","检查是否存在可读 choke，而不是单纯高量级","60","772","816","True","True","A","6.07","8","1","0","0","4","3","7","0.848","0.261","LocalEasy","","","","",""
"20","normal","1","前20收束/新主题预告","post_front20_release","19之后释放/新主题预告","验证峰值后是否真正释放","40","427","432","True","True","B","5.08","9","3","0","0","5","5","2","0.919","0.113","LocalEasy","","","","",""
"23","shape","1","ShapeAnchor","early_shape_heavy","早期重 shape/固定前40样本","检查视觉重与难度的分离","87","735","1073","True","True","B","5.43","10","2","0","0","7","2","5","0.749","0.284","LocalEasy","","","","",""
"25","normal","2","LocalRunBreaker","early_hard_read","早期困难读题位","应观察到 region/axis/choke 之一","64","626","660","True","True","B","4.62","8","3","2","1","5","5","3","0.833","0.184","LocalEasy","","","","",""
"29","normal","4","ExtremeMemory","early_extreme_peak","早期极难/峰值样本","验证 peak 是否有主题和卡点证据","75","772","816","True","True","B","6.17","10","2","2","0","4","4","3","0.907","0.141","LocalEasy","","","","",""
"30","normal","1","NormalPractice","post_extreme_release","29之后释放样本","检查 post-peak release","47","538","540","True","True","B","6.13","10","1","0","0","5","3","2","0.865","0.188","LocalEasy","","","","",""
"38","shape","2","ShapeReadAnchor","shape_hard_jump","shape + difficultyCode2 + early jump","判断 shape 压力是否可读还是视觉重","88","718","1280","True","True","B","5.45","10","5","0","0","8","4","5","0.721","0.314","LocalEasy","","","","",""
"47","normal","4","ExtremeMemory","early_extreme_hub","早期 extreme/hub mixed","检查 hub 是否产生可解释卡点","94","667","713","True","True","B","5.99","10","3","2","1","6","5","5","0.82","0.277","LocalEasy","","","","",""
"72","normal","3","DependencyPeak","mid_peak_pressure","中前段 peak pressure","检查 peak 是否比普通多真实读题","92","862","884","True","True","B","6.65","11","1","0","0","6","2","4","0.831","0.234","LocalEasy","","","","",""
