order,excelRow,mainMissionId,missionType,levelName,replaceReason,oldLevelId,oldAssetPath,oldSingleLevelAsset,oldSingleLevelMeta,oldSize,oldChains,oldDifficulty,oldStatus,oldFlags,newLevelId,newAssetPath,newSize,newChains,newDifficulty,newStatus,newFlags,openingGoodMoves,bottleneckStepRatio,lowClearRatio,note
151,156,251,2,Main/Level_Main_151_hole,V4_post_highchain_hole_replacement,hole_candidate_060_tall_20x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/151_hole_rescue_hole_candidate_060_tall_20x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/151_hole_rescue_hole_candidate_060_tall_20x28_lock.asset.meta,20x28,51,2,Yellow,GrindyLowClear,hole_highchain_016_hc_30x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset,30x28,80,3,Yellow,StartFakeWide|BottleneckHeavy,4.0,0.45,0.138,v2 mid-stage stronger hole; yellow pressure acceptable if no red
192,197,292,2,Main/Level_Main_192_hole,V4_post_highchain_hole_replacement,hole_candidate_063_tall_20x30_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/192_hole_rescue_hole_candidate_063_tall_20x30_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/192_hole_rescue_hole_candidate_063_tall_20x30_lock.asset.meta,20x30,54,2,Yellow,GrindyLowClear,hole_highchain_017_hc_28x30_dense_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_017_hc_28x30_dense_a.asset,28x30,82,3,Yellow,StartFakeWide,2.0,0.341,0.122,v2 second 150-200 pressure sample
242,247,342,2,Main/Level_Main_242_hole,V4_post_highchain_hole_replacement,hole_candidate_073_wide_28x22_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_073_wide_28x22_section.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/242_hole_rescue_hole_candidate_073_wide_28x22_section.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/242_hole_rescue_hole_candidate_073_wide_28x22_section.asset.meta,28x22,58,2,Green,BottleneckHeavy,hole_highchain_004_hc_32x28_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_004_hc_32x28_dual_a.asset,32x28,83,1,Green,None,7.0,0.349,0.06,v2 early 200s hole pressure
267,272,367,2,Main/Level_Main_267_hole,V4_post_highchain_hole_replacement,hole_candidate_025_std_22x28_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/267_hole_rescue_hole_candidate_025_std_22x28_section.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/267_hole_rescue_hole_candidate_025_std_22x28_section.asset.meta,22x28,61,2,Green,None,hole_highchain_extra_001_hc2_32x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset,32x28,82,1,Green,BottleneckHeavy,6.0,0.439,0.159,v2 late 200s hole pressure
301,306,401,2,Main/Level_Main_301_hole,V4_post_highchain_hole_replacement,hole_topup_033_topup_std_26x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/301_hole_rescue_hole_topup_033_topup_std_26x28_dual.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/301_hole_rescue_hole_topup_033_topup_std_26x28_dual.asset.meta,26x28,65,3,Green,BottleneckHeavy,hole_highchain_014_hc_34x28_shell_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_014_hc_34x28_shell_a.asset,34x28,87,2,Yellow,BottleneckHeavy|GrindyLowClear,3.0,0.46,0.149,v2 first 300s higher-hole check
335,340,435,2,Main/Level_Main_335_hole,V4_post_highchain_hole_replacement,hole_topup_049_topup_wide_30x24_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/335_hole_rescue_hole_topup_049_topup_wide_30x24_maze.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/335_hole_rescue_hole_topup_049_topup_wide_30x24_maze.asset.meta,30x24,67,3,Green,None,hole_highchain_extra_003_hc2_32x28_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_003_hc2_32x28_lock_a.asset,32x28,89,2,Yellow,BottleneckHeavy|GrindyLowClear,6.0,0.461,0.18,v2 mid 300s higher-hole check
367,372,467,2,Main/Level_Main_367_hole,V4_post_highchain_hole_replacement,hole_candidate_078_wide_30x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/367_hole_rescue_hole_candidate_078_wide_30x26_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/367_hole_rescue_hole_candidate_078_wide_30x26_lock.asset.meta,30x26,72,3,Green,None,hole_highchain_010_hc_34x26_dual_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_010_hc_34x26_dual_a.asset,34x26,85,1,Green,BottleneckHeavy,4.0,0.518,0.129,v2 replaces red section candidate with steadier dual candidate
392,397,492,2,Main/Level_Main_392_hole,V4_post_highchain_hole_replacement,hole_candidate_042_std_26x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_042_std_26x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/392_hole_rescue_hole_candidate_042_std_26x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/392_hole_rescue_hole_candidate_042_std_26x28_lock.asset.meta,26x28,75,3,Green,None,hole_highchain_extra_019_hc2_34x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,34x28,87,2,Green,None,2.0,0.414,0.138,v2 late 300s second sample
451,456,551,2,Main/Level_Main_451_hole,V4_post_highchain_hole_replacement,hole_candidate_030_std_24x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_030_std_24x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/451_hole_rescue_hole_candidate_030_std_24x28_lock.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/451_hole_rescue_hole_candidate_030_std_24x28_lock.asset.meta,24x28,64,3,Green,BottleneckHeavy,hole_highchain_extra_016_hc2_32x30_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,32x30,91,1,Yellow,GrindyLowClear,6.0,0.253,0.198,v2 first 400+ stronger hole
492,497,592,2,Main/Level_Main_492_hole,V4_post_highchain_hole_replacement,hole_candidate_041_std_26x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_041_std_26x26_maze.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/492_hole_rescue_hole_candidate_041_std_26x26_maze.asset,F:/Unityproject/ArrowLevel-Hand/Exports/Campaign500SingleLevels_Hole10V4_20260613_095022/Levels/492_hole_rescue_hole_candidate_041_std_26x26_maze.asset.meta,26x26,63,2,Yellow,GrindyLowClear,hole_highchain_extra_018_hc2_32x30_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,32x30,90,2,Yellow,StartFakeWide|BottleneckHeavy,2.0,0.422,0.078,v2 late campaign stronger hole
