"order","section10","category","roleInSection","productionLane","productionChainLanguage","productionDifficultyBand","assemblySourcePool","assemblySourceRoot","assemblyGateClass","finalLevelId","finalAssetPath","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","assemblySelectionReason"
"4","1","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","campaign500_shape_psg_newbie4_01_L004_crystalball","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","24","28","55","","4.35","0.989","8","8","6","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"6","1","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","campaign500_shape_psg_newbie4_02_L006_potionbottle","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","28","32","53","","3.68","0.984","6","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"9","1","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","campaign500_shape_psg_newbie4_03_L009_ruler","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","26","26","34","","2.71","0.987","4","8","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"11","2","normal","NormalA_FlowOrNeutral","FlowRail","rail_chain","NormalFlow","SeedV5LongChainExact30",".worktrees/campaign500-longchain-prod200-pool","CampaignHardGateExactOrder","campaign500_longchain_prod200_pool_v1_09_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_09_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor.asset","","","17","36","6.06","0.9457","9","5","5","0.94","0.038","Exact-order candidate from seed V5 passes current Campaign hard gate; fills a missing target slot."
"13","2","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","campaign500_shape_psg_newbie4_04_L013_magicwand","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","44","44","60","","4.45","0.982","9","8","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"23","3","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_direction3_01_L023_train","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","","","87","","5.43","0.991","10","7","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"27","3","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_direction3_02_L027_crownvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","","","72","","4.32","0.993","8","10","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"32","4","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","ManualAcceptedProposed","campaign500_shape_psg_direction3_03_L032_wavecrest","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","","","83","","6.92","0.977","14","9","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"38","4","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","","","88","","5.45","0.990","10","8","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"40","4","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail.asset","23","31","59","22","4.78","0.951","7","6","2","0.903","0.085","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
