rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
1,composite_production100_001_composite_greedy_ab_001_r2_254_a887_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_001_composite_greedy_ab_001_r2_254_a887_a845_h0_identity_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,identity,keep,0,none,0,46,30,151,0.930,True,fast greedy budget=453
2,composite_production100_002_composite_greedy_ab_002_r1_165_a691_a946_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_002_composite_greedy_ab_002_r1_165_a691_a946_h0_identity_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,identity,keep,0,none,0,39,32,136,0.944,True,fast greedy budget=450
3,composite_production100_003_composite_greedy_ab_003_r2_254_a887_r1_232_a845__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_003_composite_greedy_ab_003_r2_254_a887_r1_232_a845__identity_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,identity,keep,0,none,0,48,30,158,0.931,True,fast greedy budget=474
4,composite_production100_004_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_004_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,identity,keep,0,none,0,47,30,128,0.920,True,fast greedy budget=450
5,composite_production100_005_composite_greedy_ab_002_r1_029_a456_r1_232_a845__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_005_composite_greedy_ab_002_r1_029_a456_r1_232_a845__identity_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,identity,keep,0,none,0,49,30,141,0.931,True,fast greedy budget=450
6,composite_production100_006_composite_greedy_ab_003_r2_254_a887_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_006_composite_greedy_ab_003_r2_254_a887_a845_h0_identity_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,identity,keep,0,none,0,46,30,139,0.913,True,fast greedy budget=450
7,composite_production100_007_composite_greedy_ab_004_r1_249_a879_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_007_composite_greedy_ab_004_r1_249_a879_a845_h2_identity_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,identity,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450
8,composite_production100_008_composite_greedy_ab_005_r2_254_a887_r1_232_a845__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_008_composite_greedy_ab_005_r2_254_a887_r1_232_a845__identity_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,identity,keep,0,none,0,48,30,149,0.919,True,fast greedy budget=450
9,composite_production100_009_composite_greedy_ab_006_r2_249_a879_r1_232_a845__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_009_composite_greedy_ab_006_r2_249_a879_r1_232_a845__identity_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,identity,keep,0,none,0,48,30,148,0.933,True,fast greedy budget=450
10,composite_production100_010_composite_greedy_ab_007_z022_a883_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_010_composite_greedy_ab_007_z022_a883_h0_identity_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,identity,keep,0,none,0,47,31,128,0.900,True,fast greedy budget=450
11,composite_production100_011_composite_greedy_ab_008_a717_a883_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_011_composite_greedy_ab_008_a717_a883_h0_identity_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,identity,keep,0,none,0,49,31,127,0.916,True,fast greedy budget=450
12,composite_production100_012_composite_greedy_ab_009_r1_185_a731_a883_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_012_composite_greedy_ab_009_r1_185_a731_a883_h0_identity_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,identity,keep,0,none,0,48,31,128,0.915,True,fast greedy budget=450
13,composite_production100_013_composite_greedy_ab_010_r2_254_a887_r1_156_a672__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_013_composite_greedy_ab_010_r2_254_a887_r1_156_a672__identity_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,identity,keep,0,none,0,45,30,140,0.911,True,fast greedy budget=450
14,composite_production100_014_composite_greedy_ab_011_r1_249_a879_r1_156_a672__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_014_composite_greedy_ab_011_r1_249_a879_r1_156_a672__identity_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,identity,keep,0,none,0,43,30,132,0.928,True,fast greedy budget=450
