rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
1,composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,identity,keep,0,none,0,47,30,131,0.926,True,fast greedy budget=450; localEmpty=0.266
2,composite_final100_002_composite_greedy_ab_002_r1_249_a879_a966_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_002_composite_greedy_ab_002_r1_249_a879_a966_h0_identity_keep_none.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,identity,keep,0,none,0,38,28,125,0.930,True,fast greedy budget=450; localEmpty=0.250
3,composite_final100_003_composite_greedy_ab_003_r1_249_a879_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_003_composite_greedy_ab_003_r1_249_a879_a845_h2_identity_keep_none.asset,composite_greedy_ab_003_r1_249_a879_a845_h2,identity,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450; localEmpty=0.281
4,composite_final100_004_composite_greedy_ab_004_a515_a672_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_004_composite_greedy_ab_004_a515_a672_h2_identity_keep_none.asset,composite_greedy_ab_004_a515_a672_h2,identity,keep,0,none,0,45,35,127,0.917,True,fast greedy budget=450; localEmpty=0.219
5,composite_final100_005_composite_greedy_ab_005_a857_r1_282_a966_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_005_composite_greedy_ab_005_a857_r1_282_a966_h0_identity_keep_none.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,identity,keep,0,none,0,39,28,137,0.922,True,fast greedy budget=450; localEmpty=0.250
6,composite_final100_006_composite_greedy_ab_006_r2_152_a661_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_006_composite_greedy_ab_006_r2_152_a661_a845_h0_identity_keep_none.asset,composite_greedy_ab_006_r2_152_a661_a845_h0,identity,keep,0,none,0,47,30,131,0.922,True,fast greedy budget=450; localEmpty=0.359
7,composite_final100_007_composite_greedy_ab_007_r1_278_a955_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_007_composite_greedy_ab_007_r1_278_a955_a845_h0_identity_keep_none.asset,composite_greedy_ab_007_r1_278_a955_a845_h0,identity,keep,0,none,0,42,30,131,0.934,True,fast greedy budget=450; localEmpty=0.125
8,composite_final100_008_composite_greedy_ab_008_r2_020_a435_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_008_composite_greedy_ab_008_r2_020_a435_a845_h0_identity_keep_none.asset,composite_greedy_ab_008_r2_020_a435_a845_h0,identity,keep,0,none,0,44,30,121,0.905,True,fast greedy budget=450; localEmpty=0.281
9,composite_final100_009_composite_greedy_ab_009_a876_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_009_composite_greedy_ab_009_a876_a845_h2_identity_keep_none.asset,composite_greedy_ab_009_a876_a845_h2,identity,keep,0,none,0,44,30,126,0.924,True,fast greedy budget=450; localEmpty=0.188
10,composite_final100_010_composite_greedy_ab_010_r1_097_a581_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_010_composite_greedy_ab_010_r1_097_a581_a845_h2_identity_keep_none.asset,composite_greedy_ab_010_r1_097_a581_a845_h2,identity,keep,0,none,0,46,32,144,0.932,True,fast greedy budget=450; localEmpty=0.297
11,composite_final100_011_composite_greedy_ab_011_r1_063_a515_a672_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_011_composite_greedy_ab_011_r1_063_a515_a672_h0_identity_keep_none.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,identity,keep,0,none,0,47,35,141,0.922,True,fast greedy budget=450; localEmpty=0.297
