rank,status,pack,sourceId,sourcePath,outputId,outputPath,mode,width,height,chainsBefore,chainsAfter,tilesBefore,tilesAfter,coverageBefore,coverageAfter,outer1Before,outer1After,outer2Before,outer2After,maxOuterEmptyBefore,maxOuterEmptyAfter,edgeShortBefore,edgeShortAfter,edgeLongBefore,edgeLongAfter,maxEdgeRunBefore,maxEdgeRunAfter,trimmedOuterExit,trimmedOuterShort,filled,greedy,score,details
1,repaired,R2,r1_ab_001_seed_001_final_rotation_double_flip_180,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_001_seed_001_final_rotation_double_flip_180.asset,r2_outer_strong_001_r2_001_a001,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_001_r2_001_a001.asset,fill_outer,5,5,3,5,8,20,0.320,0.800,0.438,0.813,0.333,0.833,3,1,3,3,0,0,3,5,0,0,4,True,8783.7,original:greedy=True:outer1=0.438:outer2=0.333:empty=3:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.813:outer2=0.833:empty=1:edgeShort=3:edgeLong=0:filled=4:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.813:outer2=0.833:empty=1:edgeShort=3:edgeLong=0:filled=4:trim=0/0:fast greedy budget=450
2,repaired,R2,r1_ab_003_seed_002_final_sparse_prefill_fill9_hole20_addcells_rewrite_v2_v2_t2_added12_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_003_seed_002_final_sparse_prefill_fill9_hole20_addcells_rewrite_v2_v2_t2_added12_rotation_vflip.asset,r2_outer_strong_002_r2_003_a002,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_002_r2_003_a002.asset,fill_outer,6,7,7,9,31,37,0.738,0.881,0.773,0.909,0.722,0.889,2,1,5,6,0,0,3,4,0,0,3,True,9762.2,original:greedy=True:outer1=0.773:outer2=0.722:empty=2:edgeShort=5:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.909:outer2=0.889:empty=1:edgeShort=6:edgeLong=0:filled=3:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.864:outer2=0.917:empty=2:edgeShort=4:edgeLong=0:filled=6:trim=0/2:fast greedy budget=450
3,repaired,R2,r1_ab_004_seed_003_final_sparse_prefill_fill9_hole22_addcells_rewrite_v2_v2_r2_added12_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_004_seed_003_final_sparse_prefill_fill9_hole22_addcells_rewrite_v2_v2_r2_added12_rotation_hflip.asset,r2_outer_strong_003_r2_004_a003,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_003_r2_004_a003.asset,trim_refill,8,6,8,11,33,46,0.688,0.958,0.667,1.000,0.700,0.950,3,0,6,7,0,0,4,6,0,1,4,True,10839.7,original:greedy=True:outer1=0.667:outer2=0.700:empty=3:edgeShort=6:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.917:outer2=0.925:empty=1:edgeShort=8:edgeLong=0:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.950:empty=0:edgeShort=7:edgeLong=0:filled=4:trim=0/1:fast greedy budget=450
4,kept,R2,r1_ab_005_seed_004_final_sparse_prefill_fill9_hole23_addcells_rewrite_v2_v2_l2_added12_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_005_seed_004_final_sparse_prefill_fill9_hole23_addcells_rewrite_v2_v2_l2_added12_rotation_hflip.asset,r2_outer_strong_004_r2_005_a004,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_004_r2_005_a004.asset,original,10,6,10,10,46,46,0.767,0.767,0.714,0.714,0.729,0.729,4,4,7,7,0,0,4,4,0,0,0,True,7262.5,original:greedy=True:outer1=0.714:outer2=0.729:empty=4:edgeShort=7:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.929:outer2=0.958:empty=1:edgeShort=8:edgeLong=0:filled=6:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.929:outer2=0.958:empty=1:edgeShort=8:edgeLong=0:filled=6:trim=0/0:fast greedy failed budget=450
5,repaired,R2,r1_ab_006_above300_level_401_final_take_refill_v2_p2_delta13_occ13_addcells_rewrite_v2_v2_r2_added62_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_006_above300_level_401_final_take_refill_v2_p2_delta13_occ13_addcells_rewrite_v2_v2_r2_added62_rotation_vflip.asset,r2_outer_strong_005_r2_006_a401,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_005_r2_006_a401.asset,fill_outer,25,33,115,118,783,792,0.949,0.960,0.911,0.982,0.935,0.977,2,1,21,24,0,0,7,7,0,0,7,True,10290.9,original:greedy=True:outer1=0.911:outer2=0.935:empty=2:edgeShort=21:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.982:outer2=0.977:empty=1:edgeShort=24:edgeLong=0:filled=7:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.982:outer2=0.977:empty=1:edgeShort=24:edgeLong=0:filled=7:trim=0/0:fast greedy budget=450
6,repaired,R2,r1_ab_008_above300_level_409_final_take_refill_v2_p2_delta11_occ11_addcells_rewrite_v2_v2_t3_added103_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_008_above300_level_409_final_take_refill_v2_p2_delta11_occ11_addcells_rewrite_v2_v2_t3_added103_rotation_vflip.asset,r2_outer_strong_006_r2_008_a409,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_006_r2_008_a409.asset,fill_outer,35,37,164,167,1257,1265,0.971,0.977,0.943,1.000,0.956,0.985,1,0,35,34,4,4,14,14,0,0,8,True,10163.6,original:greedy=True:outer1=0.943:outer2=0.956:empty=1:edgeShort=35:edgeLong=4:filled=0:trim=0/0:fast greedy budget=492 | fill_outer:greedy=True:outer1=1.000:outer2=0.985:empty=0:edgeShort=34:edgeLong=4:filled=8:trim=0/0:fast greedy budget=501 | trim_refill:greedy=True:outer1=1.000:outer2=0.985:empty=0:edgeShort=34:edgeLong=4:filled=8:trim=0/0:fast greedy budget=501
7,repaired,R2,r1_ab_010_above300_level_417_final_take_refill_v2_p2_delta23_occ23_addcells_rewrite_v2_v2_l2_added57_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_010_above300_level_417_final_take_refill_v2_p2_delta23_occ23_addcells_rewrite_v2_v2_l2_added57_rotation_vflip.asset,r2_outer_strong_007_r2_010_a417,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_007_r2_010_a417.asset,fill_outer,25,30,81,83,701,726,0.935,0.968,0.726,0.953,0.838,0.961,21,2,18,18,5,7,29,29,0,0,7,True,9281.5,original:greedy=True:outer1=0.726:outer2=0.838:empty=21:edgeShort=18:edgeLong=5:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.953:outer2=0.961:empty=2:edgeShort=18:edgeLong=7:filled=7:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.953:outer2=0.961:empty=2:edgeShort=18:edgeLong=7:filled=7:trim=0/0:fast greedy budget=450
8,kept,R2,r1_ab_012_above300_level_419_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_b3_added56_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_012_above300_level_419_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_b3_added56_rotation_vflip.asset,r2_outer_strong_008_r2_012_a419,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_008_r2_012_a419.asset,original,19,26,63,63,477,477,0.966,0.966,0.953,0.953,0.957,0.957,1,1,13,13,2,2,16,16,0,0,0,True,9990.9,original:greedy=True:outer1=0.953:outer2=0.957:empty=1:edgeShort=13:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=1.000:outer2=0.994:empty=0:edgeShort=15:edgeLong=2:filled=4:trim=0/0:build failed 第 4 条箭头头部前方被自身占用。 | trim_refill:greedy=False:outer1=1.000:outer2=0.988:empty=0:edgeShort=15:edgeLong=2:filled=5:trim=0/1:build failed 第 4 条箭头头部前方被自身占用。
9,repaired,R2,r1_ab_013_above300_level_421_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_b3_added63_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_013_above300_level_421_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_b3_added63_rotation_vflip.asset,r2_outer_strong_009_r2_013_a421,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_009_r2_013_a421.asset,fill_outer,22,27,66,71,557,570,0.938,0.960,0.819,0.957,0.889,0.961,4,1,12,16,0,0,6,6,0,0,13,True,10159.3,original:greedy=True:outer1=0.819:outer2=0.889:empty=4:edgeShort=12:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.957:outer2=0.961:empty=1:edgeShort=16:edgeLong=0:filled=13:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.957:outer2=0.961:empty=1:edgeShort=16:edgeLong=0:filled=13:trim=0/0:fast greedy budget=450
10,repaired,R2,r1_ab_014_above300_level_423_final_take_refill_v2_p2_delta19_occ13_addcells_rewrite_v2_v2_t3_added93_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_014_above300_level_423_final_take_refill_v2_p2_delta19_occ13_addcells_rewrite_v2_v2_t3_added93_rotation_vflip.asset,r2_outer_strong_010_r2_014_a423,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_010_r2_014_a423.asset,fill_outer,32,41,138,143,1249,1276,0.952,0.973,0.789,0.972,0.862,0.960,26,1,25,26,1,2,12,18,0,0,9,True,9928.9,original:greedy=True:outer1=0.789:outer2=0.862:empty=26:edgeShort=25:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.972:outer2=0.960:empty=1:edgeShort=26:edgeLong=2:filled=9:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.972:outer2=0.960:empty=1:edgeShort=26:edgeLong=2:filled=9:trim=0/0:fast greedy budget=450
