slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
1,1,A,r1_ab_029_above300_level_456_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_029_above300_level_456_final.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,131,0.926,14,True,preserved-repaired reversed=10 removed=0 chains=131 coverage=0.902 dep=rev#41 blocks=116->116 rayBlocks=437->433 layers=106/25->131/0 gate=101:7->109:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=40>41>45>47>51>52>53>71; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.926
2,1,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,131,0.926,14,True,preserved-repaired reversed=10 removed=0 chains=131 coverage=0.902 dep=rev#41 blocks=116->116 rayBlocks=437->433 layers=106/25->131/0 gate=101:7->109:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=40>41>45>47>51>52>53>71; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.926
3,1,A+B greedy,composite_greedy_ab_001_r1_029_a456_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_001_r1_029_a456_a845_h2.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,131,0.926,14,True,preserved-repaired reversed=10 removed=0 chains=131 coverage=0.902 dep=rev#41 blocks=116->116 rayBlocks=437->433 layers=106/25->131/0 gate=101:7->109:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=40>41>45>47>51>52>53>71; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.926
4,2,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_966,composite_greedy_ab_002_r1_249_a879_a966_h0,H0,38,28,125,0.930,21,True,preserved-repaired reversed=12 removed=3 chains=123 coverage=0.911 dep=del#107 blocks=111->110 rayBlocks=492->481 layers=118/6->123/0 gate=107:4->97:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=82>103>107>109>112>113; edgeFill=2
5,2,B,seed_Above300_level_966,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_966.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_966,composite_greedy_ab_002_r1_249_a879_a966_h0,H0,38,28,125,0.930,21,True,preserved-repaired reversed=12 removed=3 chains=123 coverage=0.911 dep=del#107 blocks=111->110 rayBlocks=492->481 layers=118/6->123/0 gate=107:4->97:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=82>103>107>109>112>113; edgeFill=2
6,2,A+B greedy,composite_greedy_ab_002_r1_249_a879_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_002_r1_249_a879_a966_h0.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_966,composite_greedy_ab_002_r1_249_a879_a966_h0,H0,38,28,125,0.930,21,True,preserved-repaired reversed=12 removed=3 chains=123 coverage=0.911 dep=del#107 blocks=111->110 rayBlocks=492->481 layers=118/6->123/0 gate=107:4->97:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=82>103>107>109>112>113; edgeFill=2
7,3,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_003_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
8,3,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_003_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
9,3,A+B greedy,composite_greedy_ab_003_r1_249_a879_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_003_r1_249_a879_a845_h2.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_003_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
10,4,A,seed_Above300_level_515,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_515.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_004_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
