rank,id,path,source,mode,width,height,chains,coverage,greedy,details
1,composite_scoretop10_001_composite_greedy_ab_001_r2_254_a887_a845_h0_identity,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_001_composite_greedy_ab_001_r2_254_a887_a845_h0_identity.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,identity,46,30,151,0.930,True,fast greedy budget=453
2,composite_scoretop10_002_composite_greedy_ab_001_r2_254_a887_a845_h0_hflip,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_002_composite_greedy_ab_001_r2_254_a887_a845_h0_hflip.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,hflip,46,30,151,0.930,True,fast greedy budget=453
3,composite_scoretop10_003_composite_greedy_ab_001_r2_254_a887_a845_h0_vflip,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_003_composite_greedy_ab_001_r2_254_a887_a845_h0_vflip.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,vflip,46,30,151,0.930,True,fast greedy budget=453
4,composite_scoretop10_004_composite_greedy_ab_001_r2_254_a887_a845_h0_rot180,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_004_composite_greedy_ab_001_r2_254_a887_a845_h0_rot180.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot180,46,30,151,0.930,True,fast greedy budget=453
5,composite_scoretop10_005_composite_greedy_ab_001_r2_254_a887_a845_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_005_composite_greedy_ab_001_r2_254_a887_a845_h0_rot90.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot90,30,46,151,0.930,True,fast greedy budget=453
6,composite_scoretop10_006_composite_greedy_ab_001_r2_254_a887_a845_h0_rot270,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_006_composite_greedy_ab_001_r2_254_a887_a845_h0_rot270.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot270,30,46,151,0.930,True,fast greedy budget=453
7,composite_scoretop10_007_composite_greedy_ab_002_r1_165_a691_a946_h0_identity,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_007_composite_greedy_ab_002_r1_165_a691_a946_h0_identity.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,identity,39,32,136,0.944,True,fast greedy budget=450
8,composite_scoretop10_008_composite_greedy_ab_002_r1_165_a691_a946_h0_hflip,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_008_composite_greedy_ab_002_r1_165_a691_a946_h0_hflip.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,hflip,39,32,136,0.944,True,fast greedy budget=450
9,composite_scoretop10_009_composite_greedy_ab_002_r1_165_a691_a946_h0_vflip,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_009_composite_greedy_ab_002_r1_165_a691_a946_h0_vflip.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,vflip,39,32,136,0.944,True,fast greedy budget=450
10,composite_scoretop10_010_composite_greedy_ab_002_r1_165_a691_a946_h0_rot180,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop10/composite_scoretop10_010_composite_greedy_ab_002_r1_165_a691_a946_h0_rot180.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,rot180,39,32,136,0.944,True,fast greedy budget=450
