status,rank,newRank,id,type,width,height,chains,coverage,holeScore,localEmpty8,localEmpty8Cells,localEmpty8Total,localEmpty6,localEmpty6Cells,localEmpty6Total,centerEmpty
keep,1,1,composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120,mild-hole,29,41,126,0.960,41.5,0.219,14,64,0.389,14,36,0.051
keep,2,2,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,mild-hole,29,41,126,0.960,41.5,0.219,14,64,0.389,14,36,0.051
keep,3,3,composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120,local-hole,29,40,134,0.939,46.4,0.234,15,64,0.389,14,36,0.072
remove,4,0,composite_play_cand_098_composite_portrait150_059_composite_greedy_ab_06_rot180_keep_edge120,center-hole,32,44,138,0.919,76.3,0.453,29,64,0.556,20,36,0.138
remove,5,0,composite_play_cand_072_composite_portrait150_059_composite_greedy_ab_06_vflip_keep_edge120,center-hole,32,44,138,0.919,76.2,0.453,29,64,0.556,20,36,0.136
keep,6,4,composite_play_cand_104_composite_portrait150_097_composite_greedy_ab_10_rot180_keep_edge120,local-hole,29,40,134,0.939,46.4,0.234,15,64,0.389,14,36,0.072
keep,7,5,composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120,local-hole,31,47,135,0.940,56.9,0.313,20,64,0.472,17,36,0.091
keep,8,6,composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120,local-hole,31,47,135,0.940,55.7,0.328,21,64,0.417,15,36,0.093
keep,9,7,composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120,local-hole,28,37,135,0.945,50.3,0.266,17,64,0.417,15,36,0.092
keep,10,8,composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120,local-hole,31,47,144,0.951,53.4,0.328,21,64,0.417,15,36,0.074
keep,11,9,composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120,local-hole,31,47,144,0.951,54.5,0.313,20,64,0.472,17,36,0.070
