"order","patchKind","levelId","assetPath","productionLane","productionChainLanguage","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","chains","arrowTiles","assetExists"
"302","NutationStrictGapfill","c5s1_b_04_nutation_strict_mixed_choiceclamp_v1_rect_s31_o302_v03_strictmixedchoiceclamp_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/b/c5s1_b_04_nutation_strict_mixed_choiceclamp_v1_rect_s31_o302_v03_strictmixedchoiceclamp_mixed_chain.asset","StrictMixedChoiceClamp","mixed_chain","0.982","10","5","3","0.918","0.153","6","6","80","766","True"
"305","NutationStrictAfter300Deferred","c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","PeelMid","rail_chain","0.992","10","5","5","0.877","0.174","6","6","82","818","True"
"308","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.983","9","5","4","0.891","0.16","6","5","71","649","True"
"309","NutationStrictAfter300Deferred","c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","PressurePeak","mixed_chain","0.985","10","5","3","0.907","0.113","5","5","93","871","True"
"311","NutationStrictAfter300Deferred","campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","FlowRail","rail_chain","0.996","10","5","3","0.865","0.188","7","7","47","538","True"
"314","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.985","9","5","5","0.895","0.188","7","6","72","650","True"
"316","NutationStrictAfter300Deferred","c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","PressurePeak","mixed_chain","0.99","10","4","4","0.854","0.138","6","4","100","962","True"
"322","NutationStrictAfter300Deferred","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","FlowPatch","patch_chain","0.991","9","3","3","0.932","0.028","5","3","48","535","True"
"326","NutationStrictGapfill","c5v4f_gapfill_v1_gap8a_22_nutation_mixed_neutral_v1_rect_s33_o326_v09_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/gap8a/c5v4f_gapfill_v1_gap8a_22_nutation_mixed_neutral_v1_rect_s33_o326_v09_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.974","8","3","3","0.867","0.178","6","6","74","750","True"
"329","NutationStrictAfter300Deferred","c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","PressurePeak","mixed_chain","0.983","9","5","3","0.936","0.104","7","4","94","869","True"
