Index,Spec,Structure,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Blocks,OuterCutCells,AllowedCells,AllowedCoverage,BoardCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
1,front20_01_lock_16x18,LockBuckle,hole_candidate_001_front20_01_lock_16x18,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_001_front20_01_lock_16x18.asset,16,18,28,18,211,72,0,216,0.977,0.733,0.975,6,6,7,28,7.54,15,0.406,47,True,6,181.8,ok,261,DirectHole style=HoleLock score=19250 openingRatio=0.214 | ConstrainedPeel style=HoleLock seed=18700682 fill=211/216(0.977) chains=28 blocks=72 remaining=5 rejectedShort=0 failedPeels=1
2,front20_02_section_17x18,SectionUnlock,hole_candidate_002_front20_02_section_17x18,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_002_front20_02_section_17x18.asset,17,18,24,20,230,72,0,234,0.983,0.752,0.976,7,7,6,24,9.58,18,0.346,25,True,7,181.0,ok,357,DirectHole style=HoleMaze score=22741 openingRatio=0.292 | ConstrainedPeel style=HoleMaze seed=10928202 fill=230/234(0.983) chains=24 blocks=72 remaining=4 rejectedShort=0 failedPeels=1
3,std_18x22_lock,LockBuckle,hole_candidate_003_std_18x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_003_std_18x22_lock.asset,18,22,35,34,314,72,0,324,0.969,0.793,0.958,6,6,13,35,8.97,18,0.275,65,True,6,179.6,ok,299,DirectHole style=HoleMaze score=29043 openingRatio=0.171 | ConstrainedPeel style=HoleMaze seed=4875856 fill=314/324(0.969) chains=35 blocks=72 remaining=10 rejectedShort=0 failedPeels=1
4,std_18x22_section,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_004_std_18x22_section.asset,18,22,0,34,0,72,0,324,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21329398 fill=314/324(0.969) chains=38 blocks=72 remaining=10 rejectedShort=0 failedPeels=1
5,std_18x22_maze,MazeLongChain,hole_candidate_005_std_18x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_005_std_18x22_maze.asset,18,22,33,28,322,72,0,324,0.994,0.813,0.986,7,7,6,33,9.76,18,0.344,56,True,7,180.0,ok,378,DirectHole style=HoleMaze score=32006 openingRatio=0.212 | ConstrainedPeel style=HoleMaze seed=13171635 fill=322/324(0.994) chains=33 blocks=72 remaining=2 rejectedShort=0 failedPeels=1
6,std_18x24_lock,LockBuckle,hole_candidate_006_std_18x24_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_006_std_18x24_lock.asset,18,24,42,38,352,72,0,360,0.978,0.815,0.967,13,13,12,42,8.38,18,0.328,74,True,13,182.2,ok,316,DirectHole style=HoleMaze score=29837 openingRatio=0.310 | ConstrainedPeel style=HoleMaze seed=6690267 fill=352/360(0.978) chains=42 blocks=72 remaining=8 rejectedShort=0 failedPeels=1
7,std_18x24_section,SectionUnlock,hole_candidate_007_std_18x24_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_007_std_18x24_section.asset,18,24,51,38,350,72,0,360,0.972,0.810,0.987,5,5,20,51,6.86,15,0.351,129,True,5,184.0,ok,147,DirectHole style=HoleLock score=26012 openingRatio=0.098 | ConstrainedPeel style=HoleLock seed=6839698 fill=350/360(0.972) chains=51 blocks=72 remaining=10 rejectedShort=0 failedPeels=1
8,std_18x24_dense,DenseWeave,hole_candidate_008_std_18x24_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_008_std_18x24_dense.asset,18,24,38,40,351,72,0,360,0.975,0.813,0.974,10,10,13,38,9.24,17,0.295,82,True,10,182.7,ok,424,DirectHole style=HoleMaze score=32264 openingRatio=0.263 | ConstrainedPeel style=HoleMaze seed=18023187 fill=351/360(0.975) chains=38 blocks=72 remaining=9 rejectedShort=0 failedPeels=1
9,std_20x22_lock,LockBuckle,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,20,22,41,39,357,72,0,368,0.970,0.811,0.961,9,9,13,41,8.71,18,0.240,72,True,9,181.0,ok,406,DirectHole style=HoleMaze score=33121 openingRatio=0.220 | ConstrainedPeel style=HoleMaze seed=16149895 fill=357/368(0.970) chains=41 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
10,std_20x22_section,SectionUnlock,hole_candidate_010_std_20x22_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_010_std_20x22_section.asset,20,22,55,39,360,72,0,368,0.978,0.818,0.967,15,15,17,55,6.55,15,0.324,137,True,15,183.8,ok,111,DirectHole style=HoleLock score=24132 openingRatio=0.273 | ConstrainedPeel style=HoleLock seed=3103472 fill=360/368(0.978) chains=55 blocks=72 remaining=8 rejectedShort=0 failedPeels=1
