"order","sectionWaveRole","finalStatus","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","width","height","chainCount","maxChainLen","avgChainLen","validEscapeChains","blockedChains","blockCellBlockedChains","openerRatio","decoyToOpenerRatio","dependencyEdges","dependencyDensity","dependencyDepth","dependencyCycleHits","crossRegionEdges","crossRegionEdgeRate","sameRegionEdgeRate","criticalBlockerChains","avgEscapeRayLength","longRayRate","immediateRayRate","shortRayRate","regionEntropy","observationPressureScore","observationClass","readDemandScore","readDemandClass","notes"
"1","Normal","OriginalKeptRhythmV4","","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","10","7","6","5","3.5","4","2","0","0.6667","0.5","2","0.3333","1","0","1","0.5","0.5","0","1","0","1","1","0.9591","16.8","LowObservation","0","ReadLight","many_openers;shallow_dependency;short_head_rays;adjacent_blockers_dominate"
"3","Normal","ReplacedRhythmV4","FlowRail","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","18","24","36","22","11.861","6","30","0","0.1667","5","30","0.8333","5","0","3","0.1","0.9","9","0.833","0","1","1","0.985","72.99","HighObservation","4.1","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"5","Normal","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","18","24","36","22","11.917","5","31","0","0.1389","6.2","31","0.8611","5","0","8","0.2581","0.7419","10","0.861","0","1","1","0.9773","77.85","HighObservation","15.14","ReadLight","short_head_rays;adjacent_blockers_dominate"
"7","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","20","27","50","21","10.54","2","48","0","0.04","24","48","0.96","8","0","10","0.2083","0.7917","15","0.96","0","1","1","0.9818","76.34","HighObservation","21.73","ReadLight","short_head_rays;adjacent_blockers_dominate"
"8","Hard","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","20","27","46","22","11.63","3","43","0","0.0652","14.333","43","0.9348","6","0","16","0.3721","0.6279","9","0.935","0","1","1","0.9874","81.48","HighObservation","22.27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"10","PeakExtreme","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","20","27","52","21","10.173","3","49","0","0.0577","16.333","49","0.9423","11","0","10","0.2041","0.7959","14","0.942","0","1","1","0.978","76.17","HighObservation","23.61","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"11","Normal","ReplacedRhythmV4","FlowCurve","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","18","24","34","22","12.5","5","29","0","0.1471","5.8","29","0.8529","5","0","12","0.4138","0.5862","10","0.853","0","1","1","0.9988","82.86","HighObservation","19.4","ReadLight","short_head_rays;adjacent_blockers_dominate"
"12","Normal","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","20","27","48","22","11.146","3","45","0","0.0625","15","45","0.9375","8","0","12","0.2667","0.7333","10","0.938","0","1","1","0.9915","78.23","HighObservation","21.5","ReadLight","short_head_rays;adjacent_blockers_dominate"
"14","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","20","27","54","21","9.796","1","53","0","0.0185","53","53","0.9815","9","0","8","0.1509","0.8491","13","0.981","0","1","1","0.992","74.63","HighObservation","15.12","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"15","Normal","ReplacedRhythmV4","FlowCurve","flow","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","20","27","55","21","9.636","2","53","0","0.0364","26.5","53","0.9636","7","0","11","0.2075","0.7925","17","0.964","0","1","1","0.9892","76.37","HighObservation","21.7","ReadLight","short_head_rays;adjacent_blockers_dominate"
