"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h03r_01_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_01_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.986","68","2","Style=PressureHard | Score=22531 | TargetInitial=5 | OpeningRatio=0.029 | Straightness=0.466 | EarlyChoices=22.7/48 | LocalRun=6 | Jump=6.7 | NearRate=0.52 | Peel style=PressureHard seed=1738203128 fill=651/660(0.986) chains=68 remaining=9 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_02_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_02_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.985","63","2","Style=PressureHard | Score=16589 | TargetInitial=4 | OpeningRatio=0.032 | Straightness=0.494 | EarlyChoices=21.2/54 | LocalRun=6 | Jump=6.0 | NearRate=0.61 | Peel style=PressureHard seed=1720513071 fill=650/660(0.985) chains=63 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_03_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_03_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.989","73","1","Style=PressureHard | Score=18265 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.467 | EarlyChoices=25.9/53 | LocalRun=5 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=1745028801 fill=653/660(0.989) chains=73 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_04_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_04_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.983","74","1","Style=PressureHard | Score=16946 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.511 | EarlyChoices=29.1/48 | LocalRun=4 | Jump=7.2 | NearRate=0.48 | Peel style=PressureHard seed=1748598731 fill=649/660(0.983) chains=74 remaining=11 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_05_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_05_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.988","70","1","Style=PressureHard | Score=17997 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.498 | EarlyChoices=26.5/58 | LocalRun=5 | Jump=5.9 | NearRate=0.52 | Peel style=PressureHard seed=1742428864 fill=652/660(0.988) chains=70 remaining=8 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_06_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_06_nutation_strict_mixed_choiceclamp_v1_rect_s12_o112_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Peak","0.985","67","1","Style=PressureHard | Score=15066 | TargetInitial=5 | OpeningRatio=0.015 | Straightness=0.479 | EarlyChoices=23.3/59 | LocalRun=6 | Jump=8.0 | NearRate=0.39 | Peel style=PressureHard seed=1754062927 fill=650/660(0.985) chains=67 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_07_nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_07_nutation_strict_mixed_peak_v1_rect_s12_o112_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","0","v00","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.974","70","3","Style=PressureHard | Score=5759 | TargetInitial=5 | OpeningRatio=0.043 | Straightness=0.469 | EarlyChoices=19.5/40 | LocalRun=5 | Jump=7.9 | NearRate=0.55 | Peel style=PressureHard seed=357042826 fill=643/660(0.974) chains=70 remaining=17 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_08_nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_08_nutation_strict_mixed_peak_v1_rect_s12_o112_v01_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","1","v01","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.989","77","2","Style=PressureHard | Score=3636 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.479 | EarlyChoices=26.3/56 | LocalRun=7 | Jump=6.9 | NearRate=0.58 | Peel style=PressureHard seed=376950480 fill=653/660(0.989) chains=77 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_09_nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_09_nutation_strict_mixed_peak_v1_rect_s12_o112_v02_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","2","v02","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.986","75","5","Style=PressureHard | Score=3612 | TargetInitial=5 | OpeningRatio=0.067 | Straightness=0.467 | EarlyChoices=24.8/51 | LocalRun=3 | Jump=8.3 | NearRate=0.48 | Peel style=PressureHard seed=361564461 fill=651/660(0.986) chains=75 remaining=9 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_10_nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_10_nutation_strict_mixed_peak_v1_rect_s12_o112_v03_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","3","v03","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.989","72","2","Style=PressureHard | Score=-977 | TargetInitial=5 | OpeningRatio=0.028 | Straightness=0.505 | EarlyChoices=30.3/60 | LocalRun=3 | Jump=7.4 | NearRate=0.42 | Peel style=PressureHard seed=379377535 fill=653/660(0.989) chains=72 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112","112","12","4","v04","StrictMixedPeak","strict_peak_chain_hf1","Peak","0.982","66","2","Style=PressureHard | Score=2854 | TargetInitial=5 | OpeningRatio=0.030 | Straightness=0.498 | EarlyChoices=21.9/46 | LocalRun=5 | Jump=8.5 | NearRate=0.48 | Peel style=PressureHard seed=384937316 fill=648/660(0.982) chains=66 remaining=12 rejectedShort=0 failedPeels=1"
