"selected","levelId","path","source","coverage","chains","maxChain","order","section10","replacementRole","productionDifficultyBand","plannedWidth","plannedHeight","plannedTargetChains","styleHint","profile","sourceReport","sourceIndex","openers","avgChoices","maxChoices","rhythmScore","rhythmClass","choicePressure","pseudoDepthRisk"
"1","campaign500_normal_full_v1_s14_s26_19_nutation_peel_rail_v1_rect_s15_o148_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_19_nutation_peel_rail_v1_rect_s15_o148_v00_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.996","72","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_report.csv","19","5","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_19_nutation_peel_rail_v1_rect_s15_o148_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_19_nutation_peel_rail_v1_rect_s15_o148_v00_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.996","72","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_s14_s26_report.csv","19","5","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_20_nutation_peel_rail_v1_rect_s15_o148_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_20_nutation_peel_rail_v1_rect_s15_o148_v01_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.992","64","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_s14_s26_report.csv","20","6","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_20_nutation_peel_rail_v1_rect_s15_o148_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_20_nutation_peel_rail_v1_rect_s15_o148_v01_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.992","64","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_report.csv","20","6","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_21_nutation_peel_rail_v1_rect_s15_o148_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_21_nutation_peel_rail_v1_rect_s15_o148_v02_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","70","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_report.csv","21","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_21_nutation_peel_rail_v1_rect_s15_o148_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_21_nutation_peel_rail_v1_rect_s15_o148_v02_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.994","70","20","148","15","Hard","Hard","23","31","111","section","PSG_Normal_section_Hard_Pressure","campaign500_normal_full_v1_s14_s26_report.csv","21","7","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_31_nutation_peel_rail_v1_rect_s16_o152_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_31_nutation_peel_rail_v1_rect_s16_o152_v00_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.996","74","20","152","16","Hard","Hard","23","31","106","lock","PSG_Normal_lock_Hard_Normal","campaign500_normal_full_v1_s14_s26_report.csv","31","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_31_nutation_peel_rail_v1_rect_s16_o152_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_31_nutation_peel_rail_v1_rect_s16_o152_v00_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.996","74","20","152","16","Hard","Hard","23","31","106","lock","PSG_Normal_lock_Hard_Normal","campaign500_normal_full_v1_report.csv","31","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_32_nutation_peel_rail_v1_rect_s16_o152_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_32_nutation_peel_rail_v1_rect_s16_o152_v01_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.987","68","20","152","16","Hard","Hard","23","31","106","lock","PSG_Normal_lock_Hard_Normal","campaign500_normal_full_v1_report.csv","32","8","0","0","0","RawCandidate","Unknown","Unknown"
"1","campaign500_normal_full_v1_s14_s26_32_nutation_peel_rail_v1_rect_s16_o152_v01_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_32_nutation_peel_rail_v1_rect_s16_o152_v01_peelmid_rail_chain.asset","Campaign500Missing48RawCandidatesV1","0.987","68","20","152","16","Hard","Hard","23","31","106","lock","PSG_Normal_lock_Hard_Normal","campaign500_normal_full_v1_s14_s26_report.csv","32","8","0","0","0","RawCandidate","Unknown","Unknown"
