"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"True","7818.8","152","16","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.98","8","3","3","0.907","0.118","6","5"
"True","7305.8","152","16","c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_03_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.99","10","3","3","0.903","0.188","7","7"
"False","6347.1","152","16","c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_05_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.99","8","5","5","0.862","0.331","11","11"
"False","6299","152","16","c5hole_lowchoice_v1_h04r_12_nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_12_nutation_strict_mixed_hard_v1_rect_s16_o152_v05_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.985","9","8","4","0.841","0.24","7","6"
"False","5982.2","152","16","c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_02_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.989","10","7","4","0.81","0.252","6","6"
"False","5822.7","152","16","c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_06_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.983","11","10","5","0.845","0.217","8","5"
"False","5625.9","152","16","c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_10_nutation_strict_mixed_hard_v1_rect_s16_o152_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.98","10","6","4","0.79","0.299","9","7"
"False","5237.6","152","16","c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_04_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.993","8","5","3","0.772","0.406","14","14"
"False","5169.9","152","16","c5hole_lowchoice_v1_h04r_07_nutation_strict_mixed_hard_v1_rect_s16_o152_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_07_nutation_strict_mixed_hard_v1_rect_s16_o152_v00_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.99","13","8","4","0.816","0.339","9","9"
"False","4561.8","152","16","c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_01_nutation_strict_mixed_choiceclamp_v1_rect_s16_o152_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order152_shortroot1_trace_joined.csv","True","0.986","10","9","5","0.768","0.388","14","11"
