"order","section10","category","difficultyNameZh","experienceRole","replacementMark","isChangedFromOriginalTemplate","finalStatus","assemblyAction","originalLevelId","finalLevelId","productionLane","productionStyle","productionChainLanguage","templateTargetChains","actualChains","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","rhythmPlacementReason","assemblySelectionReason"
"305","31","normal","特别困难","Pressure","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03","direct_advanced_19_direct_advanced_veryhard_rect_core_burst_g2_v03","","","","181","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"308","31","normal","普通/恢复","Normal","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05","direct_pure_topup_05_15_direct_normal_pure_rect_dual_zone_g10_v05","","","","106","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"309","31","normal","极难","Pressure","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06","direct_advanced_41_direct_advanced_veryhard_rect_lock_buckle_g1_v06","","","","200","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"311","32","normal","普通/恢复","Normal","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08","direct_pure_topup_06_16_direct_normal_pure_rect_maze_long_chain_g7_v08","","","","103","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"314","32","normal","普通/恢复","Normal","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_normal_101_direct_normal_rect_outer_shell_g4_v11","direct_normal_101_direct_normal_rect_outer_shell_g4_v11","","","","112","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"316","32","normal","极难","Peak","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_advanced_18_direct_advanced_veryhard_rect_dense_weave_g2_v03","direct_advanced_18_direct_advanced_veryhard_rect_dense_weave_g2_v03","","","","233","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"322","33","normal","普通/恢复","Normal","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_normal_51_direct_normal_rect_outer_shell_g5_v06","direct_normal_51_direct_normal_rect_outer_shell_g5_v06","","","","101","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"329","33","normal","极难","Peak","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03","direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03","","","","203","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"336","34","normal","极难","Peak","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_advanced_28_direct_advanced_veryhard_rect_dual_zone_g3_v04","direct_advanced_28_direct_advanced_veryhard_rect_dual_zone_g3_v04","","","","216","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
"337","34","normal","普通/恢复","Recovery","KEPT_CURRENT","False","After300DeferredForFront300PriorityV3","KeepCurrent","direct_normal_20_direct_normal_rect_maze_long_chain_g1_v02","direct_normal_20_direct_normal_rect_maze_long_chain_g1_v02","","","","103","","","","","","unchanged_from_v3_or_non_normal","after300_deferred_front300_priority_v3|candidate_reclaimed_for_front300"
