"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"False","6674.6","172","18","c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_27_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.99","12","6","3","0.883","0.156","7","5"
"True","6598.4","172","18","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.982","7","6","6","0.845","0.254","7","7"
"False","6542.7","172","18","c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_26_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.979","6","5","4","0.827","0.307","10","8"
"True","6488.6","172","18","c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_31_nutation_strict_mixed_hard_v1_rect_s18_o172_v00_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.992","10","6","4","0.864","0.226","9","6"
"True","6326.2","172","18","c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_28_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.982","9","5","5","0.84","0.262","8","8"
"True","6280.4","172","18","c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_34_nutation_strict_mixed_hard_v1_rect_s18_o172_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.979","9","6","6","0.823","0.204","6","5"
"False","6265","172","18","c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_29_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.982","10","5","4","0.852","0.28","9","9"
"False","6078.2","172","18","c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_33_nutation_strict_mixed_hard_v1_rect_s18_o172_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.987","10","6","3","0.817","0.232","9","6"
"False","5854.9","172","18","c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_35_nutation_strict_mixed_hard_v1_rect_s18_o172_v04_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.982","12","8","5","0.844","0.219","7","6"
"False","5435.9","172","18","c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_30_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.979","11","8","7","0.826","0.259","11","6"
"False","5396.6","172","18","c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_32_nutation_strict_mixed_hard_v1_rect_s18_o172_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.99","10","6","3","0.714","0.226","4","4"
"False","4427.9","172","18","c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_36_nutation_strict_mixed_hard_v1_rect_s18_o172_v05_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order172_shortroot1_trace_joined.csv","True","0.986","13","4","3","0.807","0.359","23","17"
