"level","cov","solved","tier","cls","hard","support","avg","max","outer","local","follow"
"c011","0.3088","True","A","MediumStructure","0.331","4","2.02","4","0","4","7"
"c012","0.3098","True","B","MediumStructure","0.231","3","1.95","4","0","10","5"
"c009","0.3078","True","B","MediumStructure","0.219","3","1.93","4","0","10","5"
"c010","0.3078","True","B","MediumStructure","0.219","3","1.93","4","0","10","5"
"c015","0.3098","True","B","MediumStructure","0.188","3","2.02","5","0","6","7"
"c016","0.3069","True","A","MediumStructure","0.285","2","1.88","4","0","4","7"
"c013","0.3088","True","B","MediumStructure","0.219","3","1.93","4","0","10","6"
"c014","0.3088","True","B","MediumStructure","0.21","3","1.98","4","0","10","6"
"c003","0.3127","True","B","MediumStructure","0.219","3","1.89","4","0","8","7"
"c004","0.3118","True","B","MediumStructure","0.225","3","1.95","4","0","5","7"
"c001","0.3137","True","B","MediumStructure","0.219","3","1.89","4","0","8","7"
"c002","0.3127","True","B","MediumStructure","0.219","3","1.89","4","0","8","7"
"c007","0.3098","True","B","MediumStructure","0.2","3","1.93","5","0","6","7"
"c008","0.3098","True","B","MediumStructure","0.201","3","1.95","5","0","6","7"
"c005","0.3108","True","B","MediumStructure","0.219","4","1.96","4","0","8","7"
"c006","0.3108","True","B","MediumStructure","0.219","4","1.96","4","0","8","7"
