"selected","levelId","path","source","order","section10","variantIndex","variantLabel","productionLane","productionChainLanguage","productionDifficultyBand","coverage","chains","portableOpeners","status"
"1","c5hole_lowchoice_v1_h04r_13_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_13_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","0","v00","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.975","71","3","Style=PressureHard | Score=24759 | TargetInitial=5 | OpeningRatio=0.042 | Straightness=0.492 | EarlyChoices=25.3/46 | LocalRun=6 | Jump=5.8 | NearRate=0.65 | Peel style=PressureHard seed=1258087928 fill=695/713(0.975) chains=71 remaining=18 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_14_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_14_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","1","v01","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.993","74","3","Style=PressureHard | Score=24074 | TargetInitial=5 | OpeningRatio=0.041 | Straightness=0.523 | EarlyChoices=27.7/52 | LocalRun=6 | Jump=5.5 | NearRate=0.68 | Peel style=PressureHard seed=1241968870 fill=708/713(0.993) chains=74 remaining=5 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_15_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_15_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","2","v02","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.979","75","3","Style=PressureHard | Score=16301 | TargetInitial=5 | OpeningRatio=0.053 | Straightness=0.500 | EarlyChoices=28.7/64 | LocalRun=3 | Jump=8.5 | NearRate=0.42 | Peel style=PressureHard seed=1243025368 fill=698/713(0.979) chains=75 remaining=15 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=9->8 earlyChoices=24.0/49 localRun=4 jump=7.3 near=0.48 targetInitial=3"
"1","c5hole_lowchoice_v1_h04r_16_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_16_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","3","v03","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.986","77","3","Style=PressureHard | Score=21875 | TargetInitial=5 | OpeningRatio=0.039 | Straightness=0.472 | EarlyChoices=28.5/53 | LocalRun=5 | Jump=10.6 | NearRate=0.45 | Peel style=PressureHard seed=1240102164 fill=703/713(0.986) chains=77 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_17_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_17_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","4","v04","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.986","74","2","Style=PressureHard | Score=20267 | TargetInitial=5 | OpeningRatio=0.027 | Straightness=0.523 | EarlyChoices=23.3/54 | LocalRun=6 | Jump=7.6 | NearRate=0.58 | Peel style=PressureHard seed=1265141603 fill=703/713(0.986) chains=74 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","5","v05","StrictMixedChoiceClamp","choice_clamp_chain_hf1","Hard","0.983","74","3","Style=PressureHard | Score=25073 | TargetInitial=5 | OpeningRatio=0.054 | Straightness=0.528 | EarlyChoices=26.0/47 | LocalRun=5 | Jump=11.0 | NearRate=0.35 | Peel style=PressureHard seed=1270282532 fill=701/713(0.983) chains=74 remaining=12 rejectedShort=0 failedPeels=1 | FlipGate=ops=1 initial=4->3 edgeHeads=6->5 earlyChoices=24.5/47 localRun=5 jump=10.7 near=0.42 targetInitial=3"
"1","c5hole_lowchoice_v1_h04r_19_nutation_strict_mixed_hard_v1_rect_s17_o166_v00_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_19_nutation_strict_mixed_hard_v1_rect_s17_o166_v00_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","0","v00","StrictMixedHard","strict_hard_chain_hf1","Hard","0.990","78","3","Style=PressureHard | Score=19119 | TargetInitial=5 | OpeningRatio=0.038 | Straightness=0.511 | EarlyChoices=27.7/55 | LocalRun=6 | Jump=6.4 | NearRate=0.61 | Peel style=PressureHard seed=1682399374 fill=706/713(0.990) chains=78 remaining=7 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_20_nutation_strict_mixed_hard_v1_rect_s17_o166_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_20_nutation_strict_mixed_hard_v1_rect_s17_o166_v01_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","1","v01","StrictMixedHard","strict_hard_chain_hf1","Hard","0.975","73","1","Style=PressureHard | Score=18119 | TargetInitial=5 | OpeningRatio=0.014 | Straightness=0.466 | EarlyChoices=22.0/45 | LocalRun=7 | Jump=5.9 | NearRate=0.65 | Peel style=PressureHard seed=1679580899 fill=695/713(0.975) chains=73 remaining=18 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_21_nutation_strict_mixed_hard_v1_rect_s17_o166_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_21_nutation_strict_mixed_hard_v1_rect_s17_o166_v02_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","2","v02","StrictMixedHard","strict_hard_chain_hf1","Hard","0.986","78","1","Style=PressureHard | Score=31827 | TargetInitial=5 | OpeningRatio=0.013 | Straightness=0.495 | EarlyChoices=17.7/39 | LocalRun=7 | Jump=5.6 | NearRate=0.71 | Peel style=PressureHard seed=1700326449 fill=703/713(0.986) chains=78 remaining=10 rejectedShort=0 failedPeels=1"
"1","c5hole_lowchoice_v1_h04r_22_nutation_strict_mixed_hard_v1_rect_s17_o166_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_22_nutation_strict_mixed_hard_v1_rect_s17_o166_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order166_shortroot1","166","17","3","v03","StrictMixedHard","strict_hard_chain_hf1","Hard","0.986","76","2","Style=PressureHard | Score=20500 | TargetInitial=5 | OpeningRatio=0.026 | Straightness=0.512 | EarlyChoices=26.7/49 | LocalRun=6 | Jump=10.0 | NearRate=0.55 | Peel style=PressureHard seed=1674258136 fill=703/713(0.986) chains=76 remaining=10 rejectedShort=0 failedPeels=1"
