"order","category","finalStatus","loadMode","width","height","area","aspect","chains","arrowTiles","coverage","path"
"1","normal","OriginalKeptRhythmV4","BasePreviewFallback","10","7","70","1.429","6","21","0.3","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset"
"2","hole","OriginalNonTarget","BasePreviewFallback","16","18","288","0.889","22","130","0.451","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset"
"3","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","36","427","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset"
"4","shape","ShapeCandidatePlanned","ManifestAsset","24","28","672","0.857","55","459","0.683","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset"
"5","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","36","429","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset"
"6","shape","ShapeCandidatePlanned","ManifestAsset","28","32","896","0.875","53","479","0.535","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset"
"7","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","50","527","0.976","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset"
"8","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","46","535","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset"
"9","shape","ShapeCandidatePlanned","ManifestAsset","26","26","676","1","34","221","0.327","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset"
"10","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","52","529","0.98","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset"
"11","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","34","425","0.984","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset"
"12","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","48","535","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset"
"13","shape","ShapeCandidatePlanned","ManifestAsset","44","44","1936","1","60","503","0.26","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset"
"14","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","54","529","0.98","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset"
"15","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","55","530","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset"
"16","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","56","526","0.974","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset"
"17","hole","OriginalNonTarget","BasePreviewFallback","18","20","360","0.9","37","195","0.542","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset"
"18","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","47","535","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset"
"19","normal","ReplacedRhythmV4Final","ManifestAsset","24","32","768","0.75","79","756","0.984","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset"
"20","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","38","428","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset"
"21","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","60","537","0.994","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset"
