"level","cov","solved","tier","cls","hard","support","avg","max","outer","local","follow"
"c011","0.3922","True","B","LocalEasy","0.109","3","1.95","4","0","10","8"
"c012","0.3922","True","B","LocalEasy","0.107","3","1.94","4","0","10","8"
"c009","0.3902","True","B","LocalEasy","0.104","3","1.83","4","0","10","8"
"c010","0.3902","True","B","LocalEasy","0.104","3","1.83","4","0","10","8"
"c015","0.3912","True","B","LocalEasy","0.109","3","2.04","4","0","10","8"
"c016","0.3912","True","B","LocalEasy","0.111","3","2.12","4","0","10","8"
"c013","0.3922","True","B","LocalEasy","0.106","3","2.01","4","0","10","7"
"c014","0.3912","True","B","LocalEasy","0.107","3","2.07","4","0","10","8"
"c003","0.3961","True","B","LocalEasy","0.104","3","2.16","5","0","10","7"
"c004","0.3951","True","B","LocalEasy","0.104","3","2.17","5","0","12","7"
"c001","0.3931","True","B","LocalEasy","0.117","3","2.08","4","0","9","7"
"c002","0.3941","True","B","LocalEasy","0.1","3","2.12","5","0","9","7"
"c007","0.3912","True","B","LocalEasy","0.105","4","1.86","4","0","10","9"
"c008","0.3912","True","B","LocalEasy","0.105","4","1.86","4","0","10","9"
"c005","0.3951","True","B","LocalEasy","0.105","3","2.22","5","0","11","7"
"c006","0.3941","True","B","LocalEasy","0.113","4","2.13","4","0","11","6"
