chainId,orderForward,color,headX,headY,dir,length,cells
0,25,6,3,13,U,5,3:13;3:12;3:11;4:11;4:10
1,24,3,2,14,L,5,2:14;3:14;3:15;4:15;5:15
2,23,2,1,13,D,5,1:13;1:14;0:14;0:15;1:15
3,22,5,1,5,D,5,1:5;1:6;1:7;1:8;1:9
4,21,6,1,1,D,5,1:1;1:2;1:3;1:4;2:4
5,20,4,0,0,L,5,0:0;1:0;2:0;3:0;4:0
6,19,4,1,10,L,5,1:10;2:10;2:9;2:8;3:8
7,18,4,1,12,L,4,1:12;2:12;2:11;1:11
8,17,7,5,5,D,5,5:5;5:6;5:7;5:8;4:8
9,16,3,5,3,D,5,5:3;5:4;4:4;4:5;4:6
10,15,0,5,1,D,5,5:1;5:2;4:2;4:3;3:3
11,14,7,6,0,R,2,6:0;5:0
12,13,1,10,4,U,5,10:4;10:3;10:2;10:1;10:0
13,12,2,10,10,U,5,10:10;10:9;10:8;10:7;10:6
14,11,4,10,12,U,5,10:12;10:11;11:11;11:10;11:9
15,10,7,10,14,U,5,10:14;10:13;11:13;11:14;11:15
16,9,1,9,14,D,3,9:14;9:15;10:15
17,8,3,10,5,R,5,10:5;9:5;9:6;9:7;9:8
18,7,6,11,4,D,5,11:4;11:5;11:6;11:7;11:8
19,6,1,11,0,D,4,11:0;11:1;11:2;11:3
20,5,4,8,0,D,4,8:0;8:1;9:1;9:0
21,4,6,8,10,U,5,8:10;8:9;9:9;9:10;9:11
22,3,4,8,14,U,5,8:14;8:13;8:12;8:11;7:11
23,2,4,6,15,U,5,6:15;6:14;7:14;7:15;8:15
24,1,7,7,3,D,5,7:3;7:4;8:4;8:3;9:3
25,0,2,7,0,D,5,7:0;7:1;7:2;8:2;9:2
