seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
95037,26,122,0.6354,True,7,3.692,7,True,7,3.385,7
94028,28,135,0.7031,True,8,3.250,8,True,8,3.929,8
104118,26,129,0.6719,True,8,3.115,8,True,8,5.000,8
105127,29,136,0.7083,True,9,3.966,9,True,9,5.345,9
106136,28,132,0.6875,True,9,3.393,9,True,9,5.214,9
93019,23,107,0.5573,True,8,3.000,8,True,8,3.478,8
101091,26,129,0.6719,True,10,4.231,10,True,10,6.654,10
100082,27,123,0.6406,True,10,3.222,10,True,10,5.185,10
102100,32,148,0.7708,True,11,4.969,11,True,11,8.781,11
92010,26,126,0.6562,True,10,5.346,10,True,10,6.692,10
91001,31,140,0.7292,True,11,4.516,11,True,11,5.774,11
103109,32,152,0.7917,True,12,5.156,12,True,12,9.219,13
97055,31,136,0.7083,True,13,4.806,13,True,13,7.581,13
98064,29,137,0.7135,True,13,5.483,13,True,13,9.172,13
96046,31,145,0.7552,True,14,5.742,14,True,14,8.419,14
99073,32,149,0.7760,True,15,6.812,15,True,15,9.281,15
