reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,3:13,U,0,1,0
1,1,5,2:14,L,1,1,1
2,2,5,1:13,D,1,1,1
3,3,5,1:5,D,1,1,1
4,4,5,1:1,D,1,1,2
5,5,5,0:0,L,1,1,3
6,6,5,1:10,L,0,2,1
7,7,4,1:12,L,0,3,1
8,8,5,5:5,D,0,4,0
9,9,5,5:3,D,1,4,1
10,10,5,5:1,D,1,4,2
11,11,2,6:0,R,1,4,3
12,12,5,10:4,U,1,4,1
13,13,5,10:10,U,1,4,1
14,14,5,10:12,U,1,4,2
15,15,5,10:14,U,1,4,3
16,16,3,9:14,D,1,4,4
17,17,5,10:5,R,1,4,2
18,18,5,11:4,D,1,4,1
19,19,4,11:0,D,1,4,2
20,20,4,8:0,D,0,5,2
21,21,5,8:10,U,0,6,1
22,22,5,8:14,U,1,6,1
23,23,5,6:15,U,1,6,2
24,24,5,7:3,D,0,7,1
25,25,5,7:0,D,1,7,3
