order,backupGroup,levelId,assetName,type,levelType,difficulty,width,height,chains,assetPath,zipAsset,status
1,normal,tutorial_simple_01_hi,TutorialSimple01Hi,tutorial,普通,1,10,7,6,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,normal/Level_001_TutorialSimple01Hi.asset,ok
2,hole,seed_Arrowz_level_035_holeblock_multiseed_final,hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152,hole_rescue,hole,1,16,18,22,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,hole/Level_002_hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,ok
3,normal,level3_tiny_03_level3_tiny_mini_maze_17,level3_tiny_03_level3_tiny_mini_maze_17,normal,普通,1,9,14,19,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,normal/Level_003_level3_tiny_03_level3_tiny_mini_maze_17.asset,ok
4,shape,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446,shape,普通,1,20,24,30,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,shape/Level_004_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,ok
5,normal,nomask_style_01_hui_spiral,nomask_style_01_hui_spiral,normal,普通,1,16,23,26,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,normal/Level_005_nomask_style_01_hui_spiral.asset,ok
6,shape,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449,shape,普通,1,26,18,32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,shape/Level_006_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,ok
7,normal,nomask_style_expansion_08_double_room_lock_b,nomask_style_expansion_08_double_room_lock_b,lock,普通,1,18,24,39,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,normal/Level_007_nomask_style_expansion_08_double_room_lock_b.asset,ok
8,normal,nomask_08_dual_zone,nomask_08_dual_zone,normal,普通,1,16,22,46,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,normal/Level_008_nomask_08_dual_zone.asset,ok
9,shape,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450,shape,普通,1,22,22,32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,shape/Level_009_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,ok
10,normal,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,lock,普通,2,14,27,60,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,normal/Level_010_direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,ok
