severity,scope,order,section10,rule,message
WARN,level,19,2,front20_boss,L19 first mini-boss chain 94 is above the planned effective-load band; verify it is not early hard wall.
WARN,level,19,2,early_jump,chain jumps +41 from L18; early sections prefer smoother rise.
WARN,level,30,3,post_peak_release,"previous level was extreme peak code 4, but chain only changes -6; expected visible release."
WARN,level,38,4,early_jump,chain jumps +59 from L37; early sections prefer smoother rise.
INFO,level,40,4,post_peak_release,"previous level was peak code 3, but chain only changes 2; verify there is a non-count release."
WARN,level,47,5,early_jump,chain jumps +74 from L46; early sections prefer smoother rise.
INFO,level,53,6,arrow_cap,non-peak arrow count 809 is high; visual comfort should be checked in Unity.
WARN,level,55,6,early_jump,chain jumps +51 from L54; early sections prefer smoother rise.
WARN,level,65,7,early_jump,chain jumps +38 from L64; early sections prefer smoother rise.
INFO,level,67,7,arrow_cap,non-peak arrow count 752 is high; visual comfort should be checked in Unity.
WARN,level,69,7,early_jump,chain jumps +41 from L68; early sections prefer smoother rise.
INFO,level,70,7,post_peak_release,"previous level was peak code 3, but chain only changes 3; verify there is a non-count release."
WARN,level,72,8,early_jump,chain jumps +59 from L71; early sections prefer smoother rise.
WARN,level,78,8,early_jump,chain jumps +39 from L77; early sections prefer smoother rise.
WARN,level,83,9,early_jump,chain jumps +58 from L82; early sections prefer smoother rise.
WARN,level,87,9,early_jump,chain jumps +52 from L86; early sections prefer smoother rise.
INFO,level,89,9,post_peak_release,"previous level was peak code 3, but chain only changes -1; verify there is a non-count release."
WARN,level,90,9,post_peak_release,"previous level was extreme peak code 4, but chain only changes -2; expected visible release."
WARN,level,93,10,early_jump,chain jumps +38 from L92; early sections prefer smoother rise.
WARN,level,96,10,early_jump,chain jumps +49 from L95; early sections prefer smoother rise.
INFO,level,97,10,arrow_cap,non-peak arrow count 785 is high; visual comfort should be checked in Unity.
INFO,level,103,11,arrow_cap,non-peak arrow count 838 is high; visual comfort should be checked in Unity.
INFO,level,105,11,arrow_cap,non-peak arrow count 895 is high; visual comfort should be checked in Unity.
INFO,level,110,11,arrow_cap,non-peak arrow count 761 is high; visual comfort should be checked in Unity.
INFO,level,110,11,post_peak_release,"previous level was peak code 3, but chain only changes -4; verify there is a non-count release."
INFO,level,113,12,arrow_cap,non-peak arrow count 775 is high; visual comfort should be checked in Unity.
INFO,level,118,12,arrow_cap,non-peak arrow count 782 is high; visual comfort should be checked in Unity.
INFO,level,120,12,arrow_cap,non-peak arrow count 821 is high; visual comfort should be checked in Unity.
INFO,level,120,12,post_peak_release,"previous level was peak code 3, but chain only changes 4; verify there is a non-count release."
INFO,level,130,13,post_peak_release,"previous level was peak code 3, but chain only changes -6; verify there is a non-count release."
INFO,level,136,14,large_jump,chain jumps +61 from L135; verify there is a clear reason.
INFO,level,139,14,arrow_cap,non-peak arrow count 761 is high; visual comfort should be checked in Unity.
INFO,level,140,14,arrow_cap,non-peak arrow count 769 is high; visual comfort should be checked in Unity.
INFO,level,141,15,arrow_cap,non-peak arrow count 880 is high; visual comfort should be checked in Unity.
INFO,level,143,15,arrow_cap,non-peak arrow count 755 is high; visual comfort should be checked in Unity.
INFO,level,147,15,arrow_cap,non-peak arrow count 858 is high; visual comfort should be checked in Unity.
INFO,level,148,15,arrow_cap,non-peak arrow count 851 is high; visual comfort should be checked in Unity.
INFO,level,151,16,arrow_cap,non-peak arrow count 810 is high; visual comfort should be checked in Unity.
INFO,level,152,16,arrow_cap,non-peak arrow count 804 is high; visual comfort should be checked in Unity.
WARN,level,153,16,arrow_cap,non-peak arrow count 1045 may feel visually heavy.
