"index","levelId","file","width","height","coverage","twistiness","minPathLen","maxPathLength","fixedGenerationSeed","chains","moveCount","initialMovable","arrowTiles","maxChain","difficulty","avgUnlockSteps","minChoices","avgChoices","bottleneckSteps"
"1","early_01_14x14_seed_600023","JSON/Early_01_14x14_seed600023_steps27.json","14","14","0.9","0.8","3","15","600023","27","27","5","160","11","325","1.909","1","4.259","5"
"2","early_02_14x14_seed_600590","JSON/Early_02_14x14_seed600590_steps26.json","14","14","0.9","0.8","3","15","600590","26","26","4","152","13","328","1.545","1","5.115","3"
"3","early_03_14x14_seed_600846","JSON/Early_03_14x14_seed600846_steps28.json","14","14","0.9","0.8","3","15","600846","28","28","5","158","14","323","1.783","1","7.5","2"
"4","early_04_14x14_seed_601602","JSON/Early_04_14x14_seed601602_steps27.json","14","14","0.9","0.8","3","15","601602","27","27","5","155","14","305","1.409","1","5.185","4"
"5","early_05_14x14_seed_602740","JSON/Early_05_14x14_seed602740_steps23.json","14","14","0.9","0.8","3","15","602740","23","23","5","154","14","308","2.056","1","5.261","3"
"6","early_06_14x14_seed_603268","JSON/Early_06_14x14_seed603268_steps29.json","14","14","0.9","0.8","3","15","603268","29","29","5","167","15","338","1.833","1","5","2"
"7","early_07_14x14_seed_603837","JSON/Early_07_14x14_seed603837_steps29.json","14","14","0.9","0.8","3","15","603837","29","29","5","162","15","328","1.667","1","7.414","4"
"8","early_08_14x14_seed_604457","JSON/Early_08_14x14_seed604457_steps30.json","14","14","0.9","0.8","3","15","604457","30","30","4","159","15","362","1.769","1","5.633","5"
"9","early_09_14x14_seed_604483","JSON/Early_09_14x14_seed604483_steps26.json","14","14","0.9","0.8","3","15","604483","26","26","5","151","15","309","1.81","1","5.654","4"
"10","early_10_14x14_seed_604537","JSON/Early_10_14x14_seed604537_steps29.json","14","14","0.9","0.8","3","15","604537","29","29","5","166","13","336","1.792","1","7.793","2"
"11","early_11_14x14_seed_604866","JSON/Early_11_14x14_seed604866_steps26.json","14","14","0.9","0.8","3","15","604866","26","26","5","150","13","313","1.952","1","5.423","2"
"12","early_12_14x14_seed_604883","JSON/Early_12_14x14_seed604883_steps26.json","14","14","0.9","0.8","3","15","604883","26","26","5","145","15","295","1.524","1","4.423","8"
"13","early_13_14x14_seed_604890","JSON/Early_13_14x14_seed604890_steps28.json","14","14","0.9","0.8","3","15","604890","28","28","4","165","15","369","2.125","1","6.536","2"
"14","early_14_14x14_seed_604918","JSON/Early_14_14x14_seed604918_steps29.json","14","14","0.9","0.8","3","15","604918","29","29","4","156","15","357","1.88","1","5.103","10"
"15","early_15_14x14_seed_606330","JSON/Early_15_14x14_seed606330_steps28.json","14","14","0.9","0.8","3","15","606330","28","28","5","164","15","329","1.783","1","7.929","3"
"16","early_16_14x14_seed_606602","JSON/Early_16_14x14_seed606602_steps26.json","14","14","0.9","0.8","3","15","606602","26","26","4","165","15","347","1.727","1","6.462","3"
"17","early_17_14x14_seed_607244","JSON/Early_17_14x14_seed607244_steps27.json","14","14","0.9","0.8","3","15","607244","27","27","5","164","15","317","1.5","1","4.593","3"
"18","early_18_14x14_seed_607283","JSON/Early_18_14x14_seed607283_steps27.json","14","14","0.9","0.8","3","15","607283","27","27","4","161","14","360","2.13","1","7.481","3"
"19","early_19_14x14_seed_607465","JSON/Early_19_14x14_seed607465_steps28.json","14","14","0.9","0.8","3","15","607465","28","28","5","167","14","347","2.261","1","6.357","5"
"20","early_20_14x14_seed_608560","JSON/Early_20_14x14_seed608560_steps26.json","14","14","0.9","0.8","3","15","608560","26","26","5","160","12","345","2.714","1","4.462","3"
