shapeName,variants,minChains,maxChains,avgChains,variantsDetail
airplane,3,51,103,84.3,compact:36x36:51;large:44x47:99;main:42x42:103
alarmclock,3,70,147,119.7,compact:33x36:70;large:43x47:147;main:38x42:142
anchorvarianta,3,59,116,96.3,compact:33x38:59;large:43x49:114;main:38x44:116
apple,3,60,138,106.3,compact:29x33:60;large:38x43:138;main:34x38:121
arcadecabinet,3,74,153,121.3,compact:31x38:74;large:40x49:137;main:36x44:153
arcadejoystick,3,60,120,100.0,compact:37x29:60;large:44x38:120;main:42x34:120
artistpalette,3,63,136,108.0,compact:34x29:63;large:44x38:136;main:40x34:125
ballmouse,3,52,107,87.3,compact:34x29:52;large:44x38:107;main:40x34:103
banana,3,44,72,58.7,compact:34x26:44;large:42x34:72;main:38x30:60
bell,3,63,138,109.7,compact:31x36:63;large:40x47:138;main:36x42:128
bicycle,3,68,113,96.3,compact:37x29:68;large:44x38:113;main:42x34:108
boombox,3,73,150,122.0,compact:37x29:73;large:44x38:143;main:42x34:150
boot,3,54,121,97.7,compact:29x36:54;large:38x47:121;main:34x42:118
bowlingpin,3,46,105,83.3,compact:24x38:46;large:31x49:105;main:28x44:99
brickcellphone,3,63,112,95.0,compact:29x38:63;large:38x49:110;main:34x44:112
butterfly,3,77,153,126.7,compact:36x33:77;large:44x43:153;main:42x38:150
cactus,3,54,116,92.0,compact:29x36:54;large:38x47:116;main:34x42:106
camera,3,75,160,129.0,compact:36x29:75;large:44x38:160;main:42x34:152
car,3,54,99,81.0,compact:34x26:54;large:42x34:99;main:38x30:90
carrot,3,46,95,76.0,compact:26x36:46;large:34x47:95;main:30x42:87
castletower,3,71,140,116.7,compact:29x38:71;large:38x49:140;main:34x44:139
caveentrance,3,55,106,87.0,compact:36x33:55;large:44x43:100;main:42x38:106
cherries,3,54,116,92.0,compact:31x36:54;large:40x47:106;main:36x42:116
chessknight,3,74,149,123.7,compact:29x38:74;large:38x49:149;main:34x44:148
clover,3,62,131,106.7,compact:31x36:62;large:40x47:131;main:36x42:127
compass,3,52,130,101.3,compact:29x36:52;large:38x47:130;main:34x42:122
crownvarianta,3,68,117,99.3,compact:36x29:68;large:44x38:113;main:42x34:117
crystalcluster,3,72,157,126.3,compact:36x36:72;large:44x47:150;main:42x42:157
cupcake,3,64,137,107.3,compact:29x36:64;large:38x47:137;main:34x42:121
d20die,2,78,149,113.5,compact:36x36:78;main:42x42:149
dialphone,3,61,150,116.7,compact:36x29:61;large:44x38:150;main:42x34:139
donut,3,58,133,106.3,compact:33x33:58;large:43x43:133;main:38x38:128
dragonhead,3,64,147,116.7,compact:36x38:64;large:44x49:147;main:42x44:139
dumbbell,3,45,65,56.7,compact:32x24:45;large:35x27:60;main:32x24:65
filmroll,3,72,161,127.3,compact:33x36:72;large:43x47:161;main:38x42:149
fish,3,47,113,88.7,compact:36x29:47;large:44x38:106;main:42x34:113
flag,3,58,115,95.0,compact:33x36:58;large:43x47:115;main:38x42:112
flame,3,61,125,103.3,compact:29x36:61;large:38x47:124;main:34x42:125
flower,3,70,141,115.7,compact:29x38:70;large:38x49:141;main:34x44:136
gamepad,3,64,124,101.3,compact:36x28:64;large:44x36:124;main:40x32:116
gameportal,3,59,120,97.3,compact:31x38:59;large:40x49:120;main:36x44:113
gear,3,57,121,98.3,compact:33x33:57;large:43x43:121;main:38x38:117
giftbox,3,73,166,131.7,compact:33x33:73;large:43x43:166;main:38x38:156
glove,3,75,142,118.7,compact:29x36:75;large:38x47:139;main:34x42:142
guitar,3,44,97,77.3,compact:29x38:44;large:38x49:97;main:34x44:91
hammer,3,45,89,74.0,compact:36x31:45;large:44x40:88;main:42x36:89
headphones,3,56,104,88.0,compact:34x33:56;large:44x43:104;main:40x38:104
heart,3,64,121,101.7,compact:33x31:64;large:43x40:121;main:38x36:120
hotairballoon,3,64,127,105.0,compact:29x38:64;large:38x49:127;main:34x44:124
hourglass,3,70,140,112.3,compact:28x36:70;large:36x47:140;main:32x42:127
house,3,61,126,102.3,compact:31x33:61;large:40x43:126;main:36x38:120
icecreamcone,3,53,109,89.0,compact:28x38:53;large:36x49:109;main:32x44:105
keyvarianta,3,41,79,66.3,compact:29x38:41;large:38x49:79;main:34x44:79
kite,3,33,78,60.3,compact:26x38:33;large:34x49:78;main:30x44:70
knighthelmet,3,65,126,103.7,compact:31x38:65;large:40x49:126;main:36x44:120
leaf,3,66,130,105.3,compact:29x36:66;large:38x47:130;main:34x42:120
lighthouse,3,62,120,97.0,compact:38x38:62;large:44x49:109;main:44x44:120
lightningbolt,3,42,97,76.3,compact:26x38:42;large:34x49:97;main:30x44:90
lollipop,3,60,109,91.0,compact:29x36:60;large:38x47:109;main:34x42:104
magicbook,3,78,155,123.7,compact:31x36:78;large:40x47:155;main:36x42:138
magnetvarianta,3,58,125,99.0,compact:33x33:58;large:43x43:125;main:38x38:114
