shapeName,group,serial,sizeBand,candidateIndex,levelId,width,height,chains,arrowCells,assetPath,unityAssetPath
airplane,04,04,compact,106,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_compact_airplane,36,36,51,540,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_compact_airplane_20260615_154540.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_compact_airplane_20260615_154540.asset
airplane,04,04,large,108,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_large_airplane,44,47,99,868,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_large_airplane_20260615_154548.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_large_airplane_20260615_154548.asset
airplane,04,04,main,107,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane,42,42,103,749,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_main_airplane_20260615_154542.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_main_airplane_20260615_154542.asset
alarmclock,04,05,compact,109,r2_outer_strong_005_r2_006_a401_maskonlyb04_05_compact_alarmclock,33,36,70,758,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_compact_alarmclock_20260615_154549.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_compact_alarmclock_20260615_154549.asset
alarmclock,04,05,main,110,r2_outer_strong_005_r2_006_a401_maskonlyb04_05_main_alarmclock,38,42,142,1013,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_main_alarmclock_20260615_154550.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_main_alarmclock_20260615_154550.asset
alarmclock,04,05,large,111,r2_outer_strong_005_r2_006_a401_maskonlyb04_05_large_alarmclock,43,47,147,1289,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_large_alarmclock_20260615_154552.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_large_alarmclock_20260615_154552.asset
anchorvarianta,09,06,compact,315,r2_outer_strong_005_r2_006_a401_maskonlyb09_06_compact_anchorvarianta,33,38,59,601,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_compact_anchorvarianta_20260616_110956.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_compact_anchorvarianta_20260616_110956.asset
anchorvarianta,09,06,large,317,r2_outer_strong_005_r2_006_a401_maskonlyb09_06_large_anchorvarianta,43,49,114,963,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_large_anchorvarianta_20260616_110959.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_large_anchorvarianta_20260616_110959.asset
anchorvarianta,09,06,main,316,r2_outer_strong_005_r2_006_a401_maskonlyb09_06_main_anchorvarianta,38,44,116,752,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_main_anchorvarianta_20260616_110957.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_06_main_anchorvarianta_20260616_110957.asset
apple,02,02,compact,37,r2_outer_strong_005_r2_006_a401_maskonlyb02_02_compact_apple,29,33,60,623,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_compact_apple_20260614_171856.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_compact_apple_20260614_171856.asset
apple,02,02,main,38,r2_outer_strong_005_r2_006_a401_maskonlyb02_02_main_apple,34,38,121,857,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_main_apple_20260614_171857.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_main_apple_20260614_171857.asset
apple,02,02,large,39,r2_outer_strong_005_r2_006_a401_maskonlyb02_02_large_apple,38,43,138,1090,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_large_apple_20260614_171859.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_large_apple_20260614_171859.asset
arcadecabinet,06,04,compact,226,r2_outer_strong_005_r2_006_a401_maskonlyb06_04_compact_arcadecabinet,31,38,74,802,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_compact_arcadecabinet_20260615_223136.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_compact_arcadecabinet_20260615_223136.asset
arcadecabinet,06,04,large,228,r2_outer_strong_005_r2_006_a401_maskonlyb06_04_large_arcadecabinet,40,49,137,1262,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_large_arcadecabinet_20260615_223641.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_large_arcadecabinet_20260615_223641.asset
arcadecabinet,06,04,main,227,r2_outer_strong_005_r2_006_a401_maskonlyb06_04_main_arcadecabinet,36,44,153,1074,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_main_arcadecabinet_20260615_223139.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_main_arcadecabinet_20260615_223139.asset
arcadejoystick,07,05,compact,255,r2_outer_strong_005_r2_006_a401_maskonlyb07_05_compact_arcadejoystick,37,29,60,631,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_compact_arcadejoystick_20260615_225212.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_compact_arcadejoystick_20260615_225212.asset
arcadejoystick,07,05,main,256,r2_outer_strong_005_r2_006_a401_maskonlyb07_05_main_arcadejoystick,42,34,120,846,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_main_arcadejoystick_20260615_225214.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_main_arcadejoystick_20260615_225214.asset
arcadejoystick,07,05,large,257,r2_outer_strong_005_r2_006_a401_maskonlyb07_05_large_arcadejoystick,44,38,120,996,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_large_arcadejoystick_20260615_225214.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_05_large_arcadejoystick_20260615_225214.asset
artistpalette,05,01,compact,157,r2_outer_strong_005_r2_006_a401_maskonlyb05_01_compact_artistpalette,34,29,63,668,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_compact_artistpalette_20260615_190222.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_compact_artistpalette_20260615_190222.asset
artistpalette,05,01,main,158,r2_outer_strong_005_r2_006_a401_maskonlyb05_01_main_artistpalette,40,34,125,932,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_main_artistpalette_20260615_190223.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_main_artistpalette_20260615_190223.asset
artistpalette,05,01,large,159,r2_outer_strong_005_r2_006_a401_maskonlyb05_01_large_artistpalette,44,38,136,1147,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_large_artistpalette_20260615_190225.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_01_large_artistpalette_20260615_190225.asset
ballmouse,06,09,compact,238,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_compact_ballmouse,34,29,52,506,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_compact_ballmouse_20260615_223653.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_compact_ballmouse_20260615_223653.asset
ballmouse,06,09,main,239,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse,40,34,103,711,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_main_ballmouse_20260615_223654.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_main_ballmouse_20260615_223654.asset
ballmouse,06,09,large,240,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_large_ballmouse,44,38,107,875,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_large_ballmouse_20260615_223658.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_large_ballmouse_20260615_223658.asset
banana,02,03,compact,40,r2_outer_strong_005_r2_006_a401_maskonlyb02_03_compact_banana,34,26,44,354,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_compact_banana_20260614_171859.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_compact_banana_20260614_171859.asset
banana,02,03,main,41,r2_outer_strong_005_r2_006_a401_maskonlyb02_03_main_banana,38,30,60,458,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_main_banana_20260614_171904.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_main_banana_20260614_171904.asset
banana,02,03,large,42,r2_outer_strong_005_r2_006_a401_maskonlyb02_03_large_banana,42,34,72,578,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_large_banana_20260614_171905.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_large_banana_20260614_171905.asset
bell,09,26,compact,342,r2_outer_strong_005_r2_006_a401_maskonlyb09_26_compact_bell,31,36,63,699,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_compact_bell_20260616_111025.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_compact_bell_20260616_111025.asset
bell,09,26,main,343,r2_outer_strong_005_r2_006_a401_maskonlyb09_26_main_bell,36,42,128,953,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_main_bell_20260616_111026.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_main_bell_20260616_111026.asset
bell,09,26,large,344,r2_outer_strong_005_r2_006_a401_maskonlyb09_26_large_bell,40,47,138,1189,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_large_bell_20260616_111028.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_26_large_bell_20260616_111028.asset
bicycle,04,06,compact,112,r2_outer_strong_005_r2_006_a401_maskonlyb04_06_compact_bicycle,37,29,68,577,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_compact_bicycle_20260615_154553.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_compact_bicycle_20260615_154553.asset
bicycle,04,06,main,113,r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle,42,34,108,743,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_main_bicycle_20260615_154554.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_main_bicycle_20260615_154554.asset
bicycle,04,06,large,114,r2_outer_strong_005_r2_006_a401_maskonlyb04_06_large_bicycle,44,38,113,882,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_large_bicycle_20260615_154555.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_large_bicycle_20260615_154555.asset
boombox,06,03,compact,223,r2_outer_strong_005_r2_006_a401_maskonlyb06_03_compact_boombox,37,29,73,729,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_compact_boombox_20260615_223131.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_compact_boombox_20260615_223131.asset
boombox,06,03,large,225,r2_outer_strong_005_r2_006_a401_maskonlyb06_03_large_boombox,44,38,143,1184,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_large_boombox_20260615_223135.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_large_boombox_20260615_223135.asset
boombox,06,03,main,224,r2_outer_strong_005_r2_006_a401_maskonlyb06_03_main_boombox,42,34,150,1004,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_main_boombox_20260615_223133.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_03_main_boombox_20260615_223133.asset
boot,05,02,compact,160,r2_outer_strong_005_r2_006_a401_maskonlyb05_02_compact_boot,29,36,54,595,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_compact_boot_20260615_190225.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_compact_boot_20260615_190225.asset
boot,05,02,main,161,r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot,34,42,118,813,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_main_boot_20260615_190226.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_main_boot_20260615_190226.asset
boot,05,02,large,162,r2_outer_strong_005_r2_006_a401_maskonlyb05_02_large_boot,38,47,121,948,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_large_boot_20260615_190509.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_02_large_boot_20260615_190509.asset
bowlingpin,05,03,compact,163,r2_outer_strong_005_r2_006_a401_maskonlyb05_03_compact_bowlingpin,24,38,46,540,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_compact_bowlingpin_20260615_190510.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_compact_bowlingpin_20260615_190510.asset
