category,packPath,packId,displayName,refs,resolved,unresolved,inCurrentCampaign500,unusedResolved,uniqueResolved,chainsMinAvgMax,widthMinAvgMax,heightMinAvgMax,topTypeGuess
Architectural_old_pool,Assets/ArrowMagic/SOData/Packs/ArchitecturalLinework/ArchitecturalLineworkPreviewPack.asset,architectural_linework_preview,Architectural Linework Preview (8),8,8,0,0,8,8,36/47.5/54,25/27.1/28,36/37.5/39,long:5;normal:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500ExtremePreviewPack.asset,campaign500_extreme_preview,Campaign 500 Extreme Preview (10),10,10,0,9,1,10,263/312.0/366,30/33.2/38,54/58.4/63,lock:4;long:3;normal:2;section:1
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front20FeedbackPreviewPack.asset,campaign500_front20_feedback_preview,Campaign 500 Front20 Feedback Preview (20),20,20,0,20,0,20,6/40.2/94,9/16.7/26,7/22.2/37,normal:8;lock:4;hole:2;maze:2;sweep:2
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front30ReviewPack.asset,campaign500_front30_review,Campaign 500 Front30 Review (30),30,30,0,28,2,30,6/52.5/106,9/17.8/30,7/25.8/44,normal:10;lock:7;maze:3;sweep:3;hole:2
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500Front40ReviewPack.asset,campaign500_front40_review,Campaign 500 Front40 Review (40),40,40,0,37,3,40,6/59.5/106,9/18.6/30,7/27.7/44,lock:11;normal:10;sweep:4;hole:3;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialPack.asset,campaign500_hole_highchain_trial,Campaign 500 Hole High-Chain Trial (10),500,500,0,500,0,500,6/114.1/366,9/24.2/46,7/37.9/63,lock:117;shape:96;normal:68;hole:50;dense:38
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500HoleHighChainTrialReviewPack.asset,campaign500_single_level_review,Campaign 500 Single-Level Review (42),42,42,0,42,0,42,6/134.4/366,10/26.0/38,7/38.2/62,hole:11;lock:8;normal:6;section:4;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewNoHolePack.asset,campaign500_plan_preview_no_hole,Campaign 500 Plan Preview - Hole Slots Empty (479),479,479,0,346,133,479,6/116.1/347,9/23.7/46,7/38.9/61,lock:122;shape:94;normal:72;sweep:45;dense:44
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500PlanPreviewPack.asset,campaign500_plan_preview,Campaign 500 Plan Preview,500,500,0,500,0,500,6/114.1/366,9/24.2/46,7/37.9/63,lock:117;shape:96;normal:68;hole:50;dense:38
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500SingleLevelReviewPack.asset,campaign500_single_level_review,Campaign 500 Single-Level Review (42),42,42,0,42,0,42,6/134.4/366,10/26.0/38,7/38.2/62,hole:11;lock:8;normal:6;section:4;maze:3
Campaign500_working_or_final,Assets/ArrowMagic/SOData/Packs/Campaign500/SingleLevelCandidatePoolPack.asset,campaign500_single_level_candidate_pool,Campaign 500 Single Level Candidate Pool (4),4,4,0,4,0,4,19/27.2/37,9/13.8/18,14/17.5/20,hole:2;maze:2
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_50.asset,composite_seed_variants_ab_50,Composite Seed Variants AB 50,50,0,50,0,0,0,,,,
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_CapacityAuditParents150.asset,composite_seed_variants_ab_capacity_audit_parents150,Composite Seed Variants AB Capacity Audit Parents 150,150,150,0,0,150,150,120/136.5/180,37/44.7/57,26/31.5/38,normal:150
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_CapacityAuditParents150Portrait.asset,composite_seed_variants_ab_capacity_audit_parents150_portrait,Composite Seed Variants AB Capacity Audit Parents 150 Portrait,135,135,0,0,135,135,120/135.2/180,26/31.3/38,37/44.3/56,normal:135
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_CapacityProbe200FromFinal40.asset,composite_seed_variants_ab_capacity_probe200_from_final40,Composite Seed Variants AB Capacity Probe 200 From Final Parents 40,56,56,0,0,56,56,121/133.0/144,28/32.6/48,28/42.2/51,normal:56
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_CompareTriplets.asset,composite_seed_variants_ab_compare_triplets,Composite Seed Variants AB Compare Triplets,150,100,50,0,100,40,55/78.8/103,18/23.0/31,28/32.1/36,normal:100
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_DependencySmoke10.asset,composite_seed_variants_ab_dependency_smoke10,Composite Seed Variants AB Dependency Smoke 10,30,30,0,0,30,25,44/88.2/141,18/29.2/47,25/29.3/35,normal:30
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_Final100.asset,composite_seed_variants_ab_final100,Composite Seed Variants AB Final 100,100,100,0,0,100,100,120/131.4/144,37/43.9/51,28/30.7/36,normal:100
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_FinalParents25.asset,composite_seed_variants_ab_final_parents25,Composite Seed Variants AB Final Parents,9,0,9,0,0,0,,,,
