sourcePool,candidateIndex,levelId,width,height,chains,type,shapeName,assetSource,container
normal_sgp40_zip,1,sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,normal,,Levels/Level_01_sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,2,sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,164,normal,,Levels/Level_02_sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,3,sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618_100431_dive,19,30,63,normal,,Levels/Level_03_sgp_manual_keep_outer1_repair_03_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,4,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032_arrowz_297_lock,18,25,52,normal,,Levels/Level_04_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_10_seed_100431_032.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,5,sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive,34,48,156,normal,,Levels/Level_05_sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,6,sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618_100431_dive,22,38,92,normal,,Levels/Level_06_sgp_manual_keep_outer1_repair_06_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,7,sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618_100431_dive,21,36,71,normal,,Levels/Level_07_sgp_manual_keep_outer1_repair_07_sgp_seed_hard_skeleton_newseed20260618.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,8,sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028_arrowz_269_long,23,32,81,normal,,Levels/Level_08_sgp_seed_hard_skeleton_newseed20260618_100431_diverse_22_seed_100431_028.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,9,sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_skeleton_newseed20260618_100431,18,30,59,normal,,Levels/Level_09_sgp_merged_final_outer_repair_newseed100431_final20_01_sgp_seed_hard_ske.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
normal_sgp40_zip,10,sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_skeleton_newseed20260618_100431,20,31,71,normal,,Levels/Level_10_sgp_merged_final_outer_repair_newseed100431_final20_04_sgp_seed_hard_ske.asset,F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Exports/SGPManualCuratedFinal40_Levels.zip
