"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","reason"
"29","replace","Yellow","16","StartFakeWide","FixedFront40","dense","Normal","direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_58_direct_diff_normal_room_gate_double_room_lock_g4_v05.asset","22","32","94","0.987","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","22","35","98","1","4","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_17_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","v5_keep_only_v4_improvements"
"87","replace","Yellow","18","GrindyLowClear","Shape","shape_object","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L087_mushroom_large.asset","38","38","102","0.613","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","shape","shape_maskonly_accepted347_pack","shape","racingkart","40","32","107","0.96","5","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_06_main_racingkart_20260615_225216.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","v5_keep_only_v4_improvements"
"148","replace","Yellow","28","StartFakeWide|PeakTooFlat","Pressure","section","Hard","direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02.asset","19","35","99","0.988","sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","23","37","111","1","12","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_16_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","v5_keep_only_v4_improvements"
"213","replace","Yellow","18","GrindyLowClear","Shape","shape_nature","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb08_01_large_tornado","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L213_tornado_large.asset","38","49","110","0.506","r2_outer_strong_005_r2_006_a401_maskonlyb02_07_large_wizardhat","shape","shape_maskonly_accepted347_pack","shape","wizardhat","44","43","111","0.96","1","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_large_wizardhat_20260614_171915.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L213_maskonlyb02_07_large_wizardhat_20260614_171915.asset","v5_keep_only_v4_improvements"
"261","replace","Yellow","18","GrindyLowClear","Recovery","sweep","Recovery","direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_89_direct_diff_hard_long_spine_long_corridor_g2_v03.asset","22","42","122","0.986","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","normal","normal_sgp40_zip_complete","normal","","23","37","107","1","-15","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_23_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_m.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L261_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework.asset","v5_keep_only_v4_improvements"
"335","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","30","30","84","0.978","hole_proc_standard_24x30_mid_921469_24x30_c82","hole","Hole_old_pool","hole","","24","30","82","1","-2","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset","v5_keep_only_v4_improvements"
"338","replace","Yellow","18","GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_11_large_cupcake","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L338_cupcake_large.asset","38","47","137","0.619","r2_outer_strong_005_r2_006_a401_maskonlyb04_18_large_television","shape","shape_maskonly_accepted347_pack","shape","television","44","40","136","0.96","-1","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_18_large_television_20260615_154709.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L338_maskonlyb04_18_large_television_20260615_154709.asset","v5_keep_only_v4_improvements"
"344","replace","Yellow","26","BottleneckHeavy|GrindyLowClear","Pressure","section","Hard","direct_diff120_148_direct_diff_veryhard_dag_unlock_four_pockets_g1_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_148_direct_diff_veryhard_dag_unlock_four_pockets_g1_v07.asset","28","49","176","0.979","direct_diff120_146_direct_diff_veryhard_room_gate_four_pockets_g1_v07","oldbase","DirectProcedural_big_pool","normal","","27","48","170","0.974537","-6","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_146_direct_diff_veryhard_room_gate_four_pockets_g1_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_146_direct_diff_veryhard_room_gate_four_pockets_g1_v07.asset","v5_keep_only_v4_improvements"
"451","replace","Yellow","18","GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_092_wide_32x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_092_wide_32x28_dual.asset","32","28","85","0.979","hole_proc_standard_24x32_late_922515_24x32_c91","hole","Hole_old_pool","hole","","24","32","91","1","6","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset","v5_keep_only_v4_improvements"
"454","replace","Yellow","16","StartFakeWide","Pressure","section","Hard","direct_diff120_134_direct_diff_veryhard_room_gate_vertical_gate_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_134_direct_diff_veryhard_room_gate_vertical_gate_g3_v04.asset","27","45","159","0.987","sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618_100431_dive","normal","normal_sgp40_zip_complete","normal","","34","48","156","0.9859","-3","F:\Unityproject\ArrowLevel-Hand\.worktrees\architectural-linework\Exports\SGPManualCuratedFinal40_Levels.zip::Levels/Level_05_sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed20260618.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV4\shape_refresh_v4_L454_sgp_manual_keep_outer1_repair_05_sgp_seed_hard_skeleton_newseed2026061.asset","v5_keep_only_v4_improvements"
