"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","reason"
"63","replace","Yellow","38","StartTooNarrow|BottleneckHeavy","Shape","shape_nature","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_18_compact_television","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L063_television_compact.asset","36","31","74","0.659","r2_outer_strong_005_r2_006_a401_maskonlyb03_03_main_sailboat","shape","shape_maskonly_accepted347_pack","shape","sailboat","38","38","72","0.96","-2","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_03_main_sailboat_20260614_200052.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L063_maskonlyb03_03_main_sailboat_20260614_200052.asset","replace_high_severity_shape_unused_family_chain_match"
"151","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_topup_051_topup_wide_30x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_051_topup_wide_30x26_dual.asset","30","26","79","0.982","hole_proc_standard_23x28_mid_919895_23x28_c79","hole","Hole_old_pool","hole","","23","28","79","1","0","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919895_23x28_c79.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919895_23x28_c79.asset","replace_high_severity_same_role_candidate"
"301","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_091_wide_32x28_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_091_wide_32x28_section.asset","32","28","88","0.967","hole_proc_standard_24x32_late_923033_24x32_c86","hole","Hole_old_pool","hole","","24","32","86","1","-2","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923033_24x32_c86.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923033_24x32_c86.asset","replace_high_severity_same_role_candidate"
"324","replace","Yellow","34","StartFakeWide|GrindyLowClear","Pressure","section","Hard","direct_diff120_135_direct_diff_veryhard_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_135_direct_diff_veryhard_near_square_stair_ladder_g3_v04.asset","35","41","195","0.986","direct_diff120_130_direct_diff_veryhard_room_gate_four_pockets_g2_v03","oldbase","DirectProcedural_big_pool","normal","","28","48","174","0.98883927","-21","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_130_direct_diff_veryhard_room_gate_four_pockets_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_130_direct_diff_veryhard_room_gate_four_pockets_g2_v03.asset","replace_high_severity_same_role_candidate"
"348","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_14_large_strawberry","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L348_strawberry_large.asset","40","47","135","0.609","r2_outer_strong_005_r2_006_a401_maskonlyb05_05_large_donut","shape","shape_maskonly_accepted347_pack","shape","donut","43","43","133","0.96","-2","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_05_large_donut_20260615_190517.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L348_maskonlyb05_05_large_donut_20260615_190517.asset","replace_high_severity_shape_unused_family_chain_match"
"353","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","Shape","shape_magic","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_11_large_flower","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L353_flower_large.asset","38","49","141","0.642","r2_outer_strong_005_r2_006_a401_maskonlyb07_09_large_slimecrown","shape","shape_maskonly_accepted347_pack","shape","slimecrown","44","43","128","0.96","-13","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_09_large_slimecrown_20260615_225229.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L353_maskonlyb07_09_large_slimecrown_20260615_225229.asset","replace_high_severity_shape_unused_family_chain_match"
"378","replace","Yellow","34","StartFakeWide|GrindyLowClear","Shape","shape_landmark","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_15_large_medal","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L378_medal_large.asset","36","49","140","0.652","r2_outer_strong_005_r2_006_a401_maskonlyb05_15_large_pretzel","shape","shape_maskonly_accepted347_pack","shape","pretzel","44","38","134","0.96","-6","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_15_large_pretzel_20260615_191026.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L378_maskonlyb05_15_large_pretzel_20260615_191026.asset","replace_high_severity_shape_unused_family_chain_match"
"388","replace","Red","138","GreedyNotSolved|PolicyMismatch|StartTooNarrow|BottleneckHeavy","Pressure","section","Hard","seed_mask_largecomposite_source_bigbadge","Assets/ArrowMagic/SOData/Levels/Seeds/seed_mask_largecomposite_source_bigbadge.asset","84","60","283","0.578","sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive","normal","normal_sgp_manual_curated_final40_pack","normal","","34","48","164","0.9650735","-119","F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L388_sgp_manual_keep_outer1_repair_02_sgp_seed_hard_skeleton_newseed2026061.asset","replace_red_legacy_mask_with_curated_normal"
"469","replace","Red","134","GreedyNotSolved|PolicyMismatch|StartFakeWide","Pressure","maze","Hard","seed_mask_largecomposite_source_bigbadge_largecomposite_rawclip","Assets/ArrowMagic/SOData/Levels/Seeds/seed_mask_largecomposite_bigbadge_rawclip_seed_mask_largecomposite_source_bigbadge_Mask_84x60-BigBadgeSimple_20260609_014034.asset","84","60","230","0.44","sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive","normal","normal_sgp_manual_curated_final40_pack","normal","","34","48","156","0.9773284","-74","F:/Unityproject/ArrowLevel-Hand/.worktrees/architectural-linework/Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPManualKeepOuter1Repair/sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed20260618_100431_dive.asset","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Campaign500Optimization\ShapeRefreshV3\shape_refresh_v3_L469_sgp_manual_keep_outer1_repair_01_sgp_seed_hard_skeleton_newseed2026061.asset","replace_red_legacy_mask_with_curated_normal"
"492","replace","Yellow","32","BottleneckHeavy|GrindyLowClear","HoleRescue","hole_rescue","Mechanic","hole_candidate_097_wide_34x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_097_wide_34x26_section.asset","34","26","91","0.979","hole_proc_standard_24x32_late_923551_24x32_c91","hole","Hole_old_pool","hole","","24","32","91","1","0","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923551_24x32_c91.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923551_24x32_c91.asset","replace_high_severity_same_role_candidate"
