order,oldGuid,oldLevelId,oldType,difficulty,oldWidth,oldHeight,oldChains,newGuid,newShapeName,newSizeBand,newLevelId,newWidth,newHeight,newChains,chainDelta,sourceAsset,destAsset,copyStatus,matchScore,staticFlags
23,75f0acb33cf133f43be072c8925f8dc7,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,shape_magic,4,30,44,80,223dd96a5c5126445b6b87084cffa934,train,compact,r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train,37,29,69,-11,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_01_compact_train_20260615_154532.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset,copied,44.081,HardSlotTooLowChain|PressureSlotTooLowChain
32,cf724c930e0ca0e49af97c9b7195ad7d,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,shape_magic,3,28,40,83,7de586b1c8ba9f241b50f1e9cdb84571,wavecrest,compact,r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest,36,36,67,-16,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_03_compact_wavecrest_20260615_235430.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset,copied,42.08,PressureSlotTooLowChain
78,550ffb64e9bbaa44fb20e6d07e5b4e41,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,shape_music,4,28,42,92,509f8ff63cf462c43903d305199b60b0,pencil,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil,38,49,87,-5,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_14_large_pencil_20260615_191022.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset,copied,19.862,HardSlotTooLowChain|PressureSlotTooLowChain
87,1820c913bb832a549a781d69f477ad9b,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,shape_object,4,30,40,95,43f34d8c57e85424f87a03bc5ca96b49,umbrella,large,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella,43,47,97,2,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L087_umbrella_large.asset,copied,12.135,HardSlotTooLowChain
113,11ee0c3dd57d2504db6cc123d0126c8b,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,shape_magic,4,28,42,98,5354738cc414b744fb15fa6cc0b08716,guitar,large,r2_outer_strong_005_r2_006_a401_maskonlyb03_02_large_guitar,38,49,97,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_02_large_guitar_20260614_200050.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L113_guitar_large.asset,copied,10.093,HardSlotTooLowChain
403,8972e0283004b034e97e2573f0b5150a,r2_outer_strong_005_r2_006_a401_procmask_137_long_maskproceduralvertical_40x50-transitioncarrier03tall,shape_vehicle,4,40,50,170,05ce087a0f84a6e4abc10c99a529954f,payphone,large,r2_outer_strong_005_r2_006_a401_maskonlyb06_06_large_payphone,38,49,153,-17,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_06_large_payphone_20260615_223649.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L403_payphone_large.asset,copied,42.873,OldAboveNewPoolMax
408,71cf6e164a57dc041855c89708fc9d5a,r2_outer_strong_005_r2_006_a401_procmask_114_onion_maskproceduralvertical_36x44-transitiondistinctbutterflytall,shape_nature,3,36,44,167,7dd9bb466b10a3f428efa8c86580283a,arcadecabinet,main,r2_outer_strong_005_r2_006_a401_maskonlyb06_04_main_arcadecabinet,36,44,153,-14,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_04_main_arcadecabinet_20260615_223139.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L408_arcadecabinet_main.asset,copied,29.47,OldAboveNewPoolMax
413,b61170b4d55004049b3664106f2b912c,r2_outer_strong_005_r2_006_a401_procmask_140_long_maskproceduralvertical_42x58-bigmegamonument05tall,shape_landmark,2,42,58,179,29be554946f564443944771ee24ef013,magicbook,large,r2_outer_strong_005_r2_006_a401_maskonlyb02_08_large_magicbook,40,47,155,-24,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_08_large_magicbook_20260614_171919.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L413_magicbook_large.asset,copied,48.27,OldAboveNewPoolMax
418,19379a58781cfa041bc778ade025fb3e,r2_outer_strong_005_r2_006_a401_procmask_58_onion_maskproceduralvertical_40x56-biggiantrobottall,shape_space,3,40,56,186,6fb70c93bfed65745ab8cc2a0150b769,crystalcluster,main,r2_outer_strong_005_r2_006_a401_maskonlyb08_04_main_crystalcluster,42,42,157,-29,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_04_main_crystalcluster_20260615_235436.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L418_crystalcluster_main.asset,copied,68.245,DifficultyMayDrop|OldAboveNewPoolMax
423,f6d4c63e4d7342f4a8bdc945ce9b8c20,r2_outer_strong_005_r2_006_a401_procmask_144_onion_maskproceduralvertical_42x60-bigcarrier04tall,shape_vehicle,3,42,60,186,0cb0973c1e6494343831d0df6dd15af7,camera,large,r2_outer_strong_005_r2_006_a401_maskonlyb09_38_large_camera,44,38,160,-26,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_large_camera_20260616_111032.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L423_camera_large.asset,copied,65.53,DifficultyMayDrop|OldAboveNewPoolMax
