"order","section10","category","difficultyBucket","experienceRole","projectedChain","projectedArrow","projectedAsset","sourcePool","productionLane","chainLanguage","baseChain","baseArrow","initialChain","initialArrow","projectionReason","linkedOrder","chainDeltaVsBase","chainDeltaVsInitial"
"1","1","normal","Ordinary","Normal","6","21","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","","","","6","21","6","21","keep_current","","0","0"
"2","1","hole","HoleRescue","HoleRescue","22","130","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","","","","22","130","22","130","keep_current","","0","0"
"3","1","normal","Ordinary","Normal","36","427","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","36","427","19","122","keep_current","","0","17"
"4","1","shape","Shape","Shape","55","459","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","ShapeMaskInventory","","","55","459","30","327","keep_current","","0","25"
"5","1","normal","Ordinary","Normal","36","429","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","36","429","26","364","keep_current","","0","10"
"6","1","shape","Shape","Shape","53","479","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","ShapeMaskInventory","","","53","479","32","369","keep_current","","0","21"
"7","1","normal","Ordinary","Normal","50","527","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","50","527","39","424","keep_current","","0","11"
"8","1","normal","Hard","Normal","46","535","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","46","535","46","347","keep_current","","0","0"
"9","1","shape","Shape","Shape","34","221","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","ShapeMaskInventory","","","34","221","32","194","keep_current","","0","2"
"10","1","normal","Peak","Normal","52","529","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","52","529","60","372","keep_current","","0","-8"
"11","2","normal","Ordinary","Normal","34","425","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","34","425","31","209","keep_current","","0","3"
