"pool","chainBin","count","minChain","maxChain","avgChain"
"all_after100_generated_normal","010-019","4","15","17","15.5"
"all_after100_generated_normal","020-029","12","21","29","24.9"
"all_after100_generated_normal","030-039","8","34","39","36.6"
"all_after100_generated_normal","040-049","14","40","48","44.7"
"all_after100_generated_normal","050-059","11","50","59","54.2"
"all_after100_generated_normal","060-069","45","60","69","66.6"
"all_after100_generated_normal","070-079","66","70","79","73.2"
"all_after100_generated_normal","080-089","34","80","89","83.6"
"all_after100_generated_normal","090-099","16","90","99","94.7"
"all_after100_generated_normal","100-109","8","100","109","103"
"all_after100_generated_normal","120-129","2","121","125","123"
"front100_current_normal","000-009","1","6","6","6"
"front100_current_normal","030-039","4","34","38","36"
"front100_current_normal","040-049","7","42","48","45"
"front100_current_normal","050-059","14","50","59","53.7"
"front100_current_normal","060-069","5","60","67","65"
"front100_current_normal","070-079","19","70","79","75.5"
"front100_current_normal","080-089","14","80","89","83.8"
"front100_current_normal","090-099","4","90","94","92.8"
"front100_current_normal","100-109","2","100","100","100"
"safe_after100_generated_normal","010-019","4","15","17","15.5"
"safe_after100_generated_normal","020-029","12","21","29","24.9"
"safe_after100_generated_normal","030-039","8","34","39","36.6"
"safe_after100_generated_normal","040-049","14","40","48","44.7"
"safe_after100_generated_normal","050-059","11","50","59","54.2"
"safe_after100_generated_normal","060-069","45","60","69","66.6"
"safe_after100_generated_normal","070-079","66","70","79","73.2"
"safe_after100_generated_normal","080-089","34","80","89","83.6"
"safe_after100_generated_normal","090-099","16","90","99","94.7"
"safe_after100_generated_normal","100-109","8","100","109","103"
"safe_after100_generated_normal","120-129","2","121","125","123"
"v7b_used_candidates","060-069","18","63","69","66.6"
"v7b_used_candidates","070-079","1","70","70","70"
"v7b_used_candidates","080-089","2","82","86","84"
"v7b_used_candidates","090-099","4","92","99","96"
"v7b_used_candidates","100-109","5","100","108","102.6"
"v7b_used_candidates","120-129","1","121","121","121"
