"section10","AdjNormalOrdinaryAvg","AdjNormalHardAvg","AdjNormalPeakAvg","AdjShapeAvg","AdjShapeMax","AdjHoleAvg","AdjPeakOrShapeMax","AdjHardMinusOrdinary","AdjPeakOrShapeMinusHard"
"1","14.2","46","52","47.3","55","22","55","31.8","9"
"2","35.3","56","79","60","60","37","79","20.7","23"
"3","44.6","89","121","79.5","87","42","121","44.4","32"
"4","53.8","86","99","85.5","88","41","99","32.2","13"
"5","62.5","81.5","119","78.5","81","43","119","19","37.5"
"6","75","82","92.5","92","92","43","100","7","18"
"7","71.5","87.5","100","80.5","91","43","100","16","12.5"
"8","76.5","83","107.5","83","84","45","123","6.5","40"
"9","79.7","86.7","116","93","95","45","116","7","29.3"
"10","85","97","136","81","92","47","136","12","39"
