"order","detailedDuty","playerPurpose","targetPressure","designNeed","avoid"
"1","新手消除规则引导","知道点击可消链、箭头会整链清除、胜利目标是清空","极低","短链、少选择、无复杂依赖；第一关不动或只做安全微调","不要出现读题压力、不要大画布、不要长等待"
"2","营救主题与洞洞空间初见","知道关卡有任务主题差异，洞洞/空间变化会影响观察","低","hole rescue 是体验差异点，不做难度峰值","不要让洞洞造成失败感"
"3","镜头/画布尺度引导","从小教程过渡到稍宽/稍大的正式棋盘，学会看全局","低-中","画布比1、2略扩，但链条仍清楚；适合普通 flow/peel","不要用高密度或单区扫穿糊住镜头引导"
"4","特殊图形解锁：水晶球","第一次明确感到 shape 是奖励/收集/解锁节点","低-中","水晶球形状第一视觉信号，清除过程要顺","不要把 shape 做成读题峰"
"5","水晶球后续引导/普通关承接","从展示回到普通清除，感到刚解锁后的轻上坡","中低","普通关承接第4关，链条可略多但不压迫","不要使用过长单链作为主要难度"
"6","特殊图形解锁：橡皮擦","第二个特殊图形，建立“形状节点会持续出现”的预期","中低","形状差异明显，体验新鲜；不与第4关同质","不要连续两个shape都同一清法"
"7","Lock结构轻引导","第一次感到有阻挡/锁定式读法，但仍可顺利过","中","lock 是主题，不是惩罚；需要有1步读题","不要让lock变成早期卡点"
"8","普通练习与阶段上坡","在没有新规则的情况下练习前面学到的观察方式","中","可以比3/5更饱满，但仍然顺","不要硬做压力位"
"9","特殊图形解锁：标尺","第三个视觉奖励节点，形成前10关的收集感","中","shape承担记忆点；难度不一定高","不要抢第10关小考的压力"
"10","前10关小考：轻困难lock","第一次停一下读题，确认玩家理解区域/方向/阻挡","中高","困难要清楚公平，和前9关有明显读题差异","不要做成特困，不要靠链条数量硬堆"
"11","第二段开场回落","从第10关释放，重新顺起来","中低","普通恢复，画布可保持正式规格","不要继续lock高压"
"12","正式画布练习","习惯更大棋盘和更多链条，但仍是普通体验","中","可作为正式关手感基准；适合flow/peel","不要过快拉到后期密度"
"13","特殊图形解锁：魔法杖","继续给视觉奖励，维持探索动力","中","shape与前面水晶球/橡皮擦/标尺不同","不要让shape频繁变成同一种蛇形填充"
"14","链条语言变化练习","换一种链条读法，避免前期同质","中","可以从curve切到rail/patch-lite；变化大于难度","不要同时增加太多变量"
"15","分区/section概念初见","开始意识到棋盘可以分区域处理","中-中高","区域感清楚，有小回退空间","不要做成多区互锁高压"
"16","Lock结构复习","把第7/10关的lock经验再用一次","中高","比7更正式，但低于19","不要和19重叠成两个连续峰"
"17","Hole rescue回归/节奏呼吸","用主题关给第16和第19之间一个换气","中","hole是变化和呼吸，不是难度峰","不要因为hole导致卡顿"
"18","前20峰值前置练习","为19关做准备，普通但接近上沿","中高","提高规模或链条数，但解法仍顺","不要超过19的读题压力"
"19","前20第一标杆/小Boss","玩家第一次觉得“这是一个挑战”，但能靠前面所学解决","高","lock + 依赖读题；有效负载约60上下即可，不必照模板94 raw chains硬做","不要做极难，不要卡死新玩家"
"20","前20收束/新主题预告","从19释放，同时用shell或新画布手感引出后续","中","回落但不能太空；作为进入21-30的桥","不要继续峰值压力"
