section10,levelRange,macroArc,sectionRole,templateNormal,templateHard,templateSpecial,templateExtreme,templateShape,templateHole,normalEffectiveBand,hardEffectiveBand,peakEffectiveBand,styleFocus,sectionPlanningNote
1,1-10,A1_OnboardingSafety,front10_onboard_light_quiz,9,1,0,0,3,1,8-18,32-42,34-42,"Flow,Peel,Shape,Hole,LockLite",No extreme slot. L10 is only a light quiz around effective load 35-42.
2,11-20,A1_OnboardingSafety,front20_onboard_first_boss,9,0,1,0,1,1,30-42,44-56,36-48,"Flow,Peel,Shape,Hole,LockLite",L19 is the first boss around effective load 56-66; do not follow raw template 94 blindly.
3,21-30,A1_OnboardingSafety,early_ramp_with_visual_anchors,8,1,0,1,2,1,35-47,61-77,84-108,"Flow,Peel,Mixed,Shape,Hole,LongChainLite","Rise gently; hard/special only need clear contrast, not late-game density."
4,31-40,A1_OnboardingSafety,early_ramp_with_visual_anchors,6,3,1,0,2,1,41-53,67-83,80-100,"Flow,Peel,Mixed,Shape,Hole,LongChainLite","Rise gently; hard/special only need clear contrast, not late-game density."
5,41-50,A1_OnboardingSafety,early_ramp_with_visual_anchors,4,4,1,1,2,1,49-61,70-82,98-122,"Flow,Peel,Mixed,Shape,Hole,LongChainLite","Rise gently; hard/special only need clear contrast, not late-game density."
6,51-60,A2_LoopFormation,loop_formation,6,2,2,0,2,1,53-65,79-95,92-112,"Flow,Peel,Mixed,LongChainLite","Form stable loop: normal reaches about 60-80, with visible hard/peak contrast."
7,61-70,A2_LoopFormation,loop_formation,5,3,1,1,2,1,57-69,83-99,106-130,"Flow,Peel,Mixed,LongChainLite","Form stable loop: normal reaches about 60-80, with visible hard/peak contrast."
8,71-80,A2_LoopFormation,loop_formation,8,0,2,0,2,1,61-73,87-103,100-120,"Flow,Peel,Mixed,LongChainLite","Form stable loop: normal reaches about 60-80, with visible hard/peak contrast."
9,81-90,A2_LoopFormation,loop_formation,3,5,1,1,2,1,65-77,91-107,114-138,"Flow,Peel,Mixed,LongChainLite","Form stable loop: normal reaches about 60-80, with visible hard/peak contrast."
10,91-100,A2_LoopFormation,loop_formation,4,4,1,1,2,1,69-81,95-111,118-142,"Flow,Peel,Mixed,LongChainLite","Form stable loop: normal reaches about 60-80, with visible hard/peak contrast."
