arc,levels,arcName,normalGoal,hardGoal,peakGoal,styleMix,flowShareGuidance,notes
1,1-50,规则建立与安全感,普通以顺和清楚为主; 少量变化,困难到35-60有效负载即可; 19可作前20标杆,shape/hole承担早期记忆点,Flow/Peel/Shape/Hole,high,前10不需要特困; 11-20普通30出头; 不要过早压迫
2,51-100,稳定循环成型,普通逐步到60-80但有回退,困难与普通拉开15-25有效负载,特别困难开始成为10关末峰值,Flow/Peel/Mixed/Shape/Hole,medium-high,前100体验必须正常; 每10关节奏要细
3,101-150,风格扩展,普通保持可玩但减少纯爽关,困难开始要求换区域/换方向,特别困难用Peel/LongChain-lite/shape做主题峰,Peel/Mixed/LongChain-lite/Shape,medium,长链按有效负载加权; 不看raw链条
4,151-200,读题要求上升,普通不必一直涨但质量更稳,困难强化local-run breaker,峰值强调依赖或空间anchor,Peel/Mixed/Hub-lite/LongChain,medium-low,避免连续同风格; 让玩家感到会读题了
5,201-250,前300核心中段,普通约70-90有效负载并插入释放,困难要求明显跨区,特别困难/极难有章节记忆点,Peel/Hub/LongChain/Shape/Hole,low-medium,质量优先; 候选不足时宁可少替换后段
6,251-300,前300核心收束,普通稳定高质量; 回退更有意图,困难/特别困难差距清楚,极难作为阶段boss,Peel/Hub/LongChain/Mixed,low,前300尽量全换新候选; 但不降低质量
7,301-350,高级变化引入,普通可保留部分旧合理关,困难更多风格混合,峰值可试Hub/Maze-like但需严格验证,Hub/LongChain/Peel/Mixed,low,不成熟Maze只当少量实验
8,351-400,高读题段,普通仍需呼吸,困难减少同区扫穿,极难强调综合主题,Hub/LongChain/Peel/Shape/Hole,low,避免疲劳; 峰后必须释放
9,401-450,精选回顾,普通作为成熟玩家的顺关,困难做旧主题变体,峰值回顾前面学过的语言,All stable styles,low but present,像精选集; 不要突然换成陌生规则
10,451-500,终局节奏,普通是强玩家恢复关,困难/极难承担最终挑战,最终段要有明确boss与释放,Best-of Flow/Peel/LongChain/Hub/Shape/Hole,low but scheduled,不是一路压到500; 最后要有完成感
