reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,2:3,L,0,1,0
1,1,2,1:3,D,1,1,1
2,2,2,1:1,D,1,1,1
3,3,3,3:0,R,1,1,2
4,4,5,11:1,R,1,1,1
5,5,4,13:0,D,1,1,2
6,6,5,8:1,D,0,2,1
7,7,3,7:1,U,1,2,2
8,8,5,9:7,R,1,2,1
9,9,5,11:7,R,1,2,1
10,10,4,11:8,L,1,2,2
11,11,5,3:8,L,1,2,2
12,12,5,2:8,U,1,2,2
13,13,5,4:12,U,1,2,1
14,14,5,4:13,L,1,2,1
15,15,4,3:14,U,1,2,2
16,16,5,3:16,R,1,2,3
17,17,5,3:15,L,1,2,3
18,18,4,1:14,L,1,2,2
19,19,5,0:15,U,1,2,3
20,20,4,0:16,L,1,2,1
21,21,5,8:15,R,0,3,2
22,22,5,10:16,U,1,3,2
23,23,5,12:16,R,1,3,2
24,24,2,13:17,U,1,3,2
25,25,3,7:9,L,0,4,2
26,26,4,5:9,L,1,4,2
27,27,5,3:9,L,1,4,3
28,28,2,1:9,L,1,4,4
29,29,5,0:11,L,1,4,4
30,30,5,10:10,R,0,5,1
31,31,5,11:12,R,1,5,1
32,32,5,13:14,R,1,5,1
33,33,5,5:2,D,0,6,1
