campaignOrder,slotKind,idealScore,targetDifficultyTag,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
1,Normal,110,Flow,normal_campaign500,normal,3,r1_outer_strong_100_r1_191_a744,r1_outer_strong_100_r1_191_a744,Flow,110,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,22,47,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_100_r1_191_a744.asset,ideal=110|target=Flow|kind=Normal|front20|scoreDiff=0
2,Normal,120,Flow,normal_campaign500,normal,11,nomask_05_dense_weave,nomask_05_dense_weave,Flow,120,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,22,45,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_05_dense_weave.asset,ideal=120|target=Flow|kind=Normal|front20|scoreDiff=0
3,Normal,125,Flow,normal_campaign500,normal,93,r2_outer_strong_118_r2_219_a811,r2_outer_strong_118_r2_219_a811,Flow,125,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,24,30,80,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_118_r2_219_a811.asset,ideal=125|target=Flow|kind=Normal|front20|scoreDiff=0
4,Shape,120,Flow,shape_early_prop,shape,2,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,EarlyProp02Eraser,Flow,104,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Object,26,18,32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,ideal=120|target=Flow|kind=Shape|front20|theme=Object|scoreDiff=16
5,Normal,135,Flow,normal_campaign500,normal,63,nomask_style_expansion_23_center_cross_b,nomask_style_expansion_23_center_cross_b,Flow,130,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,17,24,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,ideal=135|target=Flow|kind=Normal|front20|scoreDiff=5
6,Normal,150,Flow,normal_campaign500,normal,69,nomask_style_expansion_06_snake_spine_mid,nomask_style_expansion_06_snake_spine_mid,Flow,122,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,27,61,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_06_snake_spine_mid.asset,ideal=150|target=Flow|kind=Normal|front20|scoreDiff=28
7,Normal,160,Flow,normal_campaign500,normal,84,r1_ab_271_above300_level_943_final,r1_ab_271_above300_level_943_final,Flow,144,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,26,26,62,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_271_above300_level_943_final.asset,ideal=160|target=Flow|kind=Normal|front20|scoreDiff=16
8,Normal,145,Flow,normal_campaign500,normal,33,r1_outer_strong_168_r1_289_a985,r1_outer_strong_168_r1_289_a985,Flow,142,LowPressure,Flow,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,24,49,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_168_r1_289_a985.asset,ideal=145|target=Flow|kind=Normal|front20|scoreDiff=3
9,Shape,170,Flow,shape_early_prop,shape,4,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,EarlyProp04MagicWand,Flow,150,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,24,24,37,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,ideal=170|target=Flow|kind=Shape|front20|theme=Magic|scoreDiff=20
10,Normal,185,Flow,normal_campaign500,normal,154,r2_outer_strong_075_r2_150_a655,r2_outer_strong_075_r2_150_a655,Flow,225,LowPressure,Flow,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,25,56,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_075_r2_150_a655.asset,ideal=185|target=Flow|kind=Normal|front20|scoreDiff=40
