campaignOrder,slotKind,templateId,experienceRole,contentSeries,unlockTag,storyBeat,idealScore,targetDifficultyTag,stageRelativeDifficultyTag,stageDifficultyScore,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
1,Normal,F20-Director,TutorialIntro,TutorialSimple,CoreRule,HiHello,45,Flow,StageFlow,25,tutorial_simple,normal,1,tutorial_simple_01_hi,TutorialSimple01Hi,Flow,45,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,SpecialShape,VisualSparse,Tutorial,CoreRule,NoRisk,TutorialSimple,Tutorial,10,7,6,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,ideal=45|target=Flow|kind=Normal|template=F20-Director|role=TutorialIntro|front20|tutorial-simple|scoreDiff=0
2,Hole,F20-Director,RescueIntro,Front20Rescue,None,RescueBabyDragon,115,Flow,StageFlow|Mechanic,94,hole_mask_early_front,hole,1,seed_Arrowz_level_035_holeblock_multiseed_final,hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152,Normal,351,OpeningPressure,Spike,StartNarrow,ClearFlow,ChoiceTactical,HoleBlocker,VisualSparse,MechanicSpice,HoleBlocker,LowPlayableFill,StartNarrow,HoleBlocker,16,18,22,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,ideal=115|target=Flow|kind=Hole|template=F20-Director|role=RescueIntro|front20|hole-spacing|scoreDiff=236
3,Normal,F20-Director,Observe,Front20Intro,None,FormerLevel1OpenField,90,Flow,StageFlow,68,normal_campaign500,normal,24,r2_outer_strong_166_r2_295_a003,r2_outer_strong_166_r2_295_a003,Flow,93,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,14,13,20,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_166_r2_295_a003.asset,ideal=90|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=3
4,Shape,F20-Director,ToolUnlock,NewbieProp,CrystalBall,UnlockCrystalBall,105,Flow,StageFlow,105,shape_early_prop,shape,1,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,EarlyProp01CrystalBall,Flow,101,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,20,24,30,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,ideal=105|target=Flow|kind=Shape|template=F20-Director|role=ToolUnlock|front20|newbie-shape-series|theme=Magic|scoreDiff=4
5,Normal,F20-Director,Flow,Front20Normal,PiggyBank,UnlockPiggyBankAfter,105,Flow,StageFlow,82,normal_campaign500,normal,58,nomask_style_01_hui_spiral,nomask_style_01_hui_spiral,Flow,102,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,23,26,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,ideal=105|target=Flow|kind=Normal|template=F20-Director|role=Flow|front20|scoreDiff=3
6,Shape,F20-Director,ToolUnlock,NewbieProp,Eraser,UnlockEraser,115,Flow,StageFlow,109,shape_early_prop,shape,2,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,EarlyProp02Eraser,Flow,104,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Object,26,18,32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,ideal=115|target=Flow|kind=Shape|template=F20-Director|role=ToolUnlock|front20|newbie-shape-series|theme=Object|scoreDiff=11
7,Normal,F20-Director,Flow,Front20Normal,None,NormalA,120,Flow,StageFlow,117,normal_campaign500,normal,9,r2_outer_strong_106_r2_203_a772,r2_outer_strong_106_r2_203_a772,Flow,123,LowPressure,Flow,StartMedium,ClearFlow,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,19,40,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_106_r2_203_a772.asset,ideal=120|target=Flow|kind=Normal|template=F20-Director|role=Flow|front20|scoreDiff=3
8,Normal,F20-Director,Observe,Front20Normal,None,NormalB,135,Flow,StageNormal,131,normal_campaign500,normal,30,nomask_08_dual_zone,nomask_08_dual_zone,Flow,129,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,22,46,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,ideal=135|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=6
9,Shape,F20-Director,ToolPreview,NewbieProp,Ruler,PreviewRuler,135,Flow,StageFlow,109,shape_early_prop,shape,3,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,EarlyProp03Ruler,Flow,138,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Object,22,22,32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,ideal=135|target=Flow|kind=Shape|template=F20-Director|role=ToolPreview|front20|newbie-shape-series|theme=Object|scoreDiff=3
10,Normal,F20-Director,Pressure,Front20Normal,None,FirstSmallPressure,165,Hard,StageHard,237,normal_campaign500,normal,124,r2_outer_strong_051_r2_091_a571,r2_outer_strong_051_r2_091_a571,Normal,242,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,19,26,62,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_051_r2_091_a571.asset,ideal=165|target=Hard|kind=Normal|template=F20-Director|role=Pressure|front20|scoreDiff=77
