group,count,details
total,500,target=500
usablePool,674,all=721
sourceKind,,normal:376 shape:100 hole:24
slotKind,,Normal:376 Shape:100 Hole:24
difficultyTagV1,,Normal:284 Hard:116 Flow:52 VeryHard:39 Extreme:9
pressureTag,,LowPressure:443 HighPressure:56 OpeningPressure:1
shapeTheme,,Magic:17 Landmark:16 Ocean:13 Nature:11 Object:10 Vehicle:7 Character:5 Music:5 Symbol:5 ToolUI:5 Space:4 Art:2
first20SourceKind,,normal:16 shape:4
first20Difficulty,,Flow:16 Normal:4
levels_001_010,10,shape=2 hole=0
levels_011_020,10,shape=2 hole=0
levels_021_030,10,shape=2 hole=1
levels_031_040,10,shape=2 hole=0
levels_041_050,10,shape=2 hole=1
levels_051_060,10,shape=2 hole=0
levels_061_070,10,shape=2 hole=1
levels_071_080,10,shape=2 hole=0
levels_081_090,10,shape=2 hole=1
levels_091_100,10,shape=2 hole=0
levels_101_110,10,shape=2 hole=1
levels_111_120,10,shape=2 hole=0
levels_121_130,10,shape=2 hole=1
levels_131_140,10,shape=2 hole=0
levels_141_150,10,shape=2 hole=1
levels_151_160,10,shape=2 hole=0
levels_161_170,10,shape=2 hole=1
levels_171_180,10,shape=2 hole=0
levels_181_190,10,shape=2 hole=1
levels_191_200,10,shape=2 hole=0
levels_201_210,10,shape=2 hole=1
levels_211_220,10,shape=2 hole=0
levels_221_230,10,shape=2 hole=1
levels_231_240,10,shape=2 hole=0
levels_241_250,10,shape=2 hole=1
levels_251_260,10,shape=2 hole=0
levels_261_270,10,shape=2 hole=1
levels_271_280,10,shape=2 hole=0
levels_281_290,10,shape=2 hole=1
levels_291_300,10,shape=2 hole=0
levels_301_310,10,shape=2 hole=1
levels_311_320,10,shape=2 hole=0
levels_321_330,10,shape=2 hole=1
levels_331_340,10,shape=2 hole=0
levels_341_350,10,shape=2 hole=1
levels_351_360,10,shape=2 hole=0
levels_361_370,10,shape=2 hole=1
levels_371_380,10,shape=2 hole=0
levels_381_390,10,shape=2 hole=1
levels_391_400,10,shape=2 hole=0
levels_401_410,10,shape=2 hole=1
levels_411_420,10,shape=2 hole=0
levels_421_430,10,shape=2 hole=1
levels_431_440,10,shape=2 hole=0
levels_441_450,10,shape=2 hole=1
levels_451_460,10,shape=2 hole=0
levels_461_470,10,shape=2 hole=1
levels_471_480,10,shape=2 hole=0
levels_481_490,10,shape=2 hole=1
levels_491_500,10,shape=2 hole=0
