"pool","order","sourcePack","levelId","assetName","width","height","chains","arrowTiles","blockTiles","boardFill","playableFill","assetArrowCoverage","initialMovable","targetDifficultyScore","generationSeed","maskGuid","assetPath"
"hole_mask_early_front","1","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","seed_Arrowz_level_035_holeblock_multiseed_final","hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152","16","18","22","130","72","0.451","0.602","1","0","542","0","89d477bb6c0545240a3ece06abfbe423","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset"
"hole_mask_early_front","2","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","hole_early_17x18_standard_r02_r1_ab_091_above300_level_571_final_20260611_093052","17","18","28","151","72","0.493","0.645","1","0","616","0","8d40ce7d20de64a40ac2b50ccf532798","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_17x18_standard_r02_r1_ab_091_above300_level_571_final_20260611_093052.asset"
"hole_mask_early_front","3","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628","18","22","43","229","72","0.578","0.707","1","0","616","0","5e5339cb47164194cb216c215980e313","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628.asset"
"hole_mask_early_front","4","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","seed_Above300_level_645_holeblock_multiseed_final","hole_prod_18x22_standard_r02_seed_Above300_level_645_20260610_113629","18","22","45","228","72","0.576","0.704","1","0","656","0","5e5339cb47164194cb216c215980e313","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_18x22_standard_r02_seed_Above300_level_645_20260610_113629.asset"
"hole_mask_early_front","5","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","seed_Above300_level_907_holeblock_multiseed_final","hole_prod_20x24_standard_r15_seed_Above300_level_907_20260610_113837","20","24","50","298","72","0.621","0.73","1","0","697","0","9d9e65df9a00181439495278550de576","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r15_seed_Above300_level_907_20260610_113837.asset"
"hole_mask_early_front","6","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_041_above300_level_473_final_holeblock_multiseed_final","hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832","20","24","51","299","72","0.623","0.733","1","0","636","0","9d9e65df9a00181439495278550de576","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset"
"hole_mask_early_front","7","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_282_above300_level_966_final_holeblock_multiseed_final","hole_prod_22x26_standard_r01_r1_ab_282_above300_level_966_final_20260610_113915","22","26","58","371","72","0.649","0.742","1","0","809","0","d3e6796693db04b49a7987c1f355efe7","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_22x26_standard_r01_r1_ab_282_above300_level_966_final_20260610_113915.asset"
"hole_mask_early_front","8","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_159_above300_level_677_final_holeblock_multiseed_final","hole_prod_22x26_standard_r02_r1_ab_159_above300_level_677_final_20260610_113938","22","26","66","372","72","0.65","0.744","1","0","756","0","d3e6796693db04b49a7987c1f355efe7","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_22x26_standard_r02_r1_ab_159_above300_level_677_final_20260610_113938.asset"
"hole_mask_early_front","9","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_156_above300_level_672_final_holeblock_multiseed_final","hole_prod_24x28_standard_r03_r1_ab_156_above300_level_672_final_20260610_114201","24","28","63","456","72","0.679","0.76","1","0","833","0","f592f9ea78e13d64f8f6ef01b85788fe","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_24x28_standard_r03_r1_ab_156_above300_level_672_final_20260610_114201.asset"
"hole_mask_early_front","10","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_178_above300_level_716_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added55_rotation_vflip_holeblock_multiseed_final","hole_prod_24x28_standard_r01_r1_ab_178_above300_level_716_final_take_refi_20260610_114046","24","28","74","457","72","0.68","0.762","1","0","818","0","f592f9ea78e13d64f8f6ef01b85788fe","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_24x28_standard_r01_r1_ab_178_above300_level_716_final_take_refi_20260610_114046.asset"
"hole_mask_early_front","11","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_282_above300_level_966_final_take_refill_v2_p2_delta15_occ15_addcells_rewrite_v2_v2_t3_added58_rotation_vflip_holeblock_multiseed_final","hole_prod_20x30_long_r01_r1_ab_282_above300_level_966_final_take_refi_20260610_114525","20","30","58","387","72","0.645","0.733","1","0","877","0","af4b9aa4256dd60438a5ba4611e8329e","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x30_long_r01_r1_ab_282_above300_level_966_final_take_refi_20260610_114525.asset"
"hole_mask_early_front","12","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_093_above300_level_574_final_take_refill_v2_p2_delta19_occ19_addcells_rewrite_v2_v2_r3_added81_rotation_vflip_holeblock_multiseed_final","hole_prod_20x30_long_r02_r1_ab_093_above300_level_574_final_take_refi_20260610_114605","20","30","67","387","72","0.645","0.733","1","0","752","0","af4b9aa4256dd60438a5ba4611e8329e","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x30_long_r02_r1_ab_093_above300_level_574_final_take_refi_20260610_114605.asset"
"hole_mask_early_front","13","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_109_above300_level_606_final_holeblock_multiseed_final","hole_prod_28x22_wide_r02_r1_ab_109_above300_level_606_final_20260610_114848","28","22","52","404","72","0.656","0.743","1","0","926","0","55151fdc8df604344844a47f73c5feb1","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_28x22_wide_r02_r1_ab_109_above300_level_606_final_20260610_114848.asset"
"hole_mask_early_front","14","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_148_above300_level_652_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added46_rotation_hflip_holeblock_multiseed_final","hole_prod_28x22_wide_r03_r1_ab_148_above300_level_652_final_take_refi_20260610_114917","28","22","66","405","72","0.657","0.744","1","0","784","0","55151fdc8df604344844a47f73c5feb1","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_28x22_wide_r03_r1_ab_148_above300_level_652_final_take_refi_20260610_114917.asset"
"hole_mask_early_front","15","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_178_above300_level_716_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added55_rotation_vflip_holeblock_multiseed_final","hole_prod_24x28_slant_r02_r1_ab_178_above300_level_716_final_take_refi_20260610_115037","24","28","68","435","72","0.647","0.725","1","0","818","0","17b90bedc18087a4b9891112be5f53f2","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_24x28_slant_r02_r1_ab_178_above300_level_716_final_take_refi_20260610_115037.asset"
"hole_mask_early_front","16","Assets/ArrowMagic/SOData/Packs/Production/HoleMask/HoleMask_FinalScreening_EarlyFront.asset","r1_ab_156_above300_level_672_final_holeblock_multiseed_final","hole_prod_24x28_slant_r01_r1_ab_156_above300_level_672_final_20260610_115005","24","28","61","434","72","0.646","0.723","1","0","833","0","17b90bedc18087a4b9891112be5f53f2","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_24x28_slant_r01_r1_ab_156_above300_level_672_final_20260610_115005.asset"
