order,campaignType,chains,width,height,theme,subtheme,shapeRole,difficultyBand,maskName,displayShapeId,expectedShapeFromName,maskWidth,maskHeight,maskArea,maskCoverage,maskFill,recognitionRisk,riskReasons,levelId,sourceAsset,suggestedRevealPng,suggestedThumbPng
23,shape_magic,80,30,44,Magic,academy,object,main,MainMagicQuillTall,shape_main_magic_quill_tall,magic quill,30,44,682,0.517,0.974,LikelyReadable,medium_mask_coverage;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,Art/ShapeReveal/shape_main_magic_quill_tall.png,Art/ShapeRevealThumb/shape_main_magic_quill_tall_thumb.png
27,shape_object,80,28,42,Object,tools-items,object,main,MainHourglassTall,shape_main_hourglass_tall,hourglass,28,42,640,0.544,0.992,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,Art/ShapeReveal/shape_main_hourglass_tall.png,Art/ShapeRevealThumb/shape_main_hourglass_tall_thumb.png
32,shape_magic,83,28,40,Magic,adventure-relic,object,main,MainShieldTall,shape_main_shield_tall,shield,28,40,682,0.609,0.985,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,Art/ShapeReveal/shape_main_shield_tall.png,Art/ShapeRevealThumb/shape_main_shield_tall_thumb.png
38,shape_magic,88,30,42,Magic,adventure-relic,object,main,MainKeyTall,shape_main_key_tall,key,30,42,733,0.582,0.986,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,Art/ShapeReveal/shape_main_key_tall.png,Art/ShapeRevealThumb/shape_main_key_tall_thumb.png
43,shape_magic,87,32,42,Magic,creature,creature,main,MainMagicBatTall,shape_main_magic_bat_tall,magic bat,32,42,770,0.573,0.978,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,Art/ShapeReveal/shape_main_magic_bat_tall.png,Art/ShapeRevealThumb/shape_main_magic_bat_tall_thumb.png
48,shape_magic,88,32,44,Magic,creature,creature,main,MainMagicBlackCatTall,shape_main_magic_black_cat_tall,magic black cat,32,44,766,0.544,0.99,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,Art/ShapeReveal/shape_main_magic_black_cat_tall.png,Art/ShapeRevealThumb/shape_main_magic_black_cat_tall_thumb.png
53,shape_space,86,30,42,Space,sci-fi,vehicle,main,MainRocketTall,shape_main_rocket_tall,rocket,30,42,620,0.492,0.981,LikelyReadable,medium_mask_coverage;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,Art/ShapeReveal/shape_main_rocket_tall.png,Art/ShapeRevealThumb/shape_main_rocket_tall_thumb.png
58,shape_symbol,87,30,42,Symbol,letters-symbols,symbol,main,MainDistinctPuzzleTall,shape_main_distinct_puzzle_tall,puzzle,30,42,661,0.525,0.988,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,Art/ShapeReveal/shape_main_distinct_puzzle_tall.png,Art/ShapeRevealThumb/shape_main_distinct_puzzle_tall_thumb.png
63,shape_nature,90,32,42,Nature,plants-creatures,natural,main,MainLeaf09Tall,shape_main_leaf09_tall,leaf09,32,42,747,0.556,0.98,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,Art/ShapeReveal/shape_main_leaf09_tall.png,Art/ShapeRevealThumb/shape_main_leaf09_tall_thumb.png
67,shape_symbol,86,30,40,Symbol,letters-symbols,symbol,main,MainStarTall,shape_main_star_tall,star,30,40,630,0.525,0.97,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,Art/ShapeReveal/shape_main_star_tall.png,Art/ShapeRevealThumb/shape_main_star_tall_thumb.png
73,shape_symbol,90,28,42,Symbol,letters-symbols,symbol,main,MainDistinctCrescentTall,shape_main_distinct_crescent_tall,crescent,28,42,650,0.553,0.98,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset,Art/ShapeReveal/shape_main_distinct_crescent_tall.png,Art/ShapeRevealThumb/shape_main_distinct_crescent_tall_thumb.png
78,shape_music,92,28,42,Music,stage,object,main,MainDistinctMusicNoteTall,shape_main_distinct_music_note_tall,music note,28,42,671,0.571,0.981,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,Art/ShapeReveal/shape_main_distinct_music_note_tall.png,Art/ShapeRevealThumb/shape_main_distinct_music_note_tall_thumb.png
83,shape_symbol,91,30,40,Symbol,letters-symbols,symbol,main,MainHeartTall,shape_main_heart_tall,heart,30,40,678,0.565,0.984,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset,Art/ShapeReveal/shape_main_heart_tall.png,Art/ShapeRevealThumb/shape_main_heart_tall_thumb.png
87,shape_object,95,30,40,Art,studio,object,main,MainPaintPaletteTall,shape_main_paint_palette_tall,paint palette,30,40,879,0.733,0.98,NeedsVisualCheck,complex_name,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset,Art/ShapeReveal/shape_main_paint_palette_tall.png,Art/ShapeRevealThumb/shape_main_paint_palette_tall_thumb.png
93,shape_symbol,92,28,42,Symbol,letters-symbols,symbol,main,MainLightningTall,shape_main_lightning_tall,lightning,28,42,648,0.551,0.974,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset,Art/ShapeReveal/shape_main_lightning_tall.png,Art/ShapeRevealThumb/shape_main_lightning_tall_thumb.png
98,shape_music,94,28,42,Music,stage,object,main,MainMicrophoneTall,shape_main_microphone_tall,microphone,28,42,776,0.660,0.987,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset,Art/ShapeReveal/shape_main_microphone_tall.png,Art/ShapeRevealThumb/shape_main_microphone_tall_thumb.png
103,shape_ocean,93,30,42,Ocean,nautical,object,main,MainOceanDriftBottleTall,shape_main_ocean_drift_bottle_tall,ocean drift bottle,30,42,661,0.525,0.977,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset,Art/ShapeReveal/shape_main_ocean_drift_bottle_tall.png,Art/ShapeRevealThumb/shape_main_ocean_drift_bottle_tall_thumb.png
108,shape_symbol,93,28,42,Symbol,letters-symbols,symbol,main,MainDistinctDigit2Tall,shape_main_distinct_digit2_tall,digit2,28,42,656,0.558,0.985,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,Art/ShapeReveal/shape_main_distinct_digit2_tall.png,Art/ShapeRevealThumb/shape_main_distinct_digit2_tall_thumb.png
113,shape_magic,98,28,42,Magic,academy,object,main,MainMagicRuneStoneTall,shape_main_magic_rune_stone_tall,magic rune stone,28,42,827,0.703,0.987,NeedsVisualCheck,abstract_name;complex_name,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,Art/ShapeReveal/shape_main_magic_rune_stone_tall.png,Art/ShapeRevealThumb/shape_main_magic_rune_stone_tall_thumb.png
118,shape_ocean,96,30,44,Ocean,sea-creature,creature,main,MainDistinctJellyfishTall,shape_main_distinct_jellyfish_tall,jellyfish,30,44,830,0.629,0.984,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,Art/ShapeReveal/shape_main_distinct_jellyfish_tall.png,Art/ShapeRevealThumb/shape_main_distinct_jellyfish_tall_thumb.png
123,shape_magic,92,30,42,Magic,creature,creature,main,MainMagicDragonEggTall,shape_main_magic_dragon_egg_tall,magic dragon egg,30,42,820,0.651,0.982,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,Art/ShapeReveal/shape_main_magic_dragon_egg_tall.png,Art/ShapeRevealThumb/shape_main_magic_dragon_egg_tall_thumb.png
127,shape_character,99,30,42,Character,animals-mascots,character,main,MainOwlTall,shape_main_owl_tall,owl,30,42,872,0.692,0.976,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,Art/ShapeReveal/shape_main_owl_tall.png,Art/ShapeRevealThumb/shape_main_owl_tall_thumb.png
133,shape_magic,95,30,42,Magic,adventure-relic,object,main,MainKnightMascotTall,shape_main_knight_mascot_tall,knight mascot,30,42,699,0.555,0.964,NeedsVisualCheck,low_fill;complex_name,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,Art/ShapeReveal/shape_main_knight_mascot_tall.png,Art/ShapeRevealThumb/shape_main_knight_mascot_tall_thumb.png
138,shape_space,96,30,42,Space,sci-fi,vehicle,main,MainSpaceCometIconTall,shape_main_space_comet_icon_tall,space comet icon,30,42,677,0.537,0.982,NeedsVisualCheck,abstract_name,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,Art/ShapeReveal/shape_main_space_comet_icon_tall.png,Art/ShapeRevealThumb/shape_main_space_comet_icon_tall_thumb.png
143,shape_magic,91,30,42,Magic,academy,object,main,MainMagicHatTall,shape_main_magic_hat_tall,magic hat,30,42,689,0.547,0.98,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,Art/ShapeReveal/shape_main_magic_hat_tall.png,Art/ShapeRevealThumb/shape_main_magic_hat_tall_thumb.png
147,shape_landmark,101,30,44,Landmark,architecture,landmark,main,MainLibertyStatueTall,shape_main_liberty_statue_tall,liberty statue,30,44,829,0.628,0.979,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,Art/ShapeReveal/shape_main_liberty_statue_tall.png,Art/ShapeRevealThumb/shape_main_liberty_statue_tall_thumb.png
153,shape_character,101,30,42,Character,animals-mascots,character,main,MainRaisedHandMascotTall,shape_main_raised_hand_mascot_tall,raised hand mascot,30,42,846,0.671,0.982,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,Art/ShapeReveal/shape_main_raised_hand_mascot_tall.png,Art/ShapeRevealThumb/shape_main_raised_hand_mascot_tall_thumb.png
158,shape_symbol,100,30,42,Symbol,letters-symbols,symbol,main,MainDistinctLetterMTall,shape_main_distinct_letter_mtall,letter mtall,30,42,762,0.605,0.982,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,Art/ShapeReveal/shape_main_distinct_letter_mtall.png,Art/ShapeRevealThumb/shape_main_distinct_letter_mtall_thumb.png
163,shape_ocean,101,32,42,Ocean,sea-creature,creature,main,MainOceanPufferfishTall,shape_main_ocean_pufferfish_tall,ocean pufferfish,32,42,773,0.575,0.977,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,Art/ShapeReveal/shape_main_ocean_pufferfish_tall.png,Art/ShapeRevealThumb/shape_main_ocean_pufferfish_tall_thumb.png
168,shape_object,100,28,42,Object,tools-items,object,main,MainDistinctBootTall,shape_main_distinct_boot_tall,boot,28,42,660,0.561,0.986,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,Art/ShapeReveal/shape_main_distinct_boot_tall.png,Art/ShapeRevealThumb/shape_main_distinct_boot_tall_thumb.png
173,shape_magic,104,28,40,Magic,alchemy,object,main,MainCandleTall,shape_main_candle_tall,candle,28,40,764,0.682,0.986,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,Art/ShapeReveal/shape_main_candle_tall.png,Art/ShapeRevealThumb/shape_main_candle_tall_thumb.png
178,shape_art,104,30,42,Art,studio,character,main,MainPainterBustTall,shape_main_painter_bust_tall,painter bust,30,42,758,0.602,0.985,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,Art/ShapeReveal/shape_main_painter_bust_tall.png,Art/ShapeRevealThumb/shape_main_painter_bust_tall_thumb.png
183,shape_ocean,104,28,42,Ocean,shoreline,object,main,MainOceanShellTall,shape_main_ocean_shell_tall,ocean shell,28,42,738,0.628,0.98,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset,Art/ShapeReveal/shape_main_ocean_shell_tall.png,Art/ShapeRevealThumb/shape_main_ocean_shell_tall_thumb.png
