chainId,orderForward,color,headX,headY,dir,length,cells
0,,0,4,4,D,8,4:4;4:5;5:5;5:6;6:6;6:7;5:7;5:8
1,,1,19,28,U,8,19:28;19:27;18:27;18:26;17:26;17:25;18:25;18:24
2,,2,4,17,R,7,4:17;3:17;3:18;2:18;2:19;3:19;3:20
3,,3,18,16,L,7,18:16;19:16;19:15;20:15;20:14;19:14;19:13
4,,4,6,2,U,6,6:2;6:1;7:1;7:2;8:2;8:3
5,,5,13,2,L,6,13:2;14:2;14:3;15:3;15:4;16:4
6,,6,16,8,D,6,16:8;16:9;15:9;15:10;14:10;14:11
7,,7,10,4,R,6,10:4;9:4;9:5;10:5;10:6;11:6
8,,0,17,31,D,6,17:31;17:32;16:32;16:31;15:31;15:30
9,,1,8,31,R,6,8:31;7:31;7:30;6:30;6:29;5:29
10,,2,5,23,U,6,5:23;5:22;4:22;4:23;3:23;3:24
11,,3,11,29,L,6,11:29;12:29;12:28;13:28;13:27;14:27
12,,4,1,20,R,6,1:20;0:20;0:19;1:19;1:18;0:18
13,,5,1,13,U,6,1:13;1:12;2:12;2:11;3:11;3:10
14,,6,8,10,L,6,8:10;9:10;9:11;10:11;10:12;11:12
15,,7,3,7,U,6,3:7;3:6;2:6;2:7;1:7;1:8
16,,0,19,19,D,8,19:19;19:20;20:20;20:21;21:21;21:22;22:22;22:23
17,,1,12,20,R,6,12:20;11:20;11:21;10:21;10:22;9:22
18,,2,9,25,D,6,9:25;9:26;8:26;8:27;7:27;7:26
19,,3,15,22,L,6,15:22;16:22;16:23;15:23;14:23;14:24
20,,4,13,9,D,9,13:9;13:10;13:11;13:12;13:13;13:14;14:14;15:14;16:14
21,,5,22,28,U,11,22:28;22:27;22:26;22:25;22:24;21:24;20:24;19:24;19:23;19:22;19:21
22,,6,22,13,U,9,22:13;22:12;22:11;22:10;22:9;21:9;20:9;20:10;20:11
23,,7,16,26,R,9,16:26;15:26;14:26;13:26;12:26;11:26;11:25;11:24;11:23
24,,0,10,7,L,8,10:7;11:7;12:7;12:8;12:9;12:10;12:11;12:12
25,,1,14,28,D,8,14:28;14:29;14:30;13:30;12:30;11:30;10:30;9:30
26,,2,12,6,L,6,12:6;13:6;14:6;14:7;14:8;14:9
27,,3,10,24,D,8,10:24;10:25;10:26;10:27;10:28;9:28;8:28;7:28
28,,4,12,13,D,6,12:13;12:14;12:15;13:15;14:15;15:15
29,,5,20,8,L,6,20:8;21:8;22:8;22:7;22:6;22:5
30,,6,13,23,D,6,13:23;13:24;13:25;14:25;15:25;16:25
31,,7,1,6,U,6,1:6;1:5;1:4;1:3;2:3;3:3
32,,0,20,3,L,5,20:3;21:3;22:3;22:2;22:1
33,,1,16,10,D,6,16:10;16:11;16:12;16:13;15:13;14:13
34,,2,11,5,L,8,11:5;12:5;13:5;14:5;15:5;15:6;15:7;15:8
35,,3,21,28,U,6,21:28;21:27;21:26;21:25;20:25;19:25
36,,4,22,29,R,6,22:29;21:29;20:29;20:28;20:27;20:26
37,29,0,19,17,R,8,19:17;18:17;17:17;16:17;15:17;14:17;14:16;13:16
38,28,5,4,2,D,8,4:2;4:3;5:3;5:4;6:4;7:4;7:5;6:5
39,27,7,23,28,D,8,23:28;23:29;23:30;22:30;21:30;21:31;20:31;19:31
40,26,1,21,17,R,8,21:17;20:17;20:16;21:16;22:16;23:16;23:15;23:14
41,25,3,23,17,R,8,23:17;22:17;22:18;23:18;23:19;23:20;22:20;22:19
42,24,1,4,0,D,8,4:0;4:1;3:1;3:2;2:2;1:2;0:2;0:3
43,23,5,12,2,D,5,12:2;12:3;12:4;13:4;14:4
44,22,3,12,0,D,8,12:0;12:1;13:1;14:1;14:0;15:0;16:0;17:0
45,21,4,19,2,D,7,19:2;19:3;19:4;18:4;17:4;17:5;16:5
46,20,0,19,0,D,8,19:0;19:1;18:1;17:1;16:1;16:2;17:2;17:3
47,19,7,5,27,L,8,5:27;6:27;6:28;5:28;4:28;3:28;2:28;1:28
48,18,2,1,27,L,8,1:27;2:27;3:27;4:27;4:26;5:26;6:26;6:25
49,17,0,0,28,U,8,0:28;0:27;0:26;0:25;0:24;0:23;0:22;1:22
50,16,0,0,30,U,8,0:30;0:29;1:29;2:29;2:30;3:30;4:30;5:30
51,15,7,0,32,U,7,0:32;0:31;1:31;2:31;3:31;4:31;5:31
52,14,2,1,33,R,2,1:33;0:33
53,13,5,20,32,R,7,20:32;19:32;19:33;20:33;21:33;22:33;23:33
54,12,1,23,31,R,4,23:31;22:31;22:32;21:32
55,11,3,9,9,L,8,9:9;10:9;11:9;11:8;10:8;9:8;9:7;9:6
56,10,1,5,9,L,8,5:9;6:9;7:9;8:9;8:8;8:7;8:6;8:5
57,9,5,1,9,L,7,1:9;2:9;3:9;4:9;4:8;4:7;4:6
58,8,7,1,16,L,8,1:16;2:16;3:16;4:16;5:16;5:15;6:15;6:14
59,7,3,9,1,D,6,9:1;9:2;9:3;10:3;10:2;10:1
60,6,4,0,14,L,6,0:14;1:14;1:15;0:15;0:16;0:17
61,5,0,3,21,L,8,3:21;4:21;4:20;5:20;5:19;5:18;5:17;6:17
62,4,3,1,21,L,8,1:21;2:21;2:22;2:23;2:24;2:25;3:25;3:26
63,3,6,3,33,U,8,3:33;3:32;4:32;5:32;5:33;6:33;7:33;8:33
64,2,0,0,11,L,7,0:11;1:11;1:10;0:10;0:9;0:8;0:7
65,1,1,9,32,U,8,9:32;9:31;10:31;11:31;11:32;12:32;12:33;11:33
66,0,7,11,1,D,4,11:1;11:2;11:3;11:4
