reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,37,8,1:16,L,2,4,6
1,38,8,3:1,L,1,4,5
2,39,8,20:30,R,1,4,5
3,40,7,22:32,R,2,3,6
4,41,8,2:0,D,1,3,4
5,42,8,0:14,L,1,3,4
6,43,4,23:33,U,1,3,4
7,44,7,12:1,D,0,4,6
8,45,8,13:0,R,1,4,8
9,46,8,19:0,R,1,4,8
10,47,8,21:0,R,1,4,6
11,48,2,23:0,R,1,4,3
12,49,7,14:17,R,0,5,4
13,50,8,17:17,R,1,5,7
14,51,8,20:17,R,1,5,7
15,52,8,22:17,R,1,5,7
16,53,8,6:9,L,0,6,4
17,54,8,1:9,L,1,6,5
18,55,8,0:11,L,1,6,7
19,56,7,23:14,R,1,6,6
