reverseStep,chainId,length,head,dir,blockedOpeners,afterChoices,blockedRays
0,0,5,2:8,L,0,1,0
1,1,5,1:11,U,1,1,1
2,2,5,1:13,U,1,1,1
3,3,5,0:15,L,1,1,2
4,4,3,1:7,D,0,2,1
5,5,5,1:2,L,1,2,1
6,6,5,1:4,R,1,2,2
7,7,4,1:5,L,1,2,2
8,8,3,1:6,R,1,2,2
9,9,5,4:4,D,1,2,2
10,10,4,4:2,D,1,2,2
11,11,5,6:1,R,1,2,2
12,12,5,10:2,R,1,2,1
13,13,4,10:4,U,1,2,2
14,14,5,10:10,U,1,2,2
15,15,5,10:12,U,1,2,2
16,16,5,10:14,U,1,2,3
17,17,5,10:15,R,1,2,4
18,18,2,11:15,U,1,2,1
19,19,5,10:5,R,0,3,2
20,20,5,6:6,U,0,4,2
21,21,4,6:8,U,1,4,2
22,22,5,7:14,U,1,4,2
23,23,5,4:9,U,0,5,2
24,24,4,6:15,U,1,5,3
25,25,4,7:1,D,0,6,1
26,26,5,11:0,R,1,6,1
27,27,5,3:14,U,0,7,1
