seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
102100,28,127,0.6615,True,7,2.786,7,True,7,3.357,7
105127,30,136,0.7083,True,8,3.333,8,True,8,3.767,8
104118,28,130,0.6771,True,8,2.964,8,True,8,4.393,8
91001,27,125,0.6510,True,8,2.815,8,True,8,3.667,8
106136,32,144,0.7500,True,10,2.781,10,True,10,4.969,10
93019,32,147,0.7656,True,10,4.312,10,True,10,5.500,10
101091,32,143,0.7448,True,10,3.344,10,True,10,3.719,10
92010,28,139,0.7240,True,10,3.750,10,True,10,5.464,10
94028,32,145,0.7552,True,11,4.094,11,True,11,4.750,11
97055,32,145,0.7552,True,11,4.094,11,True,11,5.188,11
100082,32,140,0.7292,True,11,3.875,11,True,11,4.469,11
99073,29,130,0.6771,True,11,4.897,11,True,11,5.828,11
96046,29,123,0.6406,True,11,4.069,11,True,11,5.310,11
95037,32,143,0.7448,True,12,4.969,12,True,12,7.406,12
98064,29,128,0.6667,True,13,4.276,13,True,13,4.897,13
103109,32,141,0.7344,True,15,5.812,15,True,15,7.156,15
