packLabel,packPath,indexInPack,campaignOrder,status,leakScore,hardeningBudget,flags,recommendedOperators,levelId,assetPath,bucket,type,relativeDifficulty,slotRole,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,avgChainLength,maxChainLength,greedySolved,greedySteps,tuningDifficultyScore,initialClearableChains,openingChoices,openingGoodMoves,openingGoodMoveRatio,avgChoices,maxChoices,earlyAvgChoices,earlyMaxChoices,bottleneckRatio,forcedMoveRatio,avgClearPerMove,avgNewUnlocksPerMove,largestUnlockBurst,choiceWaveStdDev,averageStepsToNextUnlock,dependencyDepthProxy,directOuterExits,directClearableOuterExits,directOuterExitRatio,directClearableOuterExitRatio,longRayOuterExits,edgeShortChains,edgeShortDirectOuterExits,boundaryStraightOuterExits,earlyEntropyClass,entropyCurve,details
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,425,425,HighLeak,676,5,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,very_hard,lock,Hard,Pressure,28,48,213,1320,0,0.982,0.982,6.197,10,True,213,1526,27,27,16,0.593,18.343,32,27.9,32,0.329,0.005,6.197,0.873,7,6.523,1.624,1.624,27,27,0.127,0.127,0,1,1,3,front_loaded_flat,27>28>28>28>27>26>26>26>32>31>30>30>31>31>30>30>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,387,387,HighLeak,662,5,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,r2_outer_strong_005_r2_006_a401_maskonlyb07_04_main_d20die,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,normal,shape_vehicle,Novelty,Shape,42,42,149,1096,0,0.621,0.621,7.356,13,True,149,1241,34,34,12,0.353,15.799,34,30.9,34,0.43,0.02,7.356,0.772,4,7.781,1.896,1.896,34,34,0.228,0.228,34,0,0,0,front_loaded_flat,34>33>33>32>31>30>29>30>29>28>27>27>27>26>26>26>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,474,474,MediumLeak,625,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,very_hard,dense,Recovery,Recovery,26,44,178,1124,0,0.983,0.983,6.315,10,True,178,1317,25,25,15,0.6,15.899,31,25.6,28,0.298,0.011,6.315,0.86,8,8.896,1.673,1.673,25,25,0.14,0.14,0,3,1,1,front_loaded_flat,25>24>24>24>24>27>27>26>27>28>27>26>26>26>26>27>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,183,183,MediumLeak,622,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,shape,shape_ocean,Novelty,Shape,42,42,103,749,0,0.425,0.425,7.272,13,True,103,870,31,31,16,0.516,13.825,31,29.2,31,0.214,0.01,7.272,0.699,3,7.993,1.833,1.833,31,31,0.301,0.301,31,0,0,0,front_loaded_flat,31>31>31>31>30>29>28>28>27>26>26>25>25>25>25>24>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,494,494,MediumLeak,604,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,very_hard,dense,Normal,Normal,26,45,192,1138,0,0.973,0.973,5.927,10,True,192,1335,27,27,12,0.444,15.766,28,26.3,28,0.385,0.01,5.927,0.859,5,5.981,1.842,1.842,27,27,0.141,0.141,0,0,0,2,front_loaded_flat,27>28>28>28>27>27>26>25>24>23>22>21>24>24>23>22>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,405,405,MediumLeak,602,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,very_hard,maze,Recovery,Recovery,25,43,170,1050,0,0.977,0.977,6.176,10,True,170,1234,25,25,13,0.52,15.906,28,26.2,28,0.294,0.006,6.176,0.853,4,6.993,1.6,1.6,25,25,0.147,0.147,0,1,0,2,front_loaded_flat,25>27>26>25>25>25>27>26>28>28>27>27>26>25>25>25>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,490,490,MediumLeak,601,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,very_hard,section,Normal,Normal,25,49,199,1198,0,0.978,0.978,6.02,10,True,199,1391,28,28,11,0.393,14.643,28,27,28,0.377,0.01,6.02,0.859,5,5.469,1.696,1.696,28,28,0.141,0.141,0,2,2,5,front_loaded_flat,28>27>27>26>26>27>28>27>27>27>27>26>26>26>25>24>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,343,343,MediumLeak,600,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,r2_outer_strong_005_r2_006_a401_maskonlyb07_07_main_skeletonskull,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,normal,shape_art,Novelty,Shape,38,42,135,966,0,0.605,0.605,7.156,13,True,135,1111,31,31,12,0.387,12.385,31,28.2,31,0.311,0.022,7.156,0.77,4,7.612,1.923,1.923,31,31,0.23,0.23,31,0,0,0,front_loaded_flat,31>30>30>29>28>28>27>26>25>28>27>26>25>24>23>22>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,449,449,MediumLeak,598,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,very_hard,lock,RelativeExtreme,Peak,27,41,181,1090,0,0.985,0.985,6.022,10,True,181,1270,28,28,18,0.643,11.547,28,26.2,28,0.243,0.017,6.022,0.845,4,7.123,1.706,1.706,28,28,0.155,0.155,0,2,1,1,front_loaded_flat,28>27>27>26>25>26>25>26>26>26>25>25>24>24>24>25>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,382,382,MediumLeak,598,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,hard,section,Normal,Normal,22,44,150,945,0,0.976,0.976,6.3,10,True,150,1120,24,24,16,0.667,15.74,26,22.1,24,0.3,0.02,6.3,0.84,4,6.445,1.659,1.659,24,24,0.16,0.16,0,1,1,5,front_loaded_flat,24>23>22>21>21>22>22>23>22>21>21>21>23>22>22>22>...,
