campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
425,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,,0,not_pressure_enough:none,HighLeak,HighLeak,676,676,0,213,213,1320,1320,27,27,27.9,27.9,18.343,18.343,27,27,1.624,1.624,True
387,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L387_original_20260625_011430.asset,0,copy,HighLeak,HighLeak,662,662,0,149,149,1096,1096,34,34,30.9,30.9,15.799,15.799,34,34,1.896,1.896,True
387,pressure_v3,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L387_pressure_20260625_011430.asset,4,redirect:reverse:27:score 662->636:outer 34->33:open 34->33:avg 15.799->14.362|reverse:18:score 636->621:outer 33->32:open 33->32:avg 14.362->13.886|reverse:21:score 621->608:outer 32->31:open 32->31:avg 13.886->13.644|reverse:13:score 608->597:outer 31->30:open 31->30:avg 13.644->13.523,HighLeak,MediumLeak,662,597,-65,149,149,1096,1096,34,30,30.9,26.9,15.799,13.523,34,30,1.896,1.815,True
474,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,,0,not_pressure_enough:none,MediumLeak,MediumLeak,625,625,0,178,178,1124,1124,25,25,25.6,25.6,15.899,15.899,25,25,1.673,1.673,True
183,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L183_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,622,622,0,103,103,749,749,31,31,29.2,29.2,13.825,13.825,31,31,1.833,1.833,True
183,pressure_v3,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L183_pressure_20260625_011430.asset,4,redirect:reverse:16:score 622->606:outer 31->30:open 31->30:avg 13.825->13.223|reverse:20:score 606->615:outer 30->29:open 30->29:avg 13.223->12.728|reverse:19:score 615->601:outer 29->28:open 29->28:avg 12.728->12.311|reverse:15:score 601->588:outer 28->27:open 28->27:avg 12.311->11.981,MediumLeak,MediumLeak,622,588,-34,103,103,749,749,31,27,29.2,25.2,13.825,11.981,31,27,1.833,1.829,True
494,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,,0,not_pressure_enough:none,MediumLeak,MediumLeak,604,604,0,192,192,1138,1138,27,27,26.3,26.3,15.766,15.766,27,27,1.842,1.842,True
405,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L405_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,602,602,0,170,170,1050,1050,25,25,26.2,26.2,15.906,15.906,25,25,1.6,1.6,True
405,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L405_pressure_20260625_011430.asset,5,redirect:reverse:12:score 602->575:outer 25->24:open 25->24:avg 15.906->14.747|reverse:7:score 575->581:outer 24->23:open 24->23:avg 14.747->14.624|reverse:24:score 581->555:outer 23->22:open 23->22:avg 14.624->13.876|merge:3+18:len 10+10->20:score 555->500:chains 170->169:outer 22->20:open 22->20:avg 13.876->12.734|merge:10+1:len 8+8->16:score 500->419:chains 169->168:outer 20->18:open 20->18:avg 12.734->11,MediumLeak,LowLeak,602,419,-183,170,168,1050,1050,25,18,26.2,18.9,15.906,11,25,18,1.6,1.593,True
490,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,,1,not_pressure_enough:redirect:reverse:33:score 601->588:outer 28->27:open 28->27:avg 14.643->14.337,MediumLeak,MediumLeak,601,588,-13,199,199,1198,1198,28,27,27,26,14.643,14.337,28,27,1.696,1.692,True
343,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L343_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,600,600,0,135,135,966,966,31,31,28.2,28.2,12.385,12.385,31,31,1.923,1.923,True
343,pressure_v3,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L343_pressure_20260625_011430.asset,6,redirect:reverse:17:score 600->582:outer 31->30:open 31->30:avg 12.385->11.696|reverse:12:score 582->569:outer 30->29:open 30->29:avg 11.696->11.4|reverse:7:score 569->555:outer 29->28:open 29->28:avg 11.4->11.059|reverse:1:score 555->543:outer 28->27:open 28->27:avg 11.059->10.8|merge:35+68:len 13+12->25:score 543->507:chains 135->134:outer 27->25:open 27->25:avg 10.8->9.679|merge:43+46:len 12+5->17:score 507->468:chains 134->133:outer 25->23:open 25->23:avg 9.679->9.271,MediumLeak,MediumLeak,600,468,-132,135,133,966,966,31,23,28.2,21,12.385,9.271,31,23,1.923,1.809,True
449,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L449_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,598,598,0,181,181,1090,1090,28,28,26.2,26.2,11.547,11.547,28,28,1.706,1.706,True
449,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L449_pressure_20260625_011430.asset,3,redirect:reverse:61:score 598->586:outer 28->27:open 28->27:avg 11.547->11.287|reverse:3:score 586->573:outer 27->26:open 27->26:avg 11.287->10.945|reverse:31:score 573->562:outer 26->25:open 26->25:avg 10.945->10.779,MediumLeak,MediumLeak,598,562,-36,181,181,1090,1090,28,25,26.2,23.2,11.547,10.779,28,25,1.706,1.667,True
382,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L382_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,598,598,0,150,150,945,945,24,24,22.1,22.1,15.74,15.74,24,24,1.659,1.659,True
382,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L382_pressure_20260625_011430.asset,5,redirect:reverse:23:score 598->582:outer 24->23:open 24->23:avg 15.74->15.067|reverse:25:score 582->566:outer 23->22:open 23->22:avg 15.067->14.407|reverse:72:score 566->532:outer 22->21:open 22->21:avg 14.407->13.813|reverse:68:score 532->509:outer 21->20:open 21->20:avg 13.813->13.22|merge:58+70:len 6+5->11:score 509->457:chains 150->149:outer 20->18:open 20->18:avg 13.22->12.376,MediumLeak,MediumLeak,598,457,-141,150,149,945,945,24,18,22.1,16.1,15.74,12.376,24,18,1.659,1.588,True
173,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L173_teapot_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L173_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,596,596,0,104,104,840,840,25,25,26.1,26.1,15.625,15.625,25,25,1.684,1.684,True
173,pressure_v3,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L173_teapot_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L173_pressure_20260625_011430.asset,7,redirect:reverse:100:score 596->568:outer 25->24:open 25->24:avg 15.625->14.663|reverse:15:score 568->535:outer 24->23:open 24->23:avg 14.663->13.423|reverse:91:score 535->508:outer 23->22:open 23->22:avg 13.423->12.587|reverse:35:score 508->483:outer 22->21:open 22->21:avg 12.587->11.923|merge:2+0:len 8+10->18:score 483->461:chains 104->103:outer 21->20:open 21->20:avg 11.923->11.66|merge:3+17:len 12+10->22:score 461->451:chains 103->102:outer 20->19:open 20->19:avg 11.66->11.755|merge:4+10:len 16+4->20:score 451->455:chains 102->101:outer 19->18:open 19->18:avg 11.755->12.396,MediumLeak,MediumLeak,596,455,-141,104,101,840,840,25,18,26.1,22.6,15.625,12.396,25,18,1.684,1.639,True
287,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05.asset,,0,not_pressure_enough:none,MediumLeak,MediumLeak,594,594,0,214,214,1313,1313,25,25,24.8,24.8,16.136,16.136,25,25,1.751,1.751,True
452,skipped_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01.asset,,0,not_pressure_enough:none,MediumLeak,MediumLeak,594,594,0,154,154,943,943,25,25,22,22,15.396,15.396,25,25,1.829,1.829,True
381,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L381_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,587,587,0,145,145,892,892,27,27,24.8,24.8,14.779,14.779,27,27,1.814,1.814,True
381,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L381_pressure_20260625_011430.asset,4,redirect:reverse:79:score 587->571:outer 27->26:open 27->26:avg 14.779->14.179|reverse:6:score 571->583:outer 26->25:open 26->25:avg 14.179->13.814|reverse:26:score 583->571:outer 25->24:open 25->24:avg 13.814->13.586|reverse:30:score 571->549:outer 24->23:open 24->23:avg 13.586->12.352,MediumLeak,MediumLeak,587,549,-38,145,145,892,892,27,23,24.8,20.8,14.779,12.352,27,23,1.814,1.697,True
166,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L166_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,583,583,0,119,119,745,745,22,22,25.1,25.1,13.714,13.714,22,22,1.66,1.66,True
166,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L166_pressure_20260625_011430.asset,4,redirect:reverse:44:score 583->543:outer 22->21:open 22->21:avg 13.714->13.017|reverse:49:score 543->519:outer 21->20:open 21->20:avg 13.017->12.395|reverse:7:score 519->496:outer 20->19:open 20->19:avg 12.395->11.866|reverse:43:score 496->474:outer 19->18:open 19->18:avg 11.866->11.412,MediumLeak,MediumLeak,583,474,-109,119,119,745,745,22,18,25.1,21.1,13.714,11.412,22,18,1.66,1.663,True
436,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_25_direct_advanced_veryhard_rect_lock_buckle_g3_v04.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L436_original_20260625_011430.asset,0,copy,MediumLeak,MediumLeak,577,577,0,194,194,1195,1195,26,26,25.4,25.4,13.876,13.876,26,26,1.554,1.554,True
436,pressure_v3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_25_direct_advanced_veryhard_rect_lock_buckle_g3_v04.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V3/hardening_L436_pressure_20260625_011430.asset,4,redirect:reverse:20:score 577->550:outer 26->25:open 26->25:avg 13.876->12.16|reverse:2:score 550->536:outer 25->24:open 25->24:avg 12.16->11.856|reverse:8:score 536->523:outer 24->23:open 24->23:avg 11.856->11.598|reverse:31:score 523->507:outer 23->22:open 23->22:avg 11.598->11.361,MediumLeak,MediumLeak,577,507,-70,194,194,1195,1195,26,22,25.4,21.4,13.876,11.361,26,22,1.554,1.448,True
