campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
387,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L387_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L387_v4_20260625_071610.asset,0,copy,MediumLeak,MediumLeak,547,547,0,145,145,1096,1096,25,25,23.8,23.8,13.345,13.345,25,25,1.775,1.775,True
387,gate_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L387_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L387_gate41_20260625_071610.asset,4,redirect:reverse:78:score 547->522:outer 25->24:open 25->24:avg 13.345->12.745|reverse:18:score 522->500:outer 24->23:open 24->23:avg 12.745->12.448|reverse:51:score 500->485:outer 23->22:open 23->22:avg 12.448->12.4|gateFold:1+4:len 10+10->20:score 485->473:chains 145->144:open 22->21:outer 22->21:avg 12.4->12.319,MediumLeak,MediumLeak,547,473,-74,145,144,1096,1096,25,21,23.8,21.2,13.345,12.319,25,21,1.775,1.65,True
474,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L474_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L474_v4_20260625_071610.asset,0,copy,LowLeak,LowLeak,383,383,0,170,170,1124,1124,14,14,18.2,18.2,11.735,11.735,14,14,1.686,1.686,True
474,gate_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L474_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L474_gate41_20260625_071610.asset,5,redirect:reverse:32:score 383->360:outer 14->13:open 14->13:avg 11.735->11.318|reverse:3:score 360->340:outer 13->12:open 13->12:avg 11.318->11.247|reverse:36:score 340->321:outer 12->11:open 12->11:avg 11.247->11.188|gateFold:26+16:len 3+4->7:score 321->300:chains 170->169:open 11->10:outer 11->10:avg 11.188->11.154|gateFold:9+4:len 8+10->18:score 300->292:chains 169->168:open 10->9:outer 10->9:avg 11.154->11.208,LowLeak,LowLeak,383,292,-91,170,168,1124,1124,14,9,18.2,14.3,11.735,11.208,14,9,1.686,1.616,True
183,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L183_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L183_v4_20260625_071610.asset,0,copy,MediumLeak,MediumLeak,511,511,0,100,100,749,749,24,24,21.6,21.6,11.2,11.2,24,24,1.789,1.789,True
183,gate_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L183_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L183_gate41_20260625_071610.asset,1,redirect:reverse:58:score 511->487:outer 24->23:open 24->23:avg 11.2->10.71,MediumLeak,MediumLeak,511,487,-24,100,100,749,749,24,23,21.6,20.6,11.2,10.71,24,23,1.789,1.779,True
494,skipped_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L494_gate_20260625_064105.asset,,1,not_gate41_enough:redirect:reverse:12:score 364->344:outer 15->14:open 15->14:avg 12.832->12.734,LowLeak,LowLeak,364,344,-20,184,184,1138,1138,15,14,12.1,11.1,12.832,12.734,15,14,1.627,1.635,True
405,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L405_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L405_v4_20260625_071610.asset,0,copy,LowLeak,LowLeak,342,342,0,165,165,1050,1050,15,15,15,15,9.564,9.564,15,15,1.587,1.587,True
405,gate_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L405_gate_20260625_064105.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V41/hardening_L405_gate41_20260625_071610.asset,3,gateFold:7+22:len 16+5->21:score 342->329:chains 165->164:open 15->14:outer 15->14:avg 9.564->9.549|gateFold:3+22:len 5+7->12:score 329->316:chains 164->163:open 14->13:outer 14->13:avg 9.549->9.62|gateFold:14+35:len 7+4->11:score 316->293:chains 163->162:open 13->12:outer 13->12:avg 9.62->9.136,LowLeak,LowLeak,342,293,-49,165,162,1050,1050,15,12,15,13.5,9.564,9.136,15,12,1.587,1.547,True
490,skipped_v41,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L490_gate_20260625_064105.asset,,0,not_gate41_enough:none,LowLeak,LowLeak,392,392,0,192,192,1198,1198,16,16,15.8,15.8,9.234,9.234,16,16,1.682,1.682,True
